,586fbaa37e187d0001cb36d5
Pond2Fish6_PondTime,45.491
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,542
Pond2Fish6_TimeLeft,479.196
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,6
Pond2Fish7_CatchTime,1.196
Pond2Fish7_PondTime,54.522
Pond2Fish7_PondOutcome,84
Pond2Fish7_TotalOutcome,554
Pond2Fish7_TimeLeft,470.165
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,6.666666666666667
Pond2Fish8_CatchTime,0.852
Pond2Fish8_PondTime,64.388
Pond2Fish8_PondOutcome,96
Pond2Fish8_TotalOutcome,566
Pond2Fish8_TimeLeft,460.299
Type,RD
FishN,17
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,7.5
Pond2Fish9_CatchTime,0.874
Pond2Fish9_PondTime,75.375
Pond2Fish9_PondOutcome,108
Pond2Fish9_TotalOutcome,578
Pond2Fish9_TimeLeft,449.312
Type,RD
FishN,17
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,8.571428571428571
Pond2Fish10_CatchTime,0.913
Pond2Fish10_PondTime,87.767
Pond2Fish10_PondOutcome,120
Pond2Fish10_TotalOutcome,590
Pond2Fish10_TimeLeft,436.92
Type,RD
FishN,17
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,10
Pond2Fish11_CatchTime,1.219
Pond2Fish11_PondTime,102.151
Pond2Fish11_PondOutcome,132
Pond2Fish11_TotalOutcome,602
Pond2Fish11_TimeLeft,422.536
Type,RD
FishN,17
Fish,12
Pond2Fish12_FishType,blue
Pond2Fish12_FishLatency,12
Pond2Fish12_CatchTime,1.048
Pond2Fish12_PondTime,119.551
Pond2Fish12_PondOutcome,144
Pond2Fish12_TotalOutcome,614
Pond2Fish12_TimeLeft,405.135
Type,RD
FishN,17
Fish,13
Pond2Fish13_FishType,blue
Pond2Fish13_FishLatency,15
Pond2Fish13_CatchTime,1.256
Pond2Fish13_PondTime,141.945
Pond2Fish13_PondOutcome,156
Pond2Fish13_TotalOutcome,626
Pond2Fish13_TimeLeft,382.741
PondEnd_LastFish,13
FishN,16
Type,RD
GiveUpTime,7.888
PondTime,149.288
TimeLeft,374.894
PondOutcome,156
TotalOutcome,626
PondStart,PondStart
PondIntroTime,13.17378181964159
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.5294117647058822
Pond3Fish1_CatchTime,1.066
Pond3Fish1_PondTime,8.026
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,638
Pond3Fish1_TimeLeft,353.064
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,3.75
Pond3Fish2_CatchTime,1.461
Pond3Fish2_PondTime,14.396
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,650
Pond3Fish2_TimeLeft,346.693
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,gray
Pond3Fish3_FishLatency,4
Pond3Fish3_CatchTime,1.113
Pond3Fish3_PondTime,21.045
Pond3Fish3_PondOutcome,26
Pond3Fish3_TotalOutcome,652
Pond3Fish3_TimeLeft,340.045
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,4.285714285714286
Pond3Fish4_CatchTime,1.276
Pond3Fish4_PondTime,28.035
Pond3Fish4_PondOutcome,38
Pond3Fish4_TotalOutcome,664
Pond3Fish4_TimeLeft,333.055
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,4.615384615384615
Pond3Fish5_CatchTime,0.991
Pond3Fish5_PondTime,35.41
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,676
Pond3Fish5_TimeLeft,325.679
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,5
Pond3Fish6_CatchTime,1.319
Pond3Fish6_PondTime,43.259
Pond3Fish6_PondOutcome,62
Pond3Fish6_TotalOutcome,688
Pond3Fish6_TimeLeft,317.831
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,5.454545454545454
Pond3Fish7_CatchTime,1.092
Pond3Fish7_PondTime,51.623
Pond3Fish7_PondOutcome,74
Pond3Fish7_TotalOutcome,700
Pond3Fish7_TimeLeft,309.467
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,6
Pond3Fish8_CatchTime,1.267
Pond3Fish8_PondTime,60.656
Pond3Fish8_PondOutcome,86
Pond3Fish8_TotalOutcome,712
Pond3Fish8_TimeLeft,300.433
Type,RD
FishN,15
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,6.666666666666667
Pond3Fish9_CatchTime,1.155
Pond3Fish9_PondTime,70.518
Pond3Fish9_PondOutcome,98
Pond3Fish9_TotalOutcome,724
Pond3Fish9_TimeLeft,290.572
Type,RD
FishN,15
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,7.5
Pond3Fish10_CatchTime,1.188
Pond3Fish10_PondTime,81.447
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,736
Pond3Fish10_TimeLeft,279.643
Type,RD
FishN,15
Fish,11
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,8.571428571428571
Pond3Fish11_CatchTime,1.062
Pond3Fish11_PondTime,93.811
Pond3Fish11_PondOutcome,122
Pond3Fish11_TotalOutcome,748
Pond3Fish11_TimeLeft,267.278
Type,RD
FishN,15
Fish,12
Pond3Fish12_FishType,blue
Pond3Fish12_FishLatency,10
Pond3Fish12_CatchTime,0.851
Pond3Fish12_PondTime,108.174
Pond3Fish12_PondOutcome,134
Pond3Fish12_TotalOutcome,760
Pond3Fish12_TimeLeft,252.916
Type,RD
FishN,15
Fish,13
Pond3Fish13_FishType,blue
Pond3Fish13_FishLatency,12
Pond3Fish13_CatchTime,1.056
Pond3Fish13_PondTime,125.539
Pond3Fish13_PondOutcome,146
Pond3Fish13_TotalOutcome,772
Pond3Fish13_TimeLeft,235.551
Type,RD
FishN,15
Fish,14
Pond3Fish14_FishType,blue
Pond3Fish14_FishLatency,15
Pond3Fish14_CatchTime,1.193
Pond3Fish14_PondTime,147.92
Pond3Fish14_PondOutcome,158
Pond3Fish14_TotalOutcome,784
Pond3Fish14_TimeLeft,213.17
Type,RD
FishN,15
Fish,15
Pond3Fish15_FishType,blue
Pond3Fish15_FishLatency,20
Pond3Fish15_CatchTime,1.07
Pond3Fish15_PondTime,180.283
Pond3Fish15_PondOutcome,170
Pond3Fish15_TotalOutcome,796
Pond3Fish15_TimeLeft,180.807
PondEnd_LastFish,15
FishN,17
Type,RD
GiveUpTime,3.125
PondTime,182.682
TimeLeft,177.904
PondOutcome,170
TotalOutcome,796
PondStart,PondStart
PondIntroTime,17.949779713526368
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,0.881
Pond4Fish1_PondTime,8.931
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,808
Pond4Fish1_TimeLeft,150.4
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,gray
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,1.591
Pond4Fish2_PondTime,16.302
Pond4Fish2_PondOutcome,14
Pond4Fish2_TotalOutcome,810
Pond4Fish2_TimeLeft,143.029
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,0.99
Pond4Fish3_PondTime,24.139
Pond4Fish3_PondOutcome,26
