,5cb255402051100001c5d058
Pond8Fish4_TotalOutcome,290
Pond8Fish4_TimeLeft,943.476
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,1.479
Pond8Fish5_PondTime,44.422
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,302
Pond8Fish5_TimeLeft,933.608
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,7.5
Pond8Fish6_CatchTime,1.686
Pond8Fish6_PondTime,55.367
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,314
Pond8Fish6_TimeLeft,922.662
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,8.571428571428571
Pond8Fish7_CatchTime,-1
Pond8Fish7_PondTime,67.808
Pond8Fish7_PondOutcome,72
Pond8Fish7_TotalOutcome,314
Pond8Fish7_TimeLeft,910.222
Type,RD
FishN,12
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,10
Pond8Fish8_CatchTime,1.389
Pond8Fish8_PondTime,82.176
Pond8Fish8_PondOutcome,84
Pond8Fish8_TotalOutcome,326
Pond8Fish8_TimeLeft,895.853
PondEnd_LastFish,8
FishN,13
Type,RD
GiveUpTime,6.251
PondTime,88.027
TimeLeft,889.496
PondOutcome,84
TotalOutcome,326
PondStart,PondStart
PondIntroTime,12.5632618740201
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.75
Pond9Fish1_CatchTime,1.436
Pond9Fish1_PondTime,8.287
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,338
Pond9Fish1_TimeLeft,868.025
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4
Pond9Fish2_CatchTime,1.226
Pond9Fish2_PondTime,14.966
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,350
Pond9Fish2_TimeLeft,861.346
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.285714285714286
Pond9Fish3_CatchTime,1.179
Pond9Fish3_PondTime,21.955
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,362
Pond9Fish3_TimeLeft,854.357
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,4.615384615384615
Pond9Fish4_CatchTime,-1
Pond9Fish4_PondTime,29.377
Pond9Fish4_PondOutcome,36
Pond9Fish4_TotalOutcome,362
Pond9Fish4_TimeLeft,846.935
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,5
Pond9Fish5_CatchTime,1.077
Pond9Fish5_PondTime,37.201
Pond9Fish5_PondOutcome,48
Pond9Fish5_TotalOutcome,374
Pond9Fish5_TimeLeft,839.111
Type,RD
FishN,18
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,5.454545454545454
Pond9Fish6_CatchTime,1.12
Pond9Fish6_PondTime,45.574
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,386
Pond9Fish6_TimeLeft,830.738
Type,RD
FishN,18
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,6
Pond9Fish7_CatchTime,-1
Pond9Fish7_PondTime,54.68
Pond9Fish7_PondOutcome,60
Pond9Fish7_TotalOutcome,386
Pond9Fish7_TimeLeft,821.632
Type,RD
FishN,18
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,6.666666666666667
Pond9Fish8_CatchTime,1.587
Pond9Fish8_PondTime,64.551
Pond9Fish8_PondOutcome,72
Pond9Fish8_TotalOutcome,398
Pond9Fish8_TimeLeft,811.761
Type,RD
FishN,18
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,7.5
Pond9Fish9_CatchTime,1.255
Pond9Fish9_PondTime,75.495
Pond9Fish9_PondOutcome,84
Pond9Fish9_TotalOutcome,410
Pond9Fish9_TimeLeft,800.817
Type,RD
FishN,18
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,8.571428571428571
Pond9Fish10_CatchTime,1.386
Pond9Fish10_PondTime,87.868
Pond9Fish10_PondOutcome,96
Pond9Fish10_TotalOutcome,422
Pond9Fish10_TimeLeft,788.444
PondEnd_LastFish,10
FishN,16
Type,RD
GiveUpTime,1.632
PondTime,89.097
TimeLeft,786.704
PondOutcome,96
