,57027b6768c641000e0c894a
Pond1Fish14_PondOutcome,168
Pond1Fish14_TotalOutcome,858
Pond1Fish14_TimeLeft,301.645
PondEnd_LastFish,14
FishN,17
Type,RD
GiveUpTime,24.18
PondTime,172.122
TimeLeft,277.066
PondOutcome,168
TotalOutcome,858
PondStart,PondStart
PondIntroTime,15.71415391517803
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,1.296
Pond6Fish1_PondTime,9.734
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,870
Pond6Fish1_TimeLeft,250.982
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,1.506
Pond6Fish2_PondTime,18.115
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,882
Pond6Fish2_TimeLeft,242.601
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,1.324
Pond6Fish3_PondTime,27.149
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,894
Pond6Fish3_TimeLeft,233.567
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,6.666666666666667
