,5d95c68ac9a1c50019225baf
Pond4Fish14_FishType,blue
Pond4Fish14_FishLatency,15
Pond4Fish14_CatchTime,1.341
Pond4Fish14_PondTime,147.89
Pond4Fish14_PondOutcome,148
Pond4Fish14_TotalOutcome,516
Pond4Fish14_TimeLeft,298.544
Type,RD
FishN,17
Fish,15
Pond4Fish15_FishType,gray
Pond4Fish15_FishLatency,20
Pond4Fish15_CatchTime,1.272
Pond4Fish15_PondTime,180.252
Pond4Fish15_PondOutcome,150
Pond4Fish15_TotalOutcome,518
Pond4Fish15_TimeLeft,266.182
Type,RD
FishN,17
Fish,16
Pond4Fish16_FishType,blue
Pond4Fish16_FishLatency,30
Pond4Fish16_CatchTime,1.387
Pond4Fish16_PondTime,242.618
Pond4Fish16_PondOutcome,162
Pond4Fish16_TotalOutcome,530
Pond4Fish16_TimeLeft,203.816
Type,RD
FishN,17
Fish,17
Pond4Fish17_FishType,blue
Pond4Fish17_FishLatency,60
Pond4Fish17_CatchTime,1.051
Pond4Fish17_PondTime,244.978
Pond4Fish17_PondOutcome,174
Pond4Fish17_TotalOutcome,542
Pond4Fish17_TimeLeft,201.456
PondEnd_LastFish,17
FishN,17
Type,RD
GiveUpTime,112.73
PondTime,356.971
TimeLeft,88.959
PondOutcome,174
TotalOutcome,542
PondStart,PondStart
PondIntroTime,10.844933376647532
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,gray
Pond2Fish1_FishLatency,4
Pond2Fish1_CatchTime,1.25
Pond2Fish1_PondTime,8.555
Pond2Fish1_PondOutcome,2
Pond2Fish1_TotalOutcome,544
Pond2Fish1_TimeLeft,68.937
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4.285714285714286
Pond2Fish2_CatchTime,1.187
Pond2Fish2_PondTime,15.527
Pond2Fish2_PondOutcome,14
Pond2Fish2_TotalOutcome,556
Pond2Fish2_TimeLeft,61.965
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,4.615384615384615
Pond2Fish3_CatchTime,1.109
Pond2Fish3_PondTime,22.896
Pond2Fish3_PondOutcome,26
Pond2Fish3_TotalOutcome,568
Pond2Fish3_TimeLeft,54.596
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,5
Pond2Fish4_CatchTime,1.22
Pond2Fish4_PondTime,30.714
Pond2Fish4_PondOutcome,38
Pond2Fish4_TotalOutcome,580
Pond2Fish4_TimeLeft,46.778
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,5.454545454545454
Pond2Fish5_CatchTime,1.023
Pond2Fish5_PondTime,39.08
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,592
Pond2Fish5_TimeLeft,38.411
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,6
