,5bec8599fdf8c50001d0d329
Pond8Fish7_CatchTime,1.097
Pond8Fish7_PondTime,62.356
Pond8Fish7_PondOutcome,74
Pond8Fish7_TotalOutcome,352
Pond8Fish7_TimeLeft,856.562
Type,RD
FishN,12
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,8.571428571428571
Pond8Fish8_CatchTime,1.193
Pond8Fish8_PondTime,74.727
Pond8Fish8_PondOutcome,86
Pond8Fish8_TotalOutcome,364
Pond8Fish8_TimeLeft,844.191
Type,RD
FishN,12
Fish,9
Pond8Fish9_FishType,gray
Pond8Fish9_FishLatency,10
Pond8Fish9_CatchTime,1.15
Pond8Fish9_PondTime,89.114
Pond8Fish9_PondOutcome,88
Pond8Fish9_TotalOutcome,366
Pond8Fish9_TimeLeft,829.804
Type,RD
FishN,12
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,12
Pond8Fish10_CatchTime,1.358
Pond8Fish10_PondTime,106.498
Pond8Fish10_PondOutcome,100
Pond8Fish10_TotalOutcome,378
Pond8Fish10_TimeLeft,812.42
Type,RD
FishN,12
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,15
Pond8Fish11_CatchTime,1.022
Pond8Fish11_PondTime,128.878
Pond8Fish11_PondOutcome,112
Pond8Fish11_TotalOutcome,390
Pond8Fish11_TimeLeft,790.04
PondEnd_LastFish,11
FishN,14
Type,RD
GiveUpTime,21.487
PondTime,149.597
TimeLeft,768.816
PondOutcome,112
TotalOutcome,390
PondStart,PondStart
PondIntroTime,17.911830607336015
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,0.986
Pond6Fish1_PondTime,9.746
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,402
Pond6Fish1_TimeLeft,740.543
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,0.992
Pond6Fish2_PondTime,18.118
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,414
Pond6Fish2_TimeLeft,732.171
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,1.314
Pond6Fish3_PondTime,27.154
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,426
Pond6Fish3_TimeLeft,723.135
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,1.075
Pond6Fish4_PondTime,37.032
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,438
Pond6Fish4_TimeLeft,713.257
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,1.425
Pond6Fish5_PondTime,47.989
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,450
Pond6Fish5_TimeLeft,702.3
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,8.571428571428571
