,5e1cd047cf445f05eef00adb
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,1.042
Pond1Fish9_PondTime,66.931
Pond1Fish9_PondOutcome,98
Pond1Fish9_TotalOutcome,672
Pond1Fish9_TimeLeft,350.551
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,0.99
Pond1Fish10_PondTime,76.805
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,684
Pond1Fish10_TimeLeft,340.678
Type,RD
FishN,19
Fish,11
Pond1Fish11_FishType,gray
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,0.88
Pond1Fish11_PondTime,87.752
Pond1Fish11_PondOutcome,112
Pond1Fish11_TotalOutcome,686
Pond1Fish11_TimeLeft,329.731
Type,RD
FishN,19
Fish,12
Pond1Fish12_FishType,gray
Pond1Fish12_FishLatency,8.571428571428571
Pond1Fish12_CatchTime,1.59
Pond1Fish12_PondTime,100.123
Pond1Fish12_PondOutcome,114
Pond1Fish12_TotalOutcome,688
Pond1Fish12_TimeLeft,317.359
Type,RD
FishN,19
Fish,13
Pond1Fish13_FishType,blue
Pond1Fish13_FishLatency,10
Pond1Fish13_CatchTime,0.902
Pond1Fish13_PondTime,114.541
Pond1Fish13_PondOutcome,126
Pond1Fish13_TotalOutcome,700
Pond1Fish13_TimeLeft,302.941
Type,RD
FishN,19
Fish,14
Pond1Fish14_FishType,gray
Pond1Fish14_FishLatency,12
Pond1Fish14_CatchTime,1.242
Pond1Fish14_PondTime,131.942
Pond1Fish14_PondOutcome,128
Pond1Fish14_TotalOutcome,702
Pond1Fish14_TimeLeft,285.54
Type,RD
FishN,19
Fish,15
Pond1Fish15_FishType,blue
Pond1Fish15_FishLatency,15
Pond1Fish15_CatchTime,0.949
Pond1Fish15_PondTime,154.334
Pond1Fish15_PondOutcome,140
Pond1Fish15_TotalOutcome,714
Pond1Fish15_TimeLeft,263.148
PondEnd_LastFish,15
FishN,18
Type,RD
GiveUpTime,2.402
PondTime,155.879
TimeLeft,261.081
PondOutcome,140
TotalOutcome,714
PondStart,PondStart
PondIntroTime,12.321013233158737
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,4.285714285714286
Pond7Fish1_CatchTime,0.881
Pond7Fish1_PondTime,8.92
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,726
Pond7Fish1_TimeLeft,239.207
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,4.615384615384615
Pond7Fish2_CatchTime,0.953
Pond7Fish2_PondTime,16.301
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,738
Pond7Fish2_TimeLeft,231.826
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,5
Pond7Fish3_CatchTime,1.231
Pond7Fish3_PondTime,24.13
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,750
Pond7Fish3_TimeLeft,223.996
Type,RD
FishN,18
Fish,4
Pond7Fish4_FishType,gray
Pond7Fish4_FishLatency,5.454545454545454
Pond7Fish4_CatchTime,1.268
Pond7Fish4_PondTime,32.528
Pond7Fish4_PondOutcome,38
Pond7Fish4_TotalOutcome,752
Pond7Fish4_TimeLeft,215.598
Type,RD
FishN,18
Fish,5
Pond7Fish5_FishType,gray
Pond7Fish5_FishLatency,6
Pond7Fish5_CatchTime,1.024
Pond7Fish5_PondTime,41.579
Pond7Fish5_PondOutcome,40
Pond7Fish5_TotalOutcome,754
Pond7Fish5_TimeLeft,206.548
Type,RD
FishN,18
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,6.666666666666667
Pond7Fish6_CatchTime,0.763
Pond7Fish6_PondTime,51.461
Pond7Fish6_PondOutcome,52
Pond7Fish6_TotalOutcome,766
Pond7Fish6_TimeLeft,196.665
Type,RD
FishN,18
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,7.5
Pond7Fish7_CatchTime,1.089
Pond7Fish7_PondTime,62.414
Pond7Fish7_PondOutcome,64
Pond7Fish7_TotalOutcome,778
Pond7Fish7_TimeLeft,185.713
Type,RD
FishN,18
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,8.571428571428571
Pond7Fish8_CatchTime,1.086
Pond7Fish8_PondTime,74.788
Pond7Fish8_PondOutcome,76
Pond7Fish8_TotalOutcome,790
Pond7Fish8_TimeLeft,173.338
Type,RD
FishN,18
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,10
Pond7Fish9_CatchTime,0.876
Pond7Fish9_PondTime,89.178
Pond7Fish9_PondOutcome,88
Pond7Fish9_TotalOutcome,802
Pond7Fish9_TimeLeft,158.948
PondEnd_LastFish,9
FishN,14
Type,RD
GiveUpTime,0.739
PondTime,106.545
TimeLeft,141.077
PondOutcome,88
TotalOutcome,802
PondStart,PondStart
PondIntroTime,15.313954334706068
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,3.5294117647058822
Pond8Fish1_CatchTime,0.958
Pond8Fish1_PondTime,8.052
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,814
Pond8Fish1_TimeLeft,117.076
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,3.75
Pond8Fish2_CatchTime,1.012
Pond8Fish2_PondTime,14.433
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,826
Pond8Fish2_TimeLeft,110.696
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,4
Pond8Fish3_CatchTime,0.91
Pond8Fish3_PondTime,21.099
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,838
Pond8Fish3_TimeLeft,104.029
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,4.285714285714286
Pond8Fish4_CatchTime,0.992
Pond8Fish4_PondTime,28.116
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,850
Pond8Fish4_TimeLeft,97.012
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,4.615384615384615
Pond8Fish5_CatchTime,0.952
Pond8Fish5_PondTime,35.495
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,862
Pond8Fish5_TimeLeft,89.634
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,5
Pond8Fish6_CatchTime,1.033
Pond8Fish6_PondTime,43.332
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,874
Pond8Fish6_TimeLeft,81.796
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,5.454545454545454
Pond8Fish7_CatchTime,1.257
Pond8Fish7_PondTime,51.726
Pond8Fish7_PondOutcome,84
