,5c0909b43329c500019bc149
Pond5Fish12_PondTime,93.226
Pond5Fish12_PondOutcome,134
Pond5Fish12_TotalOutcome,376
Pond5Fish12_TimeLeft,842.064
Type,RD
FishN,14
Fish,13
Pond5Fish13_FishType,gray
Pond5Fish13_FishLatency,8.571428571428571
Pond5Fish13_CatchTime,1.118
Pond5Fish13_PondTime,105.615
Pond5Fish13_PondOutcome,136
Pond5Fish13_TotalOutcome,378
Pond5Fish13_TimeLeft,829.675
Type,RD
FishN,14
Fish,14
Pond5Fish14_FishType,blue
Pond5Fish14_FishLatency,10
Pond5Fish14_CatchTime,0.991
Pond5Fish14_PondTime,120.004
Pond5Fish14_PondOutcome,148
Pond5Fish14_TotalOutcome,390
Pond5Fish14_TimeLeft,815.286
Type,RD
FishN,14
Fish,15
Pond5Fish15_FishType,blue
Pond5Fish15_FishLatency,12
Pond5Fish15_CatchTime,0.898
Pond5Fish15_PondTime,137.393
Pond5Fish15_PondOutcome,160
Pond5Fish15_TotalOutcome,402
Pond5Fish15_TimeLeft,797.897
PondEnd_LastFish,15
FishN,19
Type,RD
GiveUpTime,15.202
PondTime,151.701
TimeLeft,783.086
PondOutcome,160
TotalOutcome,402
PondStart,PondStart
PondIntroTime,11.2346933176741
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,0.869
Pond8Fish1_PondTime,9.289
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,414
Pond8Fish1_TimeLeft,761.91
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,1.146
Pond8Fish2_PondTime,17.129
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,426
Pond8Fish2_TimeLeft,754.07
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,0.983
Pond8Fish3_PondTime,25.52
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,438
Pond8Fish3_TimeLeft,745.679
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,1.367
Pond8Fish4_PondTime,34.571
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,450
Pond8Fish4_TimeLeft,736.628
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,gray
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,0.934
Pond8Fish5_PondTime,44.461
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,452
Pond8Fish5_TimeLeft,726.738
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,7.5
