,5c74edf1280f66001ad7ca29
Pond4Fish12_FishType,blue
Pond4Fish12_FishLatency,7.5
Pond4Fish12_CatchTime,0.934
Pond4Fish12_PondTime,93.019
Pond4Fish12_PondOutcome,124
Pond4Fish12_TotalOutcome,304
Pond4Fish12_TimeLeft,958.537
PondEnd_LastFish,12
FishN,19
Type,RD
GiveUpTime,10.87
PondTime,103.035
TimeLeft,948.017
PondOutcome,124
TotalOutcome,304
PondStart,PondStart
PondIntroTime,17.051557120867074
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,1.137
Pond2Fish1_PondTime,9.734
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,316
Pond2Fish1_TimeLeft,920.604
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,0.908
Pond2Fish2_PondTime,18.099
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,328
Pond2Fish2_TimeLeft,912.239
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,1.257
Pond2Fish3_PondTime,27.134
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,340
Pond2Fish3_TimeLeft,903.203
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,1.03
Pond2Fish4_PondTime,37.001
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,352
Pond2Fish4_TimeLeft,893.337
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,1.083
Pond2Fish5_PondTime,48.054
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,364
Pond2Fish5_TimeLeft,882.284
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
