,5b49d3a519f8e70001b7df02
Pond3Fish7_PondOutcome,74
Pond3Fish7_TotalOutcome,400
Pond3Fish7_TimeLeft,812.233
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,6.666666666666667
Pond3Fish8_CatchTime,0.896
Pond3Fish8_PondTime,64.497
Pond3Fish8_PondOutcome,86
Pond3Fish8_TotalOutcome,412
Pond3Fish8_TimeLeft,802.351
Type,RD
FishN,15
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,7.5
Pond3Fish9_CatchTime,0.869
Pond3Fish9_PondTime,75.463
Pond3Fish9_PondOutcome,98
Pond3Fish9_TotalOutcome,424
Pond3Fish9_TimeLeft,791.385
Type,RD
FishN,15
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,8.571428571428571
Pond3Fish10_CatchTime,1.202
Pond3Fish10_PondTime,87.85
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,436
Pond3Fish10_TimeLeft,778.998
PondEnd_LastFish,10
FishN,16
Type,RD
GiveUpTime,0.998
PondTime,88.262
TimeLeft,778.081
PondOutcome,110
TotalOutcome,436
PondStart,PondStart
PondIntroTime,12.73993162671104
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.385
Pond5Fish1_PondTime,8.928
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,448
Pond5Fish1_TimeLeft,755.781
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,-1
Pond5Fish2_PondTime,16.37
Pond5Fish2_PondOutcome,12
Pond5Fish2_TotalOutcome,448
Pond5Fish2_TimeLeft,748.339
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.2
Pond5Fish3_PondTime,24.195
Pond5Fish3_PondOutcome,24
Pond5Fish3_TotalOutcome,460
Pond5Fish3_TimeLeft,740.514
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.365
Pond5Fish4_PondTime,32.603
Pond5Fish4_PondOutcome,36
Pond5Fish4_TotalOutcome,472
Pond5Fish4_TimeLeft,732.106
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,0.936
Pond5Fish5_PondTime,41.687
Pond5Fish5_PondOutcome,48
Pond5Fish5_TotalOutcome,484
Pond5Fish5_TimeLeft,723.022
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,0.941
Pond5Fish6_PondTime,51.589
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,496
Pond5Fish6_TimeLeft,713.12
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.383
Pond5Fish7_PondTime,62.555
Pond5Fish7_PondOutcome,72
Pond5Fish7_TotalOutcome,508
Pond5Fish7_TimeLeft,702.153
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.092
Pond5Fish8_PondTime,74.947
Pond5Fish8_PondOutcome,84
Pond5Fish8_TotalOutcome,520
Pond5Fish8_TimeLeft,689.762
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,1.284
Pond5Fish9_PondTime,89.334
Pond5Fish9_PondOutcome,96
Pond5Fish9_TotalOutcome,532
Pond5Fish9_TimeLeft,675.375
PondEnd_LastFish,9
FishN,14
Type,RD
GiveUpTime,0.855
PondTime,89.684
TimeLeft,674.521
PondOutcome,96
TotalOutcome,532
PondStart,PondStart
PondIntroTime,15.381765672937036
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,4
Pond11Fish1_CatchTime,1.726
Pond11Fish1_PondTime,8.633
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,544
Pond11Fish1_TimeLeft,649.874
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,4.285714285714286
Pond11Fish2_CatchTime,1.286
Pond11Fish2_PondTime,15.624
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,556
Pond11Fish2_TimeLeft,642.883
Type,RD
FishN,16
