,5de2dfc5a6653131de675189
Pond10Fish7_PondOutcome,84
Pond10Fish7_TotalOutcome,440
Pond10Fish7_TimeLeft,790.232
Type,RD
FishN,12
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,5
Pond10Fish8_CatchTime,1.148
Pond10Fish8_PondTime,54.942
Pond10Fish8_PondOutcome,96
Pond10Fish8_TotalOutcome,452
Pond10Fish8_TimeLeft,782.395
Type,RD
FishN,12
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,5.454545454545454
Pond10Fish9_CatchTime,1.118
Pond10Fish9_PondTime,63.346
Pond10Fish9_PondOutcome,108
Pond10Fish9_TotalOutcome,464
Pond10Fish9_TimeLeft,773.991
Type,RD
FishN,12
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,6
Pond10Fish10_CatchTime,1.056
Pond10Fish10_PondTime,72.413
Pond10Fish10_PondOutcome,120
Pond10Fish10_TotalOutcome,476
Pond10Fish10_TimeLeft,764.923
Type,RD
FishN,12
Fish,11
Pond10Fish11_FishType,blue
Pond10Fish11_FishLatency,6.666666666666667
Pond10Fish11_CatchTime,1.206
Pond10Fish11_PondTime,82.297
Pond10Fish11_PondOutcome,132
Pond10Fish11_TotalOutcome,488
Pond10Fish11_TimeLeft,755.04
Type,RD
FishN,12
Fish,12
Pond10Fish12_FishType,blue
Pond10Fish12_FishLatency,7.5
Pond10Fish12_CatchTime,1.032
Pond10Fish12_PondTime,93.246
Pond10Fish12_PondOutcome,144
Pond10Fish12_TotalOutcome,500
Pond10Fish12_TimeLeft,744.09
Type,RD
FishN,12
Fish,13
Pond10Fish13_FishType,blue
Pond10Fish13_FishLatency,8.571428571428571
Pond10Fish13_CatchTime,-1
Pond10Fish13_PondTime,105.688
Pond10Fish13_PondOutcome,144
Pond10Fish13_TotalOutcome,500
Pond10Fish13_TimeLeft,731.649
Type,RD
FishN,12
Fish,14
Pond10Fish14_FishType,blue
Pond10Fish14_FishLatency,10
Pond10Fish14_CatchTime,1.328
Pond10Fish14_PondTime,120.065
Pond10Fish14_PondOutcome,156
Pond10Fish14_TotalOutcome,512
Pond10Fish14_TimeLeft,717.272
PondEnd_LastFish,14
FishN,19
Type,RD
GiveUpTime,0.761
PondTime,137.38
TimeLeft,699.448
PondOutcome,156
TotalOutcome,512
PondStart,PondStart
PondIntroTime,10.006389934569597
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,1.113
Pond3Fish1_PondTime,8.28
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,524
Pond3Fish1_TimeLeft,680.526
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,0.953
Pond3Fish2_PondTime,14.946
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,536
Pond3Fish2_TimeLeft,673.86
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,gray
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,1.207
Pond3Fish3_PondTime,21.935
Pond3Fish3_PondOutcome,26
Pond3Fish3_TotalOutcome,538
Pond3Fish3_TimeLeft,666.872
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,0.97
Pond3Fish4_PondTime,29.309
Pond3Fish4_PondOutcome,38
Pond3Fish4_TotalOutcome,550
Pond3Fish4_TimeLeft,659.497
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,0.826
Pond3Fish5_PondTime,37.144
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,562
Pond3Fish5_TimeLeft,651.663
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,0.983
Pond3Fish6_PondTime,45.516
Pond3Fish6_PondOutcome,62
Pond3Fish6_TotalOutcome,574
Pond3Fish6_TimeLeft,643.29
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,6
Pond3Fish7_CatchTime,0.992
Pond3Fish7_PondTime,54.572
Pond3Fish7_PondOutcome,74
Pond3Fish7_TotalOutcome,586
Pond3Fish7_TimeLeft,634.235
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,6.666666666666667
Pond3Fish8_CatchTime,0.971
Pond3Fish8_PondTime,64.446
Pond3Fish8_PondOutcome,86
Pond3Fish8_TotalOutcome,598
Pond3Fish8_TimeLeft,624.361
Type,RD
FishN,15
Fish,9
Pond3Fish9_FishType,gray
Pond3Fish9_FishLatency,7.5
Pond3Fish9_CatchTime,1.171
Pond3Fish9_PondTime,75.392
Pond3Fish9_PondOutcome,88
Pond3Fish9_TotalOutcome,600
Pond3Fish9_TimeLeft,613.415
Type,RD
FishN,15
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,8.571428571428571
Pond3Fish10_CatchTime,1.15
Pond3Fish10_PondTime,87.781
Pond3Fish10_PondOutcome,100
Pond3Fish10_TotalOutcome,612
Pond3Fish10_TimeLeft,601.011
Type,RD
FishN,15
Fish,11
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,10
Pond3Fish11_CatchTime,1.226
Pond3Fish11_PondTime,102.192
Pond3Fish11_PondOutcome,112
Pond3Fish11_TotalOutcome,624
Pond3Fish11_TimeLeft,586.615
Type,RD
FishN,15
Fish,12
Pond3Fish12_FishType,gray
Pond3Fish12_FishLatency,12
Pond3Fish12_CatchTime,1.016
Pond3Fish12_PondTime,119.618
Pond3Fish12_PondOutcome,114
Pond3Fish12_TotalOutcome,626
Pond3Fish12_TimeLeft,569.188
PondEnd_LastFish,12
FishN,16
Type,RD
GiveUpTime,0.829
PondTime,119.657
TimeLeft,568.641
PondOutcome,114
TotalOutcome,626
PondStart,PondStart
PondIntroTime,17.201230693608522
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,1.181
Pond1Fish1_PondTime,9.287
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,638
Pond1Fish1_TimeLeft,541.522
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,1.071
Pond1Fish2_PondTime,17.131
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,650
Pond1Fish2_TimeLeft,533.679
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,1.111
Pond1Fish3_PondTime,25.5
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,662
Pond1Fish3_TimeLeft,525.31
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,gray
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,1.069
Pond1Fish4_PondTime,34.531
Pond1Fish4_PondOutcome,38
Pond1Fish4_TotalOutcome,664
Pond1Fish4_TimeLeft,516.278
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,1.052
Pond1Fish5_PondTime,44.414
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,676
Pond1Fish5_TimeLeft,506.396
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,1.436
Pond1Fish6_PondTime,55.356
Pond1Fish6_PondOutcome,62
Pond1Fish6_TotalOutcome,688
Pond1Fish6_TimeLeft,495.453
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,1.336
Pond1Fish7_PondTime,67.747
Pond1Fish7_PondOutcome,74
Pond1Fish7_TotalOutcome,700
Pond1Fish7_TimeLeft,483.063
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,10
Pond1Fish8_CatchTime,1.211
Pond1Fish8_PondTime,82.123
Pond1Fish8_PondOutcome,86
Pond1Fish8_TotalOutcome,712
Pond1Fish8_TimeLeft,468.686
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,gray
Pond1Fish9_FishLatency,12
Pond1Fish9_CatchTime,1.51
Pond1Fish9_PondTime,99.531
Pond1Fish9_PondOutcome,88
Pond1Fish9_TotalOutcome,714
Pond1Fish9_TimeLeft,451.279
PondEnd_LastFish,9
FishN,13
Type,RD
GiveUpTime,1.504
PondTime,100.749
TimeLeft,449.552
PondOutcome,88
TotalOutcome,714
PondStart,PondStart
PondIntroTime,19.42988572642207
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,gray
Pond4Fish1_FishLatency,5
Pond4Fish1_CatchTime,1.541
Pond4Fish1_PondTime,9.756
Pond4Fish1_PondOutcome,2
Pond4Fish1_TotalOutcome,716
Pond4Fish1_TimeLeft,419.743
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,5.454545454545454
Pond4Fish2_CatchTime,1.092
Pond4Fish2_PondTime,18.131
Pond4Fish2_PondOutcome,14
Pond4Fish2_TotalOutcome,728
Pond4Fish2_TimeLeft,411.367
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,6
Pond4Fish3_CatchTime,0.983
Pond4Fish3_PondTime,27.196
Pond4Fish3_PondOutcome,26
Pond4Fish3_TotalOutcome,740
Pond4Fish3_TimeLeft,402.302
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,6.666666666666667
Pond4Fish4_CatchTime,1.053
Pond4Fish4_PondTime,37.127
Pond4Fish4_PondOutcome,38
Pond4Fish4_TotalOutcome,752
Pond4Fish4_TimeLeft,392.372
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,gray
Pond4Fish5_FishLatency,7.5
Pond4Fish5_CatchTime,1.159
Pond4Fish5_PondTime,48.074
Pond4Fish5_PondOutcome,40
Pond4Fish5_TotalOutcome,754
Pond4Fish5_TimeLeft,381.425
Type,RD
FishN,17
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,8.571428571428571
Pond4Fish6_CatchTime,1.045
Pond4Fish6_PondTime,60.444
Pond4Fish6_PondOutcome,52
Pond4Fish6_TotalOutcome,766
Pond4Fish6_TimeLeft,369.055
Type,RD
FishN,17
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,10
Pond4Fish7_CatchTime,1.124
Pond4Fish7_PondTime,74.852
Pond4Fish7_PondOutcome,64
Pond4Fish7_TotalOutcome,778
Pond4Fish7_TimeLeft,354.647
Type,RD
FishN,17
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,12
Pond4Fish8_CatchTime,1.112
Pond4Fish8_PondTime,92.24
Pond4Fish8_PondOutcome,76
Pond4Fish8_TotalOutcome,790
Pond4Fish8_TimeLeft,337.259
PondEnd_LastFish,8
FishN,12
Type,RD
GiveUpTime,0.65
PondTime,114.575
TimeLeft,314.417
PondOutcome,76
TotalOutcome,790
PondStart,PondStart
PondIntroTime,18.992693212348968
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,1.142
Pond12Fish1_PondTime,9.286
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,802
Pond12Fish1_TimeLeft,285.505
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,0.986
Pond12Fish2_PondTime,17.116
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,814
