,5de2dfc5a6653131de675189
Pond12Fish8_CatchTime,1.164
Pond12Fish8_PondTime,82.173
Pond12Fish8_PondOutcome,86
Pond12Fish8_TotalOutcome,876
Pond12Fish8_TimeLeft,212.619
Type,RD
FishN,15
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,12
Pond12Fish9_CatchTime,1.108
Pond12Fish9_PondTime,99.585
Pond12Fish9_PondOutcome,98
Pond12Fish9_TotalOutcome,888
Pond12Fish9_TimeLeft,195.207
Type,RD
FishN,15
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,15
Pond12Fish10_CatchTime,1.452
Pond12Fish10_PondTime,121.969
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,900
Pond12Fish10_TimeLeft,172.822
Type,RD
FishN,15
Fish,11
Pond12Fish11_FishType,blue
Pond12Fish11_FishLatency,20
Pond12Fish11_CatchTime,1.314
Pond12Fish11_PondTime,154.368
Pond12Fish11_PondOutcome,122
Pond12Fish11_TotalOutcome,912
Pond12Fish11_TimeLeft,140.423
Type,RD
FishN,15
Fish,12
Pond12Fish12_FishType,blue
Pond12Fish12_FishLatency,30
Pond12Fish12_CatchTime,1.896
Pond12Fish12_PondTime,216.982
Pond12Fish12_PondOutcome,134
Pond12Fish12_TotalOutcome,924
Pond12Fish12_TimeLeft,77.81
PondEnd_LastFish,12
FishN,13
Type,RD
GiveUpTime,0.41
PondTime,217.288
TimeLeft,76.999
PondOutcome,134
TotalOutcome,924
PondStart,PondStart
PondIntroTime,19.702362618409097
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,1.913
Pond8Fish1_PondTime,9.98
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,936
Pond8Fish1_TimeLeft,46.702
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,1.118
Pond8Fish2_PondTime,18.367
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,948
Pond8Fish2_TimeLeft,38.315
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,1.169
Pond8Fish3_PondTime,27.407
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,960
Pond8Fish3_TimeLeft,29.275
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,1.201
Pond8Fish4_PondTime,37.278
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,972
Pond8Fish4_TimeLeft,19.404
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,gray
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,-1
Pond8Fish5_PondTime,48.284
Pond8Fish5_PondOutcome,48
Pond8Fish5_TotalOutcome,972
Pond8Fish5_TimeLeft,8.397
