,5c94b4f457491c00165e25fd
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,330
Pond5Fish6_TimeLeft,858.091
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,0.989
Pond5Fish7_PondTime,62.727
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,342
Pond5Fish7_TimeLeft,847.122
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.492
Pond5Fish8_PondTime,75.136
Pond5Fish8_PondOutcome,86
Pond5Fish8_TotalOutcome,354
Pond5Fish8_TimeLeft,834.713
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,1.912
Pond5Fish9_PondTime,89.717
Pond5Fish9_PondOutcome,98
Pond5Fish9_TotalOutcome,366
Pond5Fish9_TimeLeft,820.132
Type,RD
FishN,14
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,12
Pond5Fish10_CatchTime,1.231
Pond5Fish10_PondTime,107.138
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,378
Pond5Fish10_TimeLeft,802.711
Type,RD
FishN,14
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,15
Pond5Fish11_CatchTime,1.652
Pond5Fish11_PondTime,129.528
Pond5Fish11_PondOutcome,122
Pond5Fish11_TotalOutcome,390
Pond5Fish11_TimeLeft,780.321
Type,RD
FishN,14
Fish,12
Pond5Fish12_FishType,blue
Pond5Fish12_FishLatency,20
Pond5Fish12_CatchTime,1.516
Pond5Fish12_PondTime,161.947
Pond5Fish12_PondOutcome,134
Pond5Fish12_TotalOutcome,402
Pond5Fish12_TimeLeft,747.902
PondEnd_LastFish,12
FishN,14
Type,RD
GiveUpTime,32.486
PondTime,194.157
TimeLeft,715.186
PondOutcome,134
TotalOutcome,402
PondStart,PondStart
PondIntroTime,16.07263460289687
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,1.378
Pond11Fish1_PondTime,7.843
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,414
Pond11Fish1_TimeLeft,690.653
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,gray
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,-1
Pond11Fish2_PondTime,14.016
Pond11Fish2_PondOutcome,12
Pond11Fish2_TotalOutcome,414
Pond11Fish2_TimeLeft,684.48
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,gray
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,1.474
Pond11Fish3_PondTime,20.392
Pond11Fish3_PondOutcome,14
Pond11Fish3_TotalOutcome,416
Pond11Fish3_TimeLeft,678.104
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,0.798
Pond11Fish4_PondTime,27.041
Pond11Fish4_PondOutcome,26
Pond11Fish4_TotalOutcome,428
Pond11Fish4_TimeLeft,671.455
Type,RD
FishN,16
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,0.916
Pond11Fish5_PondTime,34.077
Pond11Fish5_PondOutcome,38
Pond11Fish5_TotalOutcome,440
Pond11Fish5_TimeLeft,664.418
Type,RD
FishN,16
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,0.652
Pond11Fish6_PondTime,41.44
Pond11Fish6_PondOutcome,50
Pond11Fish6_TotalOutcome,452
Pond11Fish6_TimeLeft,657.056
Type,RD
FishN,16
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,1.001
Pond11Fish7_PondTime,49.302
Pond11Fish7_PondOutcome,62
Pond11Fish7_TotalOutcome,464
Pond11Fish7_TimeLeft,649.194
Type,RD
FishN,16
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,0.917
Pond11Fish8_PondTime,57.673
Pond11Fish8_PondOutcome,74
Pond11Fish8_TotalOutcome,476
Pond11Fish8_TimeLeft,640.823
Type,RD
FishN,16
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,6
Pond11Fish9_CatchTime,1.705
Pond11Fish9_PondTime,66.759
Pond11Fish9_PondOutcome,86
Pond11Fish9_TotalOutcome,488
Pond11Fish9_TimeLeft,631.737
Type,RD
FishN,16
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,6.666666666666667
Pond11Fish10_CatchTime,1.065
Pond11Fish10_PondTime,76.67
Pond11Fish10_PondOutcome,98
Pond11Fish10_TotalOutcome,500
Pond11Fish10_TimeLeft,621.826
Type,RD
FishN,16
Fish,11
Pond11Fish11_FishType,blue
Pond11Fish11_FishLatency,7.5
Pond11Fish11_CatchTime,0.784
Pond11Fish11_PondTime,87.66
Pond11Fish11_PondOutcome,110
Pond11Fish11_TotalOutcome,512
Pond11Fish11_TimeLeft,610.836
Type,RD
FishN,16
Fish,12
Pond11Fish12_FishType,blue
Pond11Fish12_FishLatency,8.571428571428571
Pond11Fish12_CatchTime,0.99
Pond11Fish12_PondTime,100.059
Pond11Fish12_PondOutcome,122
Pond11Fish12_TotalOutcome,524
Pond11Fish12_TimeLeft,598.437
Type,RD
FishN,16
Fish,13
Pond11Fish13_FishType,blue
Pond11Fish13_FishLatency,10
