,5de6547d1017855bbe3622cb
Type,RD
FishN,15
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,6.666666666666667
Pond12Fish9_CatchTime,1.605
Pond12Fish9_PondTime,70.728
Pond12Fish9_PondOutcome,98
Pond12Fish9_TotalOutcome,620
Pond12Fish9_TimeLeft,580.623
PondEnd_LastFish,9
FishN,17
Type,RD
GiveUpTime,3.806
PondTime,74.348
TimeLeft,576.501
PondOutcome,98
TotalOutcome,620
PondStart,PondStart
PondIntroTime,19.596594111062586
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,-1
Pond11Fish1_PondTime,8.346
Pond11Fish1_PondOutcome,0
Pond11Fish1_TotalOutcome,620
Pond11Fish1_TimeLeft,547.918
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,1.168
Pond11Fish2_PondTime,14.996
Pond11Fish2_PondOutcome,12
Pond11Fish2_TotalOutcome,632
Pond11Fish2_TimeLeft,541.268
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,1.16
Pond11Fish3_PondTime,21.977
Pond11Fish3_PondOutcome,24
Pond11Fish3_TotalOutcome,644
Pond11Fish3_TimeLeft,534.287
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,-1
Pond11Fish4_PondTime,29.407
Pond11Fish4_PondOutcome,24
Pond11Fish4_TotalOutcome,644
Pond11Fish4_TimeLeft,526.857
Type,RD
FishN,16
Fish,5
Pond11Fish5_FishType,gray
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,1.627
Pond11Fish5_PondTime,37.22
Pond11Fish5_PondOutcome,26
Pond11Fish5_TotalOutcome,646
Pond11Fish5_TimeLeft,519.044
Type,RD
FishN,16
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,1.227
Pond11Fish6_PondTime,45.586
Pond11Fish6_PondOutcome,38
Pond11Fish6_TotalOutcome,658
Pond11Fish6_TimeLeft,510.678
Type,RD
FishN,16
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,6
Pond11Fish7_CatchTime,1.342
Pond11Fish7_PondTime,54.615
Pond11Fish7_PondOutcome,50
Pond11Fish7_TotalOutcome,670
Pond11Fish7_TimeLeft,501.649
Type,RD
FishN,16
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,6.666666666666667
Pond11Fish8_CatchTime,0.913
Pond11Fish8_PondTime,64.478
Pond11Fish8_PondOutcome,62
Pond11Fish8_TotalOutcome,682
Pond11Fish8_TimeLeft,491.786
Type,RD
FishN,16
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,7.5
Pond11Fish9_CatchTime,1.856
Pond11Fish9_PondTime,75.572
Pond11Fish9_PondOutcome,74
Pond11Fish9_TotalOutcome,694
Pond11Fish9_TimeLeft,480.692
Type,RD
FishN,16
Fish,10
Pond11Fish10_FishType,blue
