,5d374fda6cb61f001936bdc9
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,6
Pond6Fish6_CatchTime,1.322
Pond6Fish6_PondTime,48.231
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,918
Pond6Fish6_TimeLeft,238.004
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,6.666666666666667
Pond6Fish7_CatchTime,1.238
Pond6Fish7_PondTime,58.101
Pond6Fish7_PondOutcome,72
Pond6Fish7_TotalOutcome,930
Pond6Fish7_TimeLeft,228.134
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,gray
Pond6Fish8_FishLatency,7.5
Pond6Fish8_CatchTime,1.144
Pond6Fish8_PondTime,69.043
Pond6Fish8_PondOutcome,74
Pond6Fish8_TotalOutcome,932
Pond6Fish8_TimeLeft,217.192
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,8.571428571428571
Pond6Fish9_CatchTime,1.419
Pond6Fish9_PondTime,81.409
Pond6Fish9_PondOutcome,86
Pond6Fish9_TotalOutcome,944
Pond6Fish9_TimeLeft,204.826
Type,RD
FishN,19
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,10
Pond6Fish10_CatchTime,1.156
Pond6Fish10_PondTime,95.765
Pond6Fish10_PondOutcome,98
Pond6Fish10_TotalOutcome,956
Pond6Fish10_TimeLeft,190.47
Type,RD
FishN,19
Fish,11
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,12
Pond6Fish11_CatchTime,1.381
Pond6Fish11_PondTime,113.135
Pond6Fish11_PondOutcome,110
Pond6Fish11_TotalOutcome,968
Pond6Fish11_TimeLeft,173.1
PondEnd_LastFish,11
FishN,15
Type,RD
GiveUpTime,20.906
PondTime,133.624
TimeLeft,152.11
PondOutcome,110
TotalOutcome,968
PondStart,PondStart
PondIntroTime,15.869522152934223
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,4
Pond3Fish1_CatchTime,1.386
Pond3Fish1_PondTime,8.553
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,980
Pond3Fish1_TimeLeft,127.068
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4.285714285714286
Pond3Fish2_CatchTime,1.259
Pond3Fish2_PondTime,15.542
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,992
Pond3Fish2_TimeLeft,120.079
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,4.615384615384615
Pond3Fish3_CatchTime,1.522
Pond3Fish3_PondTime,22.91
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,1004
Pond3Fish3_TimeLeft,112.711
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,5
Pond3Fish4_CatchTime,0.897
Pond3Fish4_PondTime,30.745
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,1016
Pond3Fish4_TimeLeft,104.876
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,5.454545454545454
Pond3Fish5_CatchTime,1.311
Pond3Fish5_PondTime,39.112
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,1028
Pond3Fish5_TimeLeft,96.509
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,6
Pond3Fish6_CatchTime,1.444
Pond3Fish6_PondTime,48.146
Pond3Fish6_PondOutcome,72
Pond3Fish6_TotalOutcome,1040
Pond3Fish6_TimeLeft,87.475
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,6.666666666666667
Pond3Fish7_CatchTime,1.246
Pond3Fish7_PondTime,58.021
Pond3Fish7_PondOutcome,84
Pond3Fish7_TotalOutcome,1052
Pond3Fish7_TimeLeft,77.6
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,7.5
Pond3Fish8_CatchTime,1.39
Pond3Fish8_PondTime,68.956
Pond3Fish8_PondOutcome,96
Pond3Fish8_TotalOutcome,1064
Pond3Fish8_TimeLeft,66.665
Type,RD
FishN,15
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,8.571428571428571
Pond3Fish9_CatchTime,1.278
Pond3Fish9_PondTime,81.326
Pond3Fish9_PondOutcome,108
Pond3Fish9_TotalOutcome,1076
Pond3Fish9_TimeLeft,54.295
Type,RD
FishN,15
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,10
Pond3Fish10_CatchTime,1.155
Pond3Fish10_PondTime,95.695
Pond3Fish10_PondOutcome,120
Pond3Fish10_TotalOutcome,1088
Pond3Fish10_TimeLeft,39.926
Type,RD
FishN,15
Fish,11
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,12
Pond3Fish11_CatchTime,1.391
Pond3Fish11_PondTime,113.052
Pond3Fish11_PondOutcome,132
Pond3Fish11_TotalOutcome,1100
Pond3Fish11_TimeLeft,22.569
PondEnd_LastFish,11
FishN,15
Type,RD
GiveUpTime,1.079
PondTime,113.73
TimeLeft,21.389
PondOutcome,132
TotalOutcome,1100
PondStart,PondStart
PondIntroTime,17.95497118961066
