,5ca8c84e92fdc200129e9db3
Pond3Fish7_TotalOutcome,336
Pond3Fish7_TimeLeft,910.542
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,7.5
Pond3Fish8_CatchTime,1.143
Pond3Fish8_PondTime,69.111
Pond3Fish8_PondOutcome,84
Pond3Fish8_TotalOutcome,348
Pond3Fish8_TimeLeft,899.596
Type,RD
FishN,15
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,8.571428571428571
Pond3Fish9_CatchTime,0.744
Pond3Fish9_PondTime,81.477
Pond3Fish9_PondOutcome,96
Pond3Fish9_TotalOutcome,360
Pond3Fish9_TimeLeft,887.23
Type,RD
FishN,15
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,10
Pond3Fish10_CatchTime,-1
Pond3Fish10_PondTime,95.9
Pond3Fish10_PondOutcome,96
Pond3Fish10_TotalOutcome,360
Pond3Fish10_TimeLeft,872.807
Type,RD
FishN,15
Fish,11
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,12
Pond3Fish11_CatchTime,-1
Pond3Fish11_PondTime,113.321
Pond3Fish11_PondOutcome,96
Pond3Fish11_TotalOutcome,360
Pond3Fish11_TimeLeft,855.386
PondEnd_LastFish,11
FishN,15
Type,RD
GiveUpTime,41.163
PondTime,121.594
TimeLeft,846.596
PondOutcome,96
TotalOutcome,360
PondStart,PondStart
PondIntroTime,14.592686062678695
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,1.923
Pond6Fish1_PondTime,9.232
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,372
Pond6Fish1_TimeLeft,819.926
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,-1
Pond6Fish2_PondTime,16.68
Pond6Fish2_PondOutcome,12
Pond6Fish2_TotalOutcome,372
Pond6Fish2_TimeLeft,812.478
