,5d40d474037fb000013a2b83
Pond5Fish1_CatchTime,1.654
Pond5Fish1_PondTime,8.912
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,354
Pond5Fish1_TimeLeft,783.594
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,0.716
Pond5Fish2_PondTime,16.302
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,366
Pond5Fish2_TimeLeft,776.204
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,0.788
Pond5Fish3_PondTime,24.143
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,378
Pond5Fish3_TimeLeft,768.363
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,0.78
Pond5Fish4_PondTime,32.532
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,390
Pond5Fish4_TimeLeft,759.974
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,0.562
Pond5Fish5_PondTime,41.602
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,402
Pond5Fish5_TimeLeft,750.904
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,0.907
Pond5Fish6_PondTime,51.502
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,414
Pond5Fish6_TimeLeft,741.004
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.004
Pond5Fish7_PondTime,62.471
Pond5Fish7_PondOutcome,84
Pond5Fish7_TotalOutcome,426
Pond5Fish7_TimeLeft,730.035
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,0.812
Pond5Fish8_PondTime,74.871
Pond5Fish8_PondOutcome,96
Pond5Fish8_TotalOutcome,438
Pond5Fish8_TimeLeft,717.635
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,0.94
Pond5Fish9_PondTime,89.279
Pond5Fish9_PondOutcome,108
Pond5Fish9_TotalOutcome,450
Pond5Fish9_TimeLeft,703.227
PondEnd_LastFish,9
FishN,14
Type,RD
GiveUpTime,14.331
PondTime,102.738
TimeLeft,689.259
PondOutcome,108
TotalOutcome,450
PondStart,PondStart
PondIntroTime,19.777752785012126
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,0.769
Pond4Fish1_PondTime,9.301
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,462
Pond4Fish1_TimeLeft,659.544
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,gray
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,0.55
Pond4Fish2_PondTime,17.151
Pond4Fish2_PondOutcome,14
Pond4Fish2_TotalOutcome,464
Pond4Fish2_TimeLeft,651.694
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,0.523
Pond4Fish3_PondTime,25.551
Pond4Fish3_PondOutcome,26
Pond4Fish3_TotalOutcome,476
Pond4Fish3_TimeLeft,643.294
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,0.54
Pond4Fish4_PondTime,34.591
Pond4Fish4_PondOutcome,38
Pond4Fish4_TotalOutcome,488
Pond4Fish4_TimeLeft,634.254
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,0.6
Pond4Fish5_PondTime,44.501
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,500
Pond4Fish5_TimeLeft,624.344
Type,RD
FishN,17
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,1.745
Pond4Fish6_PondTime,55.511
Pond4Fish6_PondOutcome,62
Pond4Fish6_TotalOutcome,512
Pond4Fish6_TimeLeft,613.334
Type,RD
FishN,17
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,8.571428571428571
Pond4Fish7_CatchTime,0.985
Pond4Fish7_PondTime,67.907
Pond4Fish7_PondOutcome,74
Pond4Fish7_TotalOutcome,524
Pond4Fish7_TimeLeft,600.937
PondEnd_LastFish,7
FishN,13
Type,RD
GiveUpTime,12.075
PondTime,79.162
TimeLeft,589.173
PondOutcome,74
TotalOutcome,524
PondStart,PondStart
PondIntroTime,17.785771070048213
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,0.702
Pond6Fish1_PondTime,7.634
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,536
Pond6Fish1_TimeLeft,563.121
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,0.855
Pond6Fish2_PondTime,13.564
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,548
Pond6Fish2_TimeLeft,557.191
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,0.546
Pond6Fish3_PondTime,19.694
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,560
Pond6Fish3_TimeLeft,551.061
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
