,5d40d474037fb000013a2b83
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,882
Pond7Fish2_TimeLeft,165.883
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,4.615384615384615
Pond7Fish3_CatchTime,0.867
Pond7Fish3_PondTime,22.964
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,894
Pond7Fish3_TimeLeft,158.493
Type,RD
FishN,18
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,5
Pond7Fish4_CatchTime,0.704
Pond7Fish4_PondTime,30.793
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,906
Pond7Fish4_TimeLeft,150.663
Type,RD
FishN,18
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,5.454545454545454
Pond7Fish5_CatchTime,0.729
Pond7Fish5_PondTime,39.183
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,918
Pond7Fish5_TimeLeft,142.274
Type,RD
FishN,18
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,6
Pond7Fish6_CatchTime,0.918
Pond7Fish6_PondTime,48.253
Pond7Fish6_PondOutcome,72
Pond7Fish6_TotalOutcome,930
Pond7Fish6_TimeLeft,133.204
Type,RD
FishN,18
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,6.666666666666667
Pond7Fish7_CatchTime,0.762
Pond7Fish7_PondTime,58.133
Pond7Fish7_PondOutcome,84
Pond7Fish7_TotalOutcome,942
Pond7Fish7_TimeLeft,123.324
Type,RD
FishN,18
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,7.5
Pond7Fish8_CatchTime,0.955
Pond7Fish8_PondTime,69.102
Pond7Fish8_PondOutcome,96
Pond7Fish8_TotalOutcome,954
Pond7Fish8_TimeLeft,112.355
PondEnd_LastFish,8
FishN,15
Type,RD
GiveUpTime,0.727
PondTime,81.166
TimeLeft,99.78
PondOutcome,96
TotalOutcome,954
PondStart,PondStart
PondIntroTime,14.79510021628812
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,0.702
Pond12Fish1_PondTime,9.29
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,966
Pond12Fish1_TimeLeft,75.059
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,0.844
Pond12Fish2_PondTime,17.129
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,978
Pond12Fish2_TimeLeft,67.219
Type,RD
FishN,15
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,5.454545454545454
Pond12Fish3_CatchTime,0.789
Pond12Fish3_PondTime,25.507
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,990
Pond12Fish3_TimeLeft,58.842
Type,RD
FishN,15
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,0.907
Pond12Fish4_PondTime,34.567
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,1002
Pond12Fish4_TimeLeft,49.782
Type,RD
FishN,15
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,6.666666666666667
Pond12Fish5_CatchTime,0.95
Pond12Fish5_PondTime,44.448
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,1014
Pond12Fish5_TimeLeft,39.901
PondEnd_LastFish,5
FishN,13
Type,RD
GiveUpTime,0.696
PondTime,55.216
TimeLeft,28.626
PondOutcome,60
TotalOutcome,1014
PondStart,PondStart
PondIntroTime,17.38807092187926
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,3.5294117647058822
Pond8Fish1_CatchTime,1.72
Pond8Fish1_PondTime,8.077
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,1026
Pond8Fish1_TimeLeft,2.518
