,5d02ba68604711000157c04e
Pond5Fish8_TimeLeft,890.515
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,1.551
Pond5Fish9_PondTime,89.418
Pond5Fish9_PondOutcome,88
Pond5Fish9_TotalOutcome,318
Pond5Fish9_TimeLeft,876.112
Type,RD
FishN,14
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,12
Pond5Fish10_CatchTime,1.739
Pond5Fish10_PondTime,106.91
Pond5Fish10_PondOutcome,100
Pond5Fish10_TotalOutcome,330
Pond5Fish10_TimeLeft,858.622
PondEnd_LastFish,10
FishN,14
Type,RD
GiveUpTime,1.348
PondTime,108.137
TimeLeft,856.838
PondOutcome,100
TotalOutcome,330
PondStart,PondStart
PondIntroTime,10.350616059731692
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,1.794
Pond2Fish1_PondTime,7.996
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,342
Pond2Fish1_TimeLeft,837.686
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,1.667
Pond2Fish2_PondTime,14.157
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,354
Pond2Fish2_TimeLeft,831.524
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,3.75
Pond2Fish3_CatchTime,1.986
Pond2Fish3_PondTime,20.849
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,366
Pond2Fish3_TimeLeft,824.832
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,4
Pond2Fish4_CatchTime,1.355
Pond2Fish4_PondTime,27.527
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,378
Pond2Fish4_TimeLeft,818.154
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,4.285714285714286
Pond2Fish5_CatchTime,1.384
Pond2Fish5_PondTime,34.814
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,390
Pond2Fish5_TimeLeft,810.867
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,4.615384615384615
Pond2Fish6_CatchTime,1.47
Pond2Fish6_PondTime,42.226
