,580241d0279ffd000124e3e3
Pond4Fish11_FishType,blue
Pond4Fish11_FishLatency,7.5
Pond4Fish11_CatchTime,0.92
Pond4Fish11_PondTime,87.372
Pond4Fish11_PondOutcome,122
Pond4Fish11_TotalOutcome,282
Pond4Fish11_TimeLeft,913.078
Type,RD
FishN,17
Fish,12
Pond4Fish12_FishType,blue
Pond4Fish12_FishLatency,8.571428571428571
Pond4Fish12_CatchTime,0.898
Pond4Fish12_PondTime,99.738
Pond4Fish12_PondOutcome,134
Pond4Fish12_TotalOutcome,294
Pond4Fish12_TimeLeft,900.712
Type,RD
FishN,17
Fish,13
Pond4Fish13_FishType,blue
Pond4Fish13_FishLatency,10
Pond4Fish13_CatchTime,0.738
Pond4Fish13_PondTime,114.106
Pond4Fish13_PondOutcome,146
Pond4Fish13_TotalOutcome,306
Pond4Fish13_TimeLeft,886.343
Type,RD
FishN,17
Fish,14
Pond4Fish14_FishType,blue
Pond4Fish14_FishLatency,12
Pond4Fish14_CatchTime,1.028
Pond4Fish14_PondTime,131.472
Pond4Fish14_PondOutcome,158
Pond4Fish14_TotalOutcome,318
Pond4Fish14_TimeLeft,868.977
Type,RD
FishN,17
Fish,15
Pond4Fish15_FishType,gray
Pond4Fish15_FishLatency,15
Pond4Fish15_CatchTime,1.061
Pond4Fish15_PondTime,153.842
Pond4Fish15_PondOutcome,160
Pond4Fish15_TotalOutcome,320
Pond4Fish15_TimeLeft,846.608
PondEnd_LastFish,15
FishN,18
Type,RD
GiveUpTime,30.821
PondTime,183.926
TimeLeft,816.021
PondOutcome,160
TotalOutcome,320
PondStart,PondStart
PondIntroTime,14.702356457710266
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4.615384615384615
Pond9Fish1_CatchTime,0.917
Pond9Fish1_PondTime,9.275
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,332
Pond9Fish1_TimeLeft,791.42
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,5
Pond9Fish2_CatchTime,1.056
Pond9Fish2_PondTime,17.087
