,5bf003ccaf38d100016bb945
Pond1Fish7_CatchTime,1.29
Pond1Fish7_PondTime,49.311
Pond1Fish7_PondOutcome,74
Pond1Fish7_TotalOutcome,304
Pond1Fish7_TimeLeft,902.743
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,0.704
Pond1Fish8_PondTime,57.702
Pond1Fish8_PondOutcome,86
Pond1Fish8_TotalOutcome,316
Pond1Fish8_TimeLeft,894.352
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,gray
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,0.817
Pond1Fish9_PondTime,66.764
Pond1Fish9_PondOutcome,88
Pond1Fish9_TotalOutcome,318
Pond1Fish9_TimeLeft,885.29
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,0.757
Pond1Fish10_PondTime,76.655
Pond1Fish10_PondOutcome,100
Pond1Fish10_TotalOutcome,330
Pond1Fish10_TimeLeft,875.399
Type,RD
FishN,19
Fish,11
Pond1Fish11_FishType,blue
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,0.88
Pond1Fish11_PondTime,87.625
Pond1Fish11_PondOutcome,112
Pond1Fish11_TotalOutcome,342
Pond1Fish11_TimeLeft,864.429
Type,RD
FishN,19
Fish,12
Pond1Fish12_FishType,blue
Pond1Fish12_FishLatency,8.571428571428571
Pond1Fish12_CatchTime,0.71
Pond1Fish12_PondTime,100.031
Pond1Fish12_PondOutcome,124
Pond1Fish12_TotalOutcome,354
Pond1Fish12_TimeLeft,852.023
Type,RD
FishN,19
Fish,13
Pond1Fish13_FishType,blue
Pond1Fish13_FishLatency,10
Pond1Fish13_CatchTime,0.698
Pond1Fish13_PondTime,114.437
Pond1Fish13_PondOutcome,136
Pond1Fish13_TotalOutcome,366
Pond1Fish13_TimeLeft,837.617
Type,RD
FishN,19
Fish,14
Pond1Fish14_FishType,blue
Pond1Fish14_FishLatency,12
Pond1Fish14_CatchTime,1.32
Pond1Fish14_PondTime,131.827
Pond1Fish14_PondOutcome,148
Pond1Fish14_TotalOutcome,378
Pond1Fish14_TimeLeft,820.227
PondEnd_LastFish,14
FishN,18
Type,RD
GiveUpTime,1.53
PondTime,132.867
TimeLeft,818.685
PondOutcome,148
TotalOutcome,378
PondStart,PondStart
PondIntroTime,19.816601930651814
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,0.807
Pond5Fish1_PondTime,9.775
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,390
Pond5Fish1_TimeLeft,788.476
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,0.709
Pond5Fish2_PondTime,18.166
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,402
Pond5Fish2_TimeLeft,780.085
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,0.636
Pond5Fish3_PondTime,27.228
Pond5Fish3_PondOutcome,36
