,5e1d9dbece16da10363ada3b
Pond6Fish10_CatchTime,0.859
Pond6Fish10_PondTime,72.16
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,904
Pond6Fish10_TimeLeft,93.029
Type,RD
FishN,19
Fish,11
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,6.666666666666667
Pond6Fish11_CatchTime,1.123
Pond6Fish11_PondTime,82.024
Pond6Fish11_PondOutcome,122
Pond6Fish11_TotalOutcome,916
Pond6Fish11_TimeLeft,83.165
Type,RD
FishN,19
Fish,12
Pond6Fish12_FishType,blue
Pond6Fish12_FishLatency,7.5
Pond6Fish12_CatchTime,-1
Pond6Fish12_PondTime,93.018
Pond6Fish12_PondOutcome,122
Pond6Fish12_TotalOutcome,916
Pond6Fish12_TimeLeft,72.171
PondEnd_LastFish,12
FishN,19
Type,RD
GiveUpTime,0.801
PondTime,105.198
TimeLeft,59.489
PondOutcome,122
TotalOutcome,916
PondStart,PondStart
PondIntroTime,14.95715314289555
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,0.979
Pond10Fish1_PondTime,9.731
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,928
Pond10Fish1_TimeLeft,34.182
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,0.751
Pond10Fish2_PondTime,18.097
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,940
Pond10Fish2_TimeLeft,25.816
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,1.008
Pond10Fish3_PondTime,27.126
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,952
Pond10Fish3_TimeLeft,16.787
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,0.753
Pond10Fish4_PondTime,36.989
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,964
Pond10Fish4_TimeLeft,6.924
