,5d5c8135c6963c0016f41e93
Pond10Fish7_FishLatency,6
Pond10Fish7_CatchTime,-1
Pond10Fish7_PondTime,54.821
Pond10Fish7_PondOutcome,62
Pond10Fish7_TotalOutcome,220
Pond10Fish7_TimeLeft,945.7
Type,RD
FishN,12
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,6.666666666666667
Pond10Fish8_CatchTime,1.554
Pond10Fish8_PondTime,64.712
Pond10Fish8_PondOutcome,74
Pond10Fish8_TotalOutcome,232
Pond10Fish8_TimeLeft,935.809
Type,RD
FishN,12
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,7.5
Pond10Fish9_CatchTime,1.46
Pond10Fish9_PondTime,75.678
Pond10Fish9_PondOutcome,86
Pond10Fish9_TotalOutcome,244
Pond10Fish9_TimeLeft,924.843
Type,RD
FishN,12
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,8.571428571428571
Pond10Fish10_CatchTime,1.267
Pond10Fish10_PondTime,88.08
Pond10Fish10_PondOutcome,98
Pond10Fish10_TotalOutcome,256
Pond10Fish10_TimeLeft,912.441
Type,RD
FishN,12
Fish,11
Pond10Fish11_FishType,blue
Pond10Fish11_FishLatency,10
Pond10Fish11_CatchTime,1.5
Pond10Fish11_PondTime,102.48
Pond10Fish11_PondOutcome,110
Pond10Fish11_TotalOutcome,268
Pond10Fish11_TimeLeft,898.041
Type,RD
FishN,12
Fish,12
Pond10Fish12_FishType,blue
Pond10Fish12_FishLatency,12
Pond10Fish12_CatchTime,1.575
Pond10Fish12_PondTime,119.89
Pond10Fish12_PondOutcome,122
Pond10Fish12_TotalOutcome,280
Pond10Fish12_TimeLeft,880.631
Type,RD
FishN,12
Fish,13
Pond10Fish13_FishType,blue
Pond10Fish13_FishLatency,15
Pond10Fish13_CatchTime,1.214
Pond10Fish13_PondTime,142.306
Pond10Fish13_PondOutcome,134
Pond10Fish13_TotalOutcome,292
Pond10Fish13_TimeLeft,858.215
Type,RD
FishN,12
Fish,14
Pond10Fish14_FishType,blue
Pond10Fish14_FishLatency,20
Pond10Fish14_CatchTime,1.515
Pond10Fish14_PondTime,174.723
Pond10Fish14_PondOutcome,146
Pond10Fish14_TotalOutcome,304
Pond10Fish14_TimeLeft,825.798
PondEnd_LastFish,14
FishN,16
Type,RD
GiveUpTime,1.552
PondTime,175.981
TimeLeft,824.018
PondOutcome,146
TotalOutcome,304
PondStart,PondStart
PondIntroTime,14.676118295174092
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,4
Pond3Fish1_CatchTime,1.358
Pond3Fish1_PondTime,8.604
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,316
Pond3Fish1_TimeLeft,800.073
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4.285714285714286
Pond3Fish2_CatchTime,1.591
Pond3Fish2_PondTime,15.609
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,328
Pond3Fish2_TimeLeft,793.069
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,4.615384615384615
Pond3Fish3_CatchTime,1.247
Pond3Fish3_PondTime,23.004
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,340
Pond3Fish3_TimeLeft,785.674
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,5
Pond3Fish4_CatchTime,1.437
Pond3Fish4_PondTime,30.865
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,352
Pond3Fish4_TimeLeft,777.812
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,gray
Pond3Fish5_FishLatency,5.454545454545454
Pond3Fish5_CatchTime,1.549
Pond3Fish5_PondTime,39.259
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,354
Pond3Fish5_TimeLeft,769.419
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,6
Pond3Fish6_CatchTime,1.3
Pond3Fish6_PondTime,48.338
Pond3Fish6_PondOutcome,62
Pond3Fish6_TotalOutcome,366
Pond3Fish6_TimeLeft,760.34
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,6.666666666666667
Pond3Fish7_CatchTime,1.134
Pond3Fish7_PondTime,58.228
Pond3Fish7_PondOutcome,74
Pond3Fish7_TotalOutcome,378
Pond3Fish7_TimeLeft,750.45
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,7.5
Pond3Fish8_CatchTime,1.566
Pond3Fish8_PondTime,69.195
Pond3Fish8_PondOutcome,86
Pond3Fish8_TotalOutcome,390
Pond3Fish8_TimeLeft,739.483
Type,RD
FishN,15
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,8.571428571428571
Pond3Fish9_CatchTime,1.693
Pond3Fish9_PondTime,81.597
Pond3Fish9_PondOutcome,98
Pond3Fish9_TotalOutcome,402
Pond3Fish9_TimeLeft,727.081
Type,RD
FishN,15
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,10
Pond3Fish10_CatchTime,1.197
Pond3Fish10_PondTime,96.011
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,414
Pond3Fish10_TimeLeft,712.667
Type,RD
FishN,15
Fish,11
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,12
Pond3Fish11_CatchTime,1.384
Pond3Fish11_PondTime,113.404
Pond3Fish11_PondOutcome,122
Pond3Fish11_TotalOutcome,426
Pond3Fish11_TimeLeft,695.274
PondEnd_LastFish,11
FishN,15
Type,RD
GiveUpTime,0.951
PondTime,113.938
TimeLeft,694.228
PondOutcome,122
TotalOutcome,426
PondStart,PondStart
PondIntroTime,12.660007283557206
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.75
Pond4Fish1_CatchTime,1.05
Pond4Fish1_PondTime,8.321
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,438
Pond4Fish1_TimeLeft,672.59
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4
Pond4Fish2_CatchTime,1.196
Pond4Fish2_PondTime,15.013
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,450
Pond4Fish2_TimeLeft,665.898
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4.285714285714286
Pond4Fish3_CatchTime,1.333
Pond4Fish3_PondTime,22.018
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,462
Pond4Fish3_TimeLeft,658.893
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4.615384615384615
Pond4Fish4_CatchTime,-1
Pond4Fish4_PondTime,29.49
Pond4Fish4_PondOutcome,36
Pond4Fish4_TotalOutcome,462
Pond4Fish4_TimeLeft,651.421
