,5b8fe6de30fa28000100f8db
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,3.75
Pond5Fish3_CatchTime,0.893
Pond5Fish3_PondTime,20.75
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,516
Pond5Fish3_TimeLeft,582.311
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,4
Pond5Fish4_CatchTime,1.074
Pond5Fish4_PondTime,27.4
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,528
Pond5Fish4_TimeLeft,575.661
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,4.285714285714286
Pond5Fish5_CatchTime,1.045
Pond5Fish5_PondTime,34.384
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,540
Pond5Fish5_TimeLeft,568.677
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,4.615384615384615
Pond5Fish6_CatchTime,1.167
Pond5Fish6_PondTime,41.749
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,552
Pond5Fish6_TimeLeft,561.312
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,5
Pond5Fish7_CatchTime,0.98
Pond5Fish7_PondTime,49.567
Pond5Fish7_PondOutcome,84
Pond5Fish7_TotalOutcome,564
Pond5Fish7_TimeLeft,553.494
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,5.454545454545454
Pond5Fish8_CatchTime,0.975
Pond5Fish8_PondTime,57.931
Pond5Fish8_PondOutcome,96
Pond5Fish8_TotalOutcome,576
Pond5Fish8_TimeLeft,545.13
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,6
Pond5Fish9_CatchTime,0.832
Pond5Fish9_PondTime,66.962
Pond5Fish9_PondOutcome,108
Pond5Fish9_TotalOutcome,588
Pond5Fish9_TimeLeft,536.098
Type,RD
FishN,14
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,6.666666666666667
Pond5Fish10_CatchTime,0.906
Pond5Fish10_PondTime,76.832
Pond5Fish10_PondOutcome,120
Pond5Fish10_TotalOutcome,600
Pond5Fish10_TimeLeft,526.229
Type,RD
FishN,14
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,7.5
Pond5Fish11_CatchTime,0.871
Pond5Fish11_PondTime,87.764
Pond5Fish11_PondOutcome,132
Pond5Fish11_TotalOutcome,612
Pond5Fish11_TimeLeft,515.297
Type,RD
FishN,14
Fish,12
Pond5Fish12_FishType,blue
Pond5Fish12_FishLatency,8.571428571428571
Pond5Fish12_CatchTime,0.986
Pond5Fish12_PondTime,100.13
Pond5Fish12_PondOutcome,144
Pond5Fish12_TotalOutcome,624
Pond5Fish12_TimeLeft,502.931
Type,RD
FishN,14
Fish,13
Pond5Fish13_FishType,blue
Pond5Fish13_FishLatency,10
Pond5Fish13_CatchTime,1.231
Pond5Fish13_PondTime,114.5
Pond5Fish13_PondOutcome,156
Pond5Fish13_TotalOutcome,636
Pond5Fish13_TimeLeft,488.561
Type,RD
FishN,14
Fish,14
Pond5Fish14_FishType,blue
Pond5Fish14_FishLatency,12
Pond5Fish14_CatchTime,0.743
Pond5Fish14_PondTime,131.867
Pond5Fish14_PondOutcome,168
Pond5Fish14_TotalOutcome,648
Pond5Fish14_TimeLeft,471.194
Type,RD
FishN,14
Fish,15
Pond5Fish15_FishType,blue
Pond5Fish15_FishLatency,15
Pond5Fish15_CatchTime,1.164
Pond5Fish15_PondTime,154.23
Pond5Fish15_PondOutcome,180
Pond5Fish15_TotalOutcome,660
Pond5Fish15_TimeLeft,448.831
Type,RD
FishN,14
Fish,16
Pond5Fish16_FishType,blue
Pond5Fish16_FishLatency,20
Pond5Fish16_CatchTime,1.867
Pond5Fish16_PondTime,186.762
Pond5Fish16_PondOutcome,192
Pond5Fish16_TotalOutcome,672
Pond5Fish16_TimeLeft,416.299
Type,RD
FishN,14
Fish,17
Pond5Fish17_FishType,blue
Pond5Fish17_FishLatency,30
Pond5Fish17_CatchTime,1.269
Pond5Fish17_PondTime,249.127
Pond5Fish17_PondOutcome,204
Pond5Fish17_TotalOutcome,684
Pond5Fish17_TimeLeft,353.934
Type,RD
FishN,14
Fish,18
Pond5Fish18_FishType,blue
Pond5Fish18_FishLatency,60
Pond5Fish18_CatchTime,-1
Pond5Fish18_PondTime,251.56
Pond5Fish18_PondOutcome,204
Pond5Fish18_TotalOutcome,684
Pond5Fish18_TimeLeft,351.501
PondEnd_LastFish,18
FishN,18
Type,RD
GiveUpTime,105.355
PondTime,353.965
TimeLeft,248.591
PondOutcome,204
TotalOutcome,684
PondStart,PondStart
PondIntroTime,12.033326795790344
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,1.623
Pond9Fish1_PondTime,8.551
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,696
Pond9Fish1_TimeLeft,227.385
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,1.181
Pond9Fish2_PondTime,15.52
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,708
Pond9Fish2_TimeLeft,220.416
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,0.89
Pond9Fish3_PondTime,22.884
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,720
Pond9Fish3_TimeLeft,213.052
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,1.363
Pond9Fish4_PondTime,30.706
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,732
Pond9Fish4_TimeLeft,205.23
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,0.939
Pond9Fish5_PondTime,39.067
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,744
Pond9Fish5_TimeLeft,196.868
Type,RD
FishN,18
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,-1
Pond9Fish6_PondTime,48.165
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,744
Pond9Fish6_TimeLeft,187.771
Type,RD
FishN,18
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,-1
Pond9Fish7_PondTime,58.083
Pond9Fish7_PondOutcome,60
Pond9Fish7_TotalOutcome,744
Pond9Fish7_TimeLeft,177.853
Type,RD
FishN,18
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,0.832
Pond9Fish8_PondTime,69.014
Pond9Fish8_PondOutcome,72
Pond9Fish8_TotalOutcome,756
Pond9Fish8_TimeLeft,166.921
Type,RD
FishN,18
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,1.377
Pond9Fish9_PondTime,81.382
Pond9Fish9_PondOutcome,84
Pond9Fish9_TotalOutcome,768
Pond9Fish9_TimeLeft,154.554
Type,RD
FishN,18
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,10
Pond9Fish10_CatchTime,1.673
Pond9Fish10_PondTime,95.748
Pond9Fish10_PondOutcome,96
Pond9Fish10_TotalOutcome,780
Pond9Fish10_TimeLeft,140.188
Type,RD
FishN,18
Fish,11
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,12
Pond9Fish11_CatchTime,1.299
Pond9Fish11_PondTime,113.117
Pond9Fish11_PondOutcome,108
Pond9Fish11_TotalOutcome,792
Pond9Fish11_TimeLeft,122.818
Type,RD
FishN,18
Fish,12
Pond9Fish12_FishType,gray
Pond9Fish12_FishLatency,15
Pond9Fish12_CatchTime,0.992
Pond9Fish12_PondTime,135.478
Pond9Fish12_PondOutcome,110
Pond9Fish12_TotalOutcome,794
Pond9Fish12_TimeLeft,100.458
Type,RD
FishN,18
Fish,13
Pond9Fish13_FishType,blue
Pond9Fish13_FishLatency,20
Pond9Fish13_CatchTime,-1
Pond9Fish13_PondTime,167.912
Pond9Fish13_PondOutcome,110
Pond9Fish13_TotalOutcome,794
Pond9Fish13_TimeLeft,68.024
