,5c7a926b2ceba0001668b707
Pond12Fish13_PondOutcome,146
Pond12Fish13_TotalOutcome,290
Pond12Fish13_TimeLeft,612.941
PondEnd_LastFish,13
FishN,13
Type,RD
GiveUpTime,63.893
PondTime,282.281
TimeLeft,549.398
PondOutcome,146
TotalOutcome,290
PondStart,PondStart
PondIntroTime,16.782652584370226
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,1.068
Pond1Fish1_PondTime,8.276
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,302
Pond1Fish1_TimeLeft,523.708
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,0.932
Pond1Fish2_PondTime,14.926
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,314
Pond1Fish2_TimeLeft,517.059
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,0.917
Pond1Fish3_PondTime,21.908
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,326
Pond1Fish3_TimeLeft,510.076
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,1.227
Pond1Fish4_PondTime,29.277
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,338
Pond1Fish4_TimeLeft,502.708
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,0.946
Pond1Fish5_PondTime,37.086
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,350
Pond1Fish5_TimeLeft,494.898
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,0.54
Pond1Fish6_PondTime,45.488
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,362
Pond1Fish6_TimeLeft,486.496
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,6
Pond1Fish7_CatchTime,0.828
Pond1Fish7_PondTime,54.524
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,374
Pond1Fish7_TimeLeft,477.461
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,6.666666666666667
Pond1Fish8_CatchTime,0.89
Pond1Fish8_PondTime,64.393
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,386
Pond1Fish8_TimeLeft,467.592
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,gray
Pond1Fish9_FishLatency,7.5
Pond1Fish9_CatchTime,0.832
Pond1Fish9_PondTime,76.346
Pond1Fish9_PondOutcome,98
Pond1Fish9_TotalOutcome,388
Pond1Fish9_TimeLeft,455.639
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,8.571428571428571
Pond1Fish10_CatchTime,0.749
Pond1Fish10_PondTime,88.728
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,400
Pond1Fish10_TimeLeft,443.256
PondEnd_LastFish,10
FishN,16
Type,RD
GiveUpTime,0.5
PondTime,102.643
TimeLeft,428.84
PondOutcome,110
TotalOutcome,400
PondStart,PondStart
PondIntroTime,11.804300961084664
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,0.705
Pond2Fish1_PondTime,9.753
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,412
Pond2Fish1_TimeLeft,406.642
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,1.518
Pond2Fish2_PondTime,18.109
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,424
Pond2Fish2_TimeLeft,398.286
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,1.116
Pond2Fish3_PondTime,27.133
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,436
Pond2Fish3_TimeLeft,389.262
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,1.487
Pond2Fish4_PondTime,37.003
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,448
Pond2Fish4_TimeLeft,379.392
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,1.161
Pond2Fish5_PondTime,47.937
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,460
Pond2Fish5_TimeLeft,368.458
Type,RD
