,5c448a8452eba20001da07d0
FishN,17
Fish,12
Pond4Fish12_FishType,blue
Pond4Fish12_FishLatency,10
Pond4Fish12_CatchTime,1.214
Pond4Fish12_PondTime,108.593
Pond4Fish12_PondOutcome,124
Pond4Fish12_TotalOutcome,894
Pond4Fish12_TimeLeft,184.086
PondEnd_LastFish,12
FishN,17
Type,RD
GiveUpTime,1.272
PondTime,109.271
TimeLeft,182.893
PondOutcome,124
TotalOutcome,894
PondStart,PondStart
PondIntroTime,15.555392054375261
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,1.172
Pond1Fish1_PondTime,7.656
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,906
Pond1Fish1_TimeLeft,159.02
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,1.253
Pond1Fish2_PondTime,13.592
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,918
Pond1Fish2_TimeLeft,153.084
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,1.213
Pond1Fish3_PondTime,19.759
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,930
Pond1Fish3_TimeLeft,146.918
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,gray
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,0.902
Pond1Fish4_PondTime,26.18
Pond1Fish4_PondOutcome,38
Pond1Fish4_TotalOutcome,932
Pond1Fish4_TimeLeft,140.497
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,4
Pond1Fish5_CatchTime,1.394
Pond1Fish5_PondTime,32.868
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,944
Pond1Fish5_TimeLeft,133.809
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,gray
Pond1Fish6_FishLatency,4.285714285714286
Pond1Fish6_CatchTime,0.94
Pond1Fish6_PondTime,39.898
Pond1Fish6_PondOutcome,52
Pond1Fish6_TotalOutcome,946
Pond1Fish6_TimeLeft,126.778
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,gray
Pond1Fish7_FishLatency,4.615384615384615
Pond1Fish7_CatchTime,1.157
Pond1Fish7_PondTime,47.301
Pond1Fish7_PondOutcome,54
Pond1Fish7_TotalOutcome,948
Pond1Fish7_TimeLeft,119.375
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,5
Pond1Fish8_CatchTime,1.047
Pond1Fish8_PondTime,55.164
Pond1Fish8_PondOutcome,66
Pond1Fish8_TotalOutcome,960
Pond1Fish8_TimeLeft,111.512
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,5.454545454545454
Pond1Fish9_CatchTime,0.961
Pond1Fish9_PondTime,63.587
Pond1Fish9_PondOutcome,78
Pond1Fish9_TotalOutcome,972
Pond1Fish9_TimeLeft,103.09
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,6
Pond1Fish10_CatchTime,1.159
Pond1Fish10_PondTime,72.664
Pond1Fish10_PondOutcome,90
Pond1Fish10_TotalOutcome,984
Pond1Fish10_TimeLeft,94.012
Type,RD
FishN,19
Fish,11
Pond1Fish11_FishType,blue
Pond1Fish11_FishLatency,6.666666666666667
Pond1Fish11_CatchTime,1.082
Pond1Fish11_PondTime,82.587
Pond1Fish11_PondOutcome,102
Pond1Fish11_TotalOutcome,996
Pond1Fish11_TimeLeft,84.089
Type,RD
FishN,19
Fish,12
Pond1Fish12_FishType,blue
Pond1Fish12_FishLatency,7.5
Pond1Fish12_CatchTime,1.089
Pond1Fish12_PondTime,93.571
Pond1Fish12_PondOutcome,114
Pond1Fish12_TotalOutcome,1008
Pond1Fish12_TimeLeft,73.106
Type,RD
FishN,19
Fish,13
Pond1Fish13_FishType,blue
Pond1Fish13_FishLatency,8.571428571428571
Pond1Fish13_CatchTime,1.111
Pond1Fish13_PondTime,105.985
Pond1Fish13_PondOutcome,126
Pond1Fish13_TotalOutcome,1020
Pond1Fish13_TimeLeft,60.692
Type,RD
FishN,19
Fish,14
Pond1Fish14_FishType,blue
Pond1Fish14_FishLatency,10
Pond1Fish14_CatchTime,1.126
Pond1Fish14_PondTime,120.391
Pond1Fish14_PondOutcome,138
Pond1Fish14_TotalOutcome,1032
Pond1Fish14_TimeLeft,46.286
PondEnd_LastFish,14
FishN,19
Type,RD
GiveUpTime,12.824
PondTime,132.539
TimeLeft,33.632
PondOutcome,138
TotalOutcome,1032
PondStart,PondStart
PondIntroTime,12.513976972550154
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,1.359
Pond8Fish1_PondTime,8.928
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,1044
Pond8Fish1_TimeLeft,11.532
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,1.065
Pond8Fish2_PondTime,16.318
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,1056
Pond8Fish2_TimeLeft,4.14
