,5c448a8452eba20001da07d0
PondIntroTime,16.045007065404207
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,1.084
Pond2Fish1_PondTime,8.936
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,258
Pond2Fish1_TimeLeft,927.266
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,0.98
Pond2Fish2_PondTime,16.327
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,270
Pond2Fish2_TimeLeft,919.876
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,5
Pond2Fish3_CatchTime,1.716
Pond2Fish3_PondTime,24.201
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,282
Pond2Fish3_TimeLeft,912.002
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,gray
Pond2Fish4_FishLatency,5.454545454545454
Pond2Fish4_CatchTime,1.25
Pond2Fish4_PondTime,32.591
Pond2Fish4_PondOutcome,38
Pond2Fish4_TotalOutcome,284
Pond2Fish4_TimeLeft,903.611
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,6
Pond2Fish5_CatchTime,1.268
Pond2Fish5_PondTime,41.67
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,296
Pond2Fish5_TimeLeft,894.533
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,6.666666666666667
Pond2Fish6_CatchTime,1.268
Pond2Fish6_PondTime,51.57
Pond2Fish6_PondOutcome,62
Pond2Fish6_TotalOutcome,308
Pond2Fish6_TimeLeft,884.633
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,7.5
Pond2Fish7_CatchTime,1.093
Pond2Fish7_PondTime,62.53
Pond2Fish7_PondOutcome,74
Pond2Fish7_TotalOutcome,320
Pond2Fish7_TimeLeft,873.673
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,8.571428571428571
Pond2Fish8_CatchTime,1.041
Pond2Fish8_PondTime,74.951
Pond2Fish8_PondOutcome,86
Pond2Fish8_TotalOutcome,332
Pond2Fish8_TimeLeft,861.251
Type,RD
FishN,17
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,10
Pond2Fish9_CatchTime,1.382
Pond2Fish9_PondTime,89.345
Pond2Fish9_PondOutcome,98
Pond2Fish9_TotalOutcome,344
Pond2Fish9_TimeLeft,846.858
Type,RD
FishN,17
Fish,10
Pond2Fish10_FishType,gray
Pond2Fish10_FishLatency,12
Pond2Fish10_CatchTime,-1
Pond2Fish10_PondTime,106.814
Pond2Fish10_PondOutcome,98
Pond2Fish10_TotalOutcome,344
Pond2Fish10_TimeLeft,829.389
PondEnd_LastFish,10
FishN,14
Type,RD
GiveUpTime,24.464
PondTime,113.395
TimeLeft,822.293
PondOutcome,98
TotalOutcome,344
PondStart,PondStart
PondIntroTime,16.061886814422905
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,0.913
Pond12Fish1_PondTime,8.634
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,356
Pond12Fish1_TimeLeft,796.952
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,1.08
Pond12Fish2_PondTime,15.649
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,368
Pond12Fish2_TimeLeft,789.937
Type,RD
FishN,15
Fish,3
