,5e1c77b25299ce000b689d9e
Pond2Fish9_PondTime,63.427
Pond2Fish9_PondOutcome,98
Pond2Fish9_TotalOutcome,268
Pond2Fish9_TimeLeft,984.436
Type,RD
FishN,17
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,6
Pond2Fish10_CatchTime,0.837
Pond2Fish10_PondTime,72.492
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,280
Pond2Fish10_TimeLeft,975.371
Type,RD
FishN,17
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,6.666666666666667
Pond2Fish11_CatchTime,0.921
Pond2Fish11_PondTime,82.387
Pond2Fish11_PondOutcome,122
Pond2Fish11_TotalOutcome,292
Pond2Fish11_TimeLeft,965.476
Type,RD
FishN,17
Fish,12
Pond2Fish12_FishType,gray
Pond2Fish12_FishLatency,7.5
Pond2Fish12_CatchTime,0.898
Pond2Fish12_PondTime,93.376
Pond2Fish12_PondOutcome,124
Pond2Fish12_TotalOutcome,294
Pond2Fish12_TimeLeft,954.487
PondEnd_LastFish,12
FishN,19
Type,RD
GiveUpTime,0.609
PondTime,105.459
TimeLeft,941.9
PondOutcome,124
TotalOutcome,294
PondStart,PondStart
PondIntroTime,11.666748982388526
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.75
Pond6Fish1_CatchTime,0.85
Pond6Fish1_PondTime,8.268
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,306
Pond6Fish1_TimeLeft,921.327
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4
Pond6Fish2_CatchTime,0.817
Pond6Fish2_PondTime,14.917
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,318
Pond6Fish2_TimeLeft,914.677
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,4.285714285714286
Pond6Fish3_CatchTime,0.906
Pond6Fish3_PondTime,21.9
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,330
Pond6Fish3_TimeLeft,907.695
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,4.615384615384615
Pond6Fish4_CatchTime,1.003
Pond6Fish4_PondTime,29.268
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,342
Pond6Fish4_TimeLeft,900.326
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,gray
Pond6Fish5_FishLatency,5
Pond6Fish5_CatchTime,0.906
Pond6Fish5_PondTime,37.084
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,344
Pond6Fish5_TimeLeft,892.511
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,5.454545454545454
Pond6Fish6_CatchTime,0.843
Pond6Fish6_PondTime,45.45
Pond6Fish6_PondOutcome,62
Pond6Fish6_TotalOutcome,356
Pond6Fish6_TimeLeft,884.145
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,6
Pond6Fish7_CatchTime,0.961
Pond6Fish7_PondTime,54.484
Pond6Fish7_PondOutcome,74
Pond6Fish7_TotalOutcome,368
Pond6Fish7_TimeLeft,875.111
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,6.666666666666667
Pond6Fish8_CatchTime,1.232
Pond6Fish8_PondTime,64.348
Pond6Fish8_PondOutcome,86
Pond6Fish8_TotalOutcome,380
Pond6Fish8_TimeLeft,865.247
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,7.5
Pond6Fish9_CatchTime,1.009
Pond6Fish9_PondTime,75.284
Pond6Fish9_PondOutcome,98
Pond6Fish9_TotalOutcome,392
Pond6Fish9_TimeLeft,854.311
Type,RD
FishN,19
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,8.571428571428571
Pond6Fish10_CatchTime,0.988
Pond6Fish10_PondTime,87.659
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,404
Pond6Fish10_TimeLeft,841.936
PondEnd_LastFish,10
FishN,16
Type,RD
GiveUpTime,0.707
PondTime,101.839
TimeLeft,827.253
PondOutcome,110
TotalOutcome,404
PondStart,PondStart
PondIntroTime,18.284950747620314
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,0.884
Pond1Fish1_PondTime,7.802
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,416
Pond1Fish1_TimeLeft,800.545
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,0.759
Pond1Fish2_PondTime,13.917
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,428
Pond1Fish2_TimeLeft,794.43
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,0.825
Pond1Fish3_PondTime,20.285
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,440
Pond1Fish3_TimeLeft,788.062
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,0.903
Pond1Fish4_PondTime,26.945
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,452
Pond1Fish4_TimeLeft,781.402
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,0.824
Pond1Fish5_PondTime,33.919
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,464
Pond1Fish5_TimeLeft,774.428
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,0.728
Pond1Fish6_PondTime,41.286
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,476
Pond1Fish6_TimeLeft,767.061
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,0.713
Pond1Fish7_PondTime,49.103
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,488
Pond1Fish7_TimeLeft,759.244
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,1.065
Pond1Fish8_PondTime,57.47
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,500
Pond1Fish8_TimeLeft,750.877
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,gray
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,-1
Pond1Fish9_PondTime,66.568
Pond1Fish9_PondOutcome,96
Pond1Fish9_TotalOutcome,500
Pond1Fish9_TimeLeft,741.779
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,0.714
Pond1Fish10_PondTime,76.436
Pond1Fish10_PondOutcome,108
Pond1Fish10_TotalOutcome,512
Pond1Fish10_TimeLeft,731.911
Type,RD
FishN,19
Fish,11
Pond1Fish11_FishType,blue
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,0.684
Pond1Fish11_PondTime,87.378
Pond1Fish11_PondOutcome,120
Pond1Fish11_TotalOutcome,524
Pond1Fish11_TimeLeft,720.969
Type,RD
FishN,19
Fish,12
Pond1Fish12_FishType,blue
Pond1Fish12_FishLatency,8.571428571428571
Pond1Fish12_CatchTime,0.878
Pond1Fish12_PondTime,99.752
Pond1Fish12_PondOutcome,132
Pond1Fish12_TotalOutcome,536
Pond1Fish12_TimeLeft,708.595
PondEnd_LastFish,12
FishN,18
Type,RD
GiveUpTime,0.563
PondTime,113.696
TimeLeft,694.148
PondOutcome,132
TotalOutcome,536
PondStart,PondStart
PondIntroTime,12.992130431812257
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,0.793
Pond3Fish1_PondTime,8.266
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,548
Pond3Fish1_TimeLeft,672.279
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,1.199
Pond3Fish2_PondTime,14.917
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,560
Pond3Fish2_TimeLeft,665.628
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,0.951
Pond3Fish3_PondTime,21.911
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,572
Pond3Fish3_TimeLeft,658.634
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,0.856
Pond3Fish4_PondTime,29.283
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,584
Pond3Fish4_TimeLeft,651.262
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,0.911
Pond3Fish5_PondTime,37.101
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,596
Pond3Fish5_TimeLeft,643.444
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,0.968
Pond3Fish6_PondTime,45.468
Pond3Fish6_PondOutcome,72
Pond3Fish6_TotalOutcome,608
Pond3Fish6_TimeLeft,635.077
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,6
Pond3Fish7_CatchTime,0.687
Pond3Fish7_PondTime,54.527
Pond3Fish7_PondOutcome,84
Pond3Fish7_TotalOutcome,620
Pond3Fish7_TimeLeft,626.018
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,6.666666666666667
Pond3Fish8_CatchTime,1.716
Pond3Fish8_PondTime,64.4
Pond3Fish8_PondOutcome,96
Pond3Fish8_TotalOutcome,632
Pond3Fish8_TimeLeft,616.145
Type,RD
FishN,15
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,7.5
Pond3Fish9_CatchTime,0.797
Pond3Fish9_PondTime,75.336
Pond3Fish9_PondOutcome,108
Pond3Fish9_TotalOutcome,644
Pond3Fish9_TimeLeft,605.209
Type,RD
FishN,15
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,8.571428571428571
Pond3Fish10_CatchTime,1.078
Pond3Fish10_PondTime,87.702
Pond3Fish10_PondOutcome,120
Pond3Fish10_TotalOutcome,656
Pond3Fish10_TimeLeft,592.843
Type,RD
FishN,15
Fish,11
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,10
Pond3Fish11_CatchTime,1.112
Pond3Fish11_PondTime,102.068
Pond3Fish11_PondOutcome,132
Pond3Fish11_TotalOutcome,668
Pond3Fish11_TimeLeft,578.476
PondEnd_LastFish,11
FishN,16
Type,RD
GiveUpTime,1.407
PondTime,102.79
TimeLeft,577.252
PondOutcome,132
TotalOutcome,668
PondStart,PondStart
PondIntroTime,18.874510056339204
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,4.615384615384615
Pond7Fish1_CatchTime,0.801
Pond7Fish1_PondTime,9.267
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,680
Pond7Fish1_TimeLeft,548.494
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,5
Pond7Fish2_CatchTime,0.856
Pond7Fish2_PondTime,17.084
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,692
Pond7Fish2_TimeLeft,540.677
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,5.454545454545454
Pond7Fish3_CatchTime,1.129
Pond7Fish3_PondTime,25.467
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,704
Pond7Fish3_TimeLeft,532.294
Type,RD
FishN,18
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,6
Pond7Fish4_CatchTime,0.872
Pond7Fish4_PondTime,34.517
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,716
Pond7Fish4_TimeLeft,523.244
Type,RD
FishN,18
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,6.666666666666667
Pond7Fish5_CatchTime,0.717
Pond7Fish5_PondTime,44.384
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,728
Pond7Fish5_TimeLeft,513.377
Type,RD
FishN,18
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,7.5
Pond7Fish6_CatchTime,1.207
Pond7Fish6_PondTime,55.317
Pond7Fish6_PondOutcome,72
Pond7Fish6_TotalOutcome,740
Pond7Fish6_TimeLeft,502.444
PondEnd_LastFish,6
FishN,13
Type,RD
GiveUpTime,1.059
PondTime,55.79
TimeLeft,501.469
PondOutcome,72
TotalOutcome,740
PondStart,PondStart
PondIntroTime,15.499541210010648
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,gray
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,1.095
Pond5Fish1_PondTime,9.747
Pond5Fish1_PondOutcome,2
Pond5Fish1_TotalOutcome,742
Pond5Fish1_TimeLeft,475.597
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,0.934
Pond5Fish2_PondTime,18.117
Pond5Fish2_PondOutcome,14
Pond5Fish2_TotalOutcome,754
Pond5Fish2_TimeLeft,467.227
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,1.069
Pond5Fish3_PondTime,27.149
Pond5Fish3_PondOutcome,26
Pond5Fish3_TotalOutcome,766
Pond5Fish3_TimeLeft,458.195
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,0.729
Pond5Fish4_PondTime,37.018
Pond5Fish4_PondOutcome,38
Pond5Fish4_TotalOutcome,778
Pond5Fish4_TimeLeft,448.326
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,1.053
Pond5Fish5_PondTime,47.95
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,790
Pond5Fish5_TimeLeft,437.394
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,8.571428571428571
Pond5Fish6_CatchTime,0.695
Pond5Fish6_PondTime,60.318
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,802
Pond5Fish6_TimeLeft,425.026
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,10
Pond5Fish7_CatchTime,0.752
Pond5Fish7_PondTime,74.684
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,814
Pond5Fish7_TimeLeft,410.66
PondEnd_LastFish,7
FishN,12
Type,RD
GiveUpTime,0.536
PondTime,91.686
TimeLeft,393.155
