,56cc926a425487000a76dbc6
Pond2Fish6_PondTime,55.351
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,392
Pond2Fish6_TimeLeft,778.93
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,0.742
Pond2Fish7_PondTime,67.719
Pond2Fish7_PondOutcome,84
Pond2Fish7_TotalOutcome,404
Pond2Fish7_TimeLeft,766.563
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,10
Pond2Fish8_CatchTime,1.052
Pond2Fish8_PondTime,82.086
Pond2Fish8_PondOutcome,96
Pond2Fish8_TotalOutcome,416
Pond2Fish8_TimeLeft,752.196
PondEnd_LastFish,8
FishN,13
Type,RD
GiveUpTime,0.668
PondTime,99.252
TimeLeft,734.521
PondOutcome,96
TotalOutcome,416
PondStart,PondStart
PondIntroTime,19.2697278293781
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,0.703
Pond3Fish1_PondTime,8.282
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,428
Pond3Fish1_TimeLeft,706.346
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,2.029
Pond3Fish2_PondTime,14.999
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,440
Pond3Fish2_TimeLeft,699.629
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,-1
Pond3Fish3_PondTime,22.049
Pond3Fish3_PondOutcome,24
Pond3Fish3_TotalOutcome,440
Pond3Fish3_TimeLeft,692.578
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,1.011
Pond3Fish4_PondTime,29.418
Pond3Fish4_PondOutcome,36
Pond3Fish4_TotalOutcome,452
Pond3Fish4_TimeLeft,685.21
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,0.946
Pond3Fish5_PondTime,37.233
Pond3Fish5_PondOutcome,48
Pond3Fish5_TotalOutcome,464
Pond3Fish5_TimeLeft,677.395
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,gray
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,1.455
Pond3Fish6_PondTime,45.6
Pond3Fish6_PondOutcome,50
Pond3Fish6_TotalOutcome,466
Pond3Fish6_TimeLeft,669.028
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,6
Pond3Fish7_CatchTime,0.804
Pond3Fish7_PondTime,54.635
Pond3Fish7_PondOutcome,62
Pond3Fish7_TotalOutcome,478
Pond3Fish7_TimeLeft,659.993
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,6.666666666666667
Pond3Fish8_CatchTime,0.877
Pond3Fish8_PondTime,64.5
Pond3Fish8_PondOutcome,74
Pond3Fish8_TotalOutcome,490
Pond3Fish8_TimeLeft,650.128
Type,RD
FishN,15
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,7.5
Pond3Fish9_CatchTime,0.673
Pond3Fish9_PondTime,75.433
Pond3Fish9_PondOutcome,86
Pond3Fish9_TotalOutcome,502
Pond3Fish9_TimeLeft,639.195
Type,RD
FishN,15
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,8.571428571428571
Pond3Fish10_CatchTime,1.239
Pond3Fish10_PondTime,87.801
Pond3Fish10_PondOutcome,98
Pond3Fish10_TotalOutcome,514
Pond3Fish10_TimeLeft,626.827
PondEnd_LastFish,10
FishN,16
Type,RD
GiveUpTime,0.387
PondTime,101.558
TimeLeft,612.565
PondOutcome,98
TotalOutcome,514
PondStart,PondStart
PondIntroTime,15.069550888147205
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,1.035
Pond6Fish1_PondTime,8.903
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,526
Pond6Fish1_TimeLeft,587.973
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,1.148
Pond6Fish2_PondTime,16.266
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,538
Pond6Fish2_TimeLeft,580.61
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,-1
Pond6Fish3_PondTime,24.15
Pond6Fish3_PondOutcome,24
Pond6Fish3_TotalOutcome,538
Pond6Fish3_TimeLeft,572.726
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,-1
Pond6Fish4_PondTime,32.572
Pond6Fish4_PondOutcome,24
Pond6Fish4_TotalOutcome,538
Pond6Fish4_TimeLeft,564.304
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,1.504
Pond6Fish5_PondTime,41.602
Pond6Fish5_PondOutcome,36
Pond6Fish5_TotalOutcome,550
Pond6Fish5_TimeLeft,555.274
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,6.666666666666667
Pond6Fish6_CatchTime,0.924
Pond6Fish6_PondTime,51.47
Pond6Fish6_PondOutcome,48
Pond6Fish6_TotalOutcome,562
Pond6Fish6_TimeLeft,545.406
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,7.5
Pond6Fish7_CatchTime,0.798
Pond6Fish7_PondTime,62.403
Pond6Fish7_PondOutcome,60
Pond6Fish7_TotalOutcome,574
Pond6Fish7_TimeLeft,534.473
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,8.571428571428571
Pond6Fish8_CatchTime,1.053
Pond6Fish8_PondTime,74.77
Pond6Fish8_PondOutcome,72
Pond6Fish8_TotalOutcome,586
Pond6Fish8_TimeLeft,522.106
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,10
Pond6Fish9_CatchTime,0.848
Pond6Fish9_PondTime,89.135
Pond6Fish9_PondOutcome,84
Pond6Fish9_TotalOutcome,598
Pond6Fish9_TimeLeft,507.741
PondEnd_LastFish,9
FishN,14
Type,RD
GiveUpTime,0.85
PondTime,106.45
TimeLeft,489.921
PondOutcome,84
TotalOutcome,598
PondStart,PondStart
PondIntroTime,14.029148498084396
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.1578947368421053
Pond12Fish1_CatchTime,0.936
Pond12Fish1_PondTime,7.616
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,610
Pond12Fish1_TimeLeft,467.64
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,3.3333333333333335
Pond12Fish2_CatchTime,1.546
Pond12Fish2_PondTime,13.518
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,622
Pond12Fish2_TimeLeft,461.739
Type,RD
FishN,15
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,3.5294117647058822
Pond12Fish3_CatchTime,0.892
Pond12Fish3_PondTime,19.634
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,634
Pond12Fish3_TimeLeft,455.622
Type,RD
FishN,15
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,3.75
Pond12Fish4_CatchTime,0.763
Pond12Fish4_PondTime,25.999
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,646
Pond12Fish4_TimeLeft,449.257
Type,RD
FishN,15
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,4
Pond12Fish5_CatchTime,-1
Pond12Fish5_PondTime,32.716
Pond12Fish5_PondOutcome,48
Pond12Fish5_TotalOutcome,646
Pond12Fish5_TimeLeft,442.541
Type,RD
FishN,15
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,4.285714285714286
Pond12Fish6_CatchTime,0.741
Pond12Fish6_PondTime,39.7
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,658
Pond12Fish6_TimeLeft,435.557
Type,RD
FishN,15
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,4.615384615384615
Pond12Fish7_CatchTime,0.94
Pond12Fish7_PondTime,47.068
Pond12Fish7_PondOutcome,72
Pond12Fish7_TotalOutcome,670
Pond12Fish7_TimeLeft,428.189
Type,RD
FishN,15
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,5
Pond12Fish8_CatchTime,1.774
Pond12Fish8_PondTime,54.969
Pond12Fish8_PondOutcome,84
Pond12Fish8_TotalOutcome,682
Pond12Fish8_TimeLeft,420.288
Type,RD
FishN,15
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,5.454545454545454
Pond12Fish9_CatchTime,0.99
Pond12Fish9_PondTime,63.332
Pond12Fish9_PondOutcome,96
Pond12Fish9_TotalOutcome,694
Pond12Fish9_TimeLeft,411.925
Type,RD
FishN,15
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,6
Pond12Fish10_CatchTime,1.138
Pond12Fish10_PondTime,72.37
Pond12Fish10_PondOutcome,108
Pond12Fish10_TotalOutcome,706
Pond12Fish10_TimeLeft,402.886
Type,RD
FishN,15
Fish,11
Pond12Fish11_FishType,blue
