,5e1b28d4d370f435a62cfbe2
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,1.28
Pond9Fish4_PondTime,28.141
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,338
Pond9Fish4_TimeLeft,822.755
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,0.979
Pond9Fish5_PondTime,35.541
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,350
Pond9Fish5_TimeLeft,815.355
Type,RD
FishN,18
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,1.849
Pond9Fish6_PondTime,43.531
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,362
Pond9Fish6_TimeLeft,807.365
Type,RD
FishN,18
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,0.965
Pond9Fish7_PondTime,51.94
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,374
Pond9Fish7_TimeLeft,798.956
Type,RD
FishN,18
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,1.232
Pond9Fish8_PondTime,61.01
Pond9Fish8_PondOutcome,96
Pond9Fish8_TotalOutcome,386
Pond9Fish8_TimeLeft,789.886
Type,RD
FishN,18
Fish,9
Pond9Fish9_FishType,gray
Pond9Fish9_FishLatency,6.666666666666667
Pond9Fish9_CatchTime,1.474
Pond9Fish9_PondTime,70.902
Pond9Fish9_PondOutcome,98
Pond9Fish9_TotalOutcome,388
Pond9Fish9_TimeLeft,779.993
Type,RD
FishN,18
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,7.5
Pond9Fish10_CatchTime,0.911
Pond9Fish10_PondTime,81.869
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,400
Pond9Fish10_TimeLeft,769.027
Type,RD
FishN,18
Fish,11
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,8.571428571428571
Pond9Fish11_CatchTime,1.247
Pond9Fish11_PondTime,94.258
Pond9Fish11_PondOutcome,122
Pond9Fish11_TotalOutcome,412
Pond9Fish11_TimeLeft,756.638
Type,RD
FishN,18
Fish,12
Pond9Fish12_FishType,blue
Pond9Fish12_FishLatency,10
Pond9Fish12_CatchTime,1.694
Pond9Fish12_PondTime,108.667
Pond9Fish12_PondOutcome,134
Pond9Fish12_TotalOutcome,424
Pond9Fish12_TimeLeft,742.229
Type,RD
FishN,18
Fish,13
Pond9Fish13_FishType,blue
Pond9Fish13_FishLatency,12
Pond9Fish13_CatchTime,1.173
Pond9Fish13_PondTime,126.046
Pond9Fish13_PondOutcome,146
Pond9Fish13_TotalOutcome,436
Pond9Fish13_TimeLeft,724.85
Type,RD
FishN,18
Fish,14
Pond9Fish14_FishType,blue
Pond9Fish14_FishLatency,15
Pond9Fish14_CatchTime,0.859
Pond9Fish14_PondTime,148.434
Pond9Fish14_PondOutcome,158
Pond9Fish14_TotalOutcome,448
Pond9Fish14_TimeLeft,702.462
Type,RD
FishN,18
Fish,15
Pond9Fish15_FishType,blue
Pond9Fish15_FishLatency,20
Pond9Fish15_CatchTime,-1
Pond9Fish15_PondTime,180.873
Pond9Fish15_PondOutcome,158
Pond9Fish15_TotalOutcome,448
Pond9Fish15_TimeLeft,670.023
PondEnd_LastFish,15
FishN,17
Type,RD
GiveUpTime,52.999
PondTime,200.48
TimeLeft,649.906
PondOutcome,158
TotalOutcome,448
PondStart,PondStart
PondIntroTime,10.360014867037535
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,4
Pond5Fish1_CatchTime,1.509
Pond5Fish1_PondTime,8.576
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,460
Pond5Fish1_TimeLeft,630.342
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4.285714285714286
Pond5Fish2_CatchTime,1.213
Pond5Fish2_PondTime,15.592
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,472
Pond5Fish2_TimeLeft,623.326
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,4.615384615384615
Pond5Fish3_CatchTime,1.444
Pond5Fish3_PondTime,22.993
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,484
Pond5Fish3_TimeLeft,615.925
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,5
Pond5Fish4_CatchTime,1.575
Pond5Fish4_PondTime,30.832
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,496
Pond5Fish4_TimeLeft,608.085
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,5.454545454545454
Pond5Fish5_CatchTime,1.249
Pond5Fish5_PondTime,39.233
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,508
Pond5Fish5_TimeLeft,599.685
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,6
Pond5Fish6_CatchTime,2.02
Pond5Fish6_PondTime,48.393
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,520
Pond5Fish6_TimeLeft,590.525
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,6.666666666666667
