,5dd749139255ed6e91628f96
Pond11Fish5_TotalOutcome,510
Pond11Fish5_TimeLeft,562.116
Pond11_Type,RT
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,8.571428571428571
Pond11Fish6_CatchTime,1.404
Pond11Fish6_PondTime,72.22
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,520
Pond11Fish6_TimeLeft,549.753
Pond11_Type,RT
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,10
Pond11Fish7_CatchTime,-1
Pond11Fish7_PondTime,86.635
Pond11Fish7_PondOutcome,60
Pond11Fish7_TotalOutcome,520
Pond11Fish7_TimeLeft,535.338
Pond11_GiveUpTime,26.458
Pond11_PondTime,98.694
Pond11_PondOutcome,60
Pond11_TotalOutcome,520
Pond11_TimeLeft,523.279
Pond8IntroTime,14.069613360334188
Pond8_Type,RT
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,1.167
Pond8Fish1_PondTime,23.243
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,530
Pond8Fish1_TimeLeft,500.036
Pond8_Type,RT
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,1.022
Pond8Fish2_PondTime,30.216
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,540
Pond8Fish2_TimeLeft,493.063
Pond8_Type,RT
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,0.857
Pond8Fish3_PondTime,37.575
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,550
Pond8Fish3_TimeLeft,485.704
Pond8_Type,RT
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,1.056
Pond8Fish4_PondTime,45.399
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,560
Pond8Fish4_TimeLeft,477.88
Pond8_Type,RT
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,1.025
Pond8Fish5_PondTime,53.757
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,570
Pond8Fish5_TimeLeft,469.522
Pond8_Type,RT
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,0.829
Pond8Fish6_PondTime,62.784
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,580
Pond8Fish6_TimeLeft,460.495
Pond8_Type,RT
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,6.666666666666667
Pond8Fish7_CatchTime,1.024
Pond8Fish7_PondTime,72.644
Pond8Fish7_PondOutcome,70
Pond8Fish7_TotalOutcome,590
Pond8Fish7_TimeLeft,450.635
Pond8_Type,RT
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,7.5
Pond8Fish8_CatchTime,1.07
Pond8Fish8_PondTime,83.571
Pond8Fish8_PondOutcome,80
Pond8Fish8_TotalOutcome,600
Pond8Fish8_TimeLeft,439.708
Pond8_GiveUpTime,0.942
Pond8_PondTime,84.196
Pond8_PondOutcome,80
Pond8_TotalOutcome,600
Pond8_TimeLeft,439.083
Pond12IntroTime,10.771223176270723
Pond12_Type,RT
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,0.826
Pond12Fish1_PondTime,20.663
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,610
Pond12Fish1_TimeLeft,418.42
Pond12_Type,RT
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,0.694
Pond12Fish2_PondTime,28.472
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,620
Pond12Fish2_TimeLeft,410.611
Pond12_Type,RT
Pond12Fish3_FishType,golden
Pond12Fish3_FishLatency,5.454545454545454
Pond12Fish3_CatchTime,1.124
Pond12Fish3_PondTime,36.832
Pond12Fish3_PondOutcome,40
Pond12Fish3_TotalOutcome,640
Pond12Fish3_TimeLeft,402.251
Pond12_Type,RT
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,1.071
Pond12Fish4_PondTime,45.856
Pond12Fish4_PondOutcome,50
Pond12Fish4_TotalOutcome,650
Pond12Fish4_TimeLeft,393.227
Pond12_Type,RT
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,6.666666666666667
Pond12Fish5_CatchTime,0.905
Pond12Fish5_PondTime,55.715
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,660
Pond12Fish5_TimeLeft,383.368
Pond12_Type,RT
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,7.5
Pond12Fish6_CatchTime,1.251
Pond12Fish6_PondTime,66.645
Pond12Fish6_PondOutcome,70
Pond12Fish6_TotalOutcome,670
Pond12Fish6_TimeLeft,372.438
Pond12_Type,RT
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,8.571428571428571
Pond12Fish7_CatchTime,0.976
Pond12Fish7_PondTime,79.007
Pond12Fish7_PondOutcome,80
Pond12Fish7_TotalOutcome,680
Pond12Fish7_TimeLeft,360.076
Pond12_GiveUpTime,1.057
Pond12_PondTime,79.646
Pond12_PondOutcome,80
Pond12_TotalOutcome,680
Pond12_TimeLeft,359.437
Pond9IntroTime,10.844742534682155
Pond9_Type,RT
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,4.615384615384615
Pond9Fish1_CatchTime,1.104
Pond9Fish1_PondTime,20.75
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,690
Pond9Fish1_TimeLeft,338.687
Pond9_Type,RT
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,5
Pond9Fish2_CatchTime,0.84
Pond9Fish2_PondTime,28.558
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,700
Pond9Fish2_TimeLeft,330.879
Pond9_Type,RT
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,5.454545454545454
Pond9Fish3_CatchTime,1.17
Pond9Fish3_PondTime,36.917
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,710
Pond9Fish3_TimeLeft,322.52
Pond9_Type,RT
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,6
Pond9Fish4_CatchTime,1.088
Pond9Fish4_PondTime,45.942
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,720
Pond9Fish4_TimeLeft,313.495
Pond9_Type,RT
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,6.666666666666667
Pond9Fish5_CatchTime,0.868
Pond9Fish5_PondTime,55.802
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,730
Pond9Fish5_TimeLeft,303.635
Pond9_Type,RT
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,7.5
Pond9Fish6_CatchTime,0.984
Pond9Fish6_PondTime,66.732
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,740
Pond9Fish6_TimeLeft,292.705
Pond9_Type,RT
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,8.571428571428571
Pond9Fish7_CatchTime,-1
Pond9Fish7_PondTime,79.143
Pond9Fish7_PondOutcome,60
Pond9Fish7_TotalOutcome,740
Pond9Fish7_TimeLeft,280.294
Pond9_GiveUpTime,25.68
Pond9_PondTime,91.993
Pond9_PondOutcome,60
Pond9_TotalOutcome,740
Pond9_TimeLeft,267.444
Pond4IntroTime,10.635267905890942
Pond4_Type,RT
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,-1
Pond4Fish1_PondTime,20.584
Pond4Fish1_PondOutcome,0
Pond4Fish1_TotalOutcome,740
Pond4Fish1_TimeLeft,246.86
Pond4_Type,RT
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,1.312
Pond4Fish2_PondTime,28.392
Pond4Fish2_PondOutcome,10
Pond4Fish2_TotalOutcome,750
Pond4Fish2_TimeLeft,239.052
Pond4_Type,RT
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,0.916
Pond4Fish3_PondTime,36.751
Pond4Fish3_PondOutcome,20
Pond4Fish3_TotalOutcome,760
Pond4Fish3_TimeLeft,230.693
Pond4_Type,RT
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,0.622
Pond4Fish4_PondTime,45.777
Pond4Fish4_PondOutcome,30
Pond4Fish4_TotalOutcome,770
Pond4Fish4_TimeLeft,221.667
Pond4_Type,RT
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,1.454
Pond4Fish5_PondTime,55.637
Pond4Fish5_PondOutcome,40
Pond4Fish5_TotalOutcome,780
Pond4Fish5_TimeLeft,211.807
Pond4_GiveUpTime,0.7
Pond4_PondTime,67.013
Pond4_PondOutcome,40
Pond4_TotalOutcome,780
Pond4_TimeLeft,200.43
Pond3IntroTime,10.562517198268324
Pond3_Type,RT
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,1.535
Pond3Fish1_PondTime,20.904
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,790
Pond3Fish1_TimeLeft,179.526
Pond3_Type,RT
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,1.025
Pond3Fish2_PondTime,29.264
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,800
Pond3Fish2_TimeLeft,171.166
Pond3_Type,RT
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,0.757
Pond3Fish3_PondTime,38.289
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,810
Pond3Fish3_TimeLeft,162.141
Pond3_Type,RT
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,0.863
Pond3Fish4_PondTime,48.149
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,820
Pond3Fish4_TimeLeft,152.281
Pond3_Type,RT
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,7.5
Pond3Fish5_CatchTime,0.924
Pond3Fish5_PondTime,59.079
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,830
Pond3Fish5_TimeLeft,141.351
Pond3_Type,RT
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,8.571428571428571
Pond3Fish6_CatchTime,1.589
Pond3Fish6_PondTime,71.44
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,840
Pond3Fish6_TimeLeft,128.99
Pond3_GiveUpTime,0.432
Pond3_PondTime,85.619
Pond3_PondOutcome,60
Pond3_TotalOutcome,840
Pond3_TimeLeft,114.811
Pond12IntroTime,11.232711770571768
