,5b87e13126d98700015ed667
Pond8Fish11_TotalOutcome,660
Pond8Fish11_TimeLeft,331.753
Pond8_Type,N
Pond8Fish12_FishType,green
Pond8Fish12_FishLatency,7.5
Pond8Fish12_CatchTime,1.001
Pond8Fish12_PondTime,110.122
Pond8Fish12_PondOutcome,132
Pond8Fish12_TotalOutcome,671
Pond8Fish12_TimeLeft,320.764
Pond8_Type,N
Pond8Fish13_FishType,green
Pond8Fish13_FishLatency,8.571428571428571
Pond8Fish13_CatchTime,1.192
Pond8Fish13_PondTime,122.521
Pond8Fish13_PondOutcome,143
Pond8Fish13_TotalOutcome,682
Pond8Fish13_TimeLeft,308.365
Pond8_GiveUpTime,0.97
Pond8_PondTime,123.275
Pond8_PondOutcome,143
Pond8_TotalOutcome,682
Pond8_TimeLeft,307.611
Pond3IntroTime,11.302259073127061
Pond3_Type,RT
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,1.058
Pond3Fish1_PondTime,20.263
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,692
Pond3Fish1_TimeLeft,287.348
Pond3_Type,RT
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,1.962
Pond3Fish2_PondTime,27.209
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,702
Pond3Fish2_TimeLeft,280.402
Pond3_Type,RT
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,1.196
Pond3Fish3_PondTime,34.219
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,712
Pond3Fish3_TimeLeft,273.392
Pond3_Type,RT
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,1.199
Pond3Fish4_PondTime,41.62
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,722
Pond3Fish4_TimeLeft,265.991
Pond3_Type,RT
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,0.93
Pond3Fish5_PondTime,49.507
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,732
Pond3Fish5_TimeLeft,258.103
Pond3_Type,RT
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,0.956
Pond3Fish6_PondTime,57.928
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,742
Pond3Fish6_TimeLeft,249.683
Pond3_Type,RT
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,6
Pond3Fish7_CatchTime,1.261
Pond3Fish7_PondTime,67.005
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,752
Pond3Fish7_TimeLeft,240.605
Pond3_Type,RT
Pond3Fish8_FishType,golden
Pond3Fish8_FishLatency,6.666666666666667
Pond3Fish8_CatchTime,1.649
Pond3Fish8_PondTime,76.924
Pond3Fish8_PondOutcome,90
Pond3Fish8_TotalOutcome,772
Pond3Fish8_TimeLeft,230.687
Pond3_Type,RT
Pond3Fish9_FishType,golden
Pond3Fish9_FishLatency,7.5
Pond3Fish9_CatchTime,1.15
Pond3Fish9_PondTime,87.892
Pond3Fish9_PondOutcome,110
Pond3Fish9_TotalOutcome,792
Pond3Fish9_TimeLeft,219.719
Pond3_Type,RT
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,8.571428571428571
Pond3Fish10_CatchTime,1.582
Pond3Fish10_PondTime,100.324
Pond3Fish10_PondOutcome,120
Pond3Fish10_TotalOutcome,802
Pond3Fish10_TimeLeft,207.286
Pond3_Type,RT
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,10
Pond3Fish11_CatchTime,0.958
Pond3Fish11_PondTime,114.727
Pond3Fish11_PondOutcome,130
Pond3Fish11_TotalOutcome,812
Pond3Fish11_TimeLeft,192.883
Pond3_Type,RT
Pond3Fish12_FishType,purple
Pond3Fish12_FishLatency,12
Pond3Fish12_CatchTime,1.243
Pond3Fish12_PondTime,132.14
Pond3Fish12_PondOutcome,140
Pond3Fish12_TotalOutcome,822
Pond3Fish12_TimeLeft,175.471
Pond3_GiveUpTime,4.546
Pond3_PondTime,136.526
Pond3_PondOutcome,140
Pond3_TotalOutcome,822
Pond3_TimeLeft,171.085
Pond4IntroTime,19.327219258993864
Pond4_Type,RT
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4.285714285714286
