,5b87e13126d98700015ed667
Pond12Fish1_FishLatency,3.5294117647058822
Pond12Fish1_CatchTime,1.355
Pond12Fish1_PondTime,25.142
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,943
Pond12Fish1_TimeLeft,18.553
Pond12_Type,N
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,3.75
Pond12Fish2_CatchTime,0.81
Pond12Fish2_PondTime,31.541
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,954
Pond12Fish2_TimeLeft,12.155
Pond12_Type,N
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4
Pond12Fish3_CatchTime,0.777
Pond12Fish3_PondTime,38.24
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,965
Pond12Fish3_TimeLeft,5.456
