,5b9125803e41080001a850e5
Pond6Fish13_TimeLeft,489.24
Pond6_Type,N
Pond6Fish14_FishType,green
Pond6Fish14_FishLatency,12
Pond6Fish14_CatchTime,-1
Pond6Fish14_GiveUpTime,0.894
Pond6Fish14_PondTime,17.265
Pond6Fish14_PondOutcome,143
Pond6Fish14_TotalOutcome,539
Pond6Fish14_TimeLeft,471.975
Pond5IntroTime,19.680458747316152
Pond3_Type,N
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,1.02
Pond3Fish1_GiveUpTime,-1
Pond3Fish1_PondTime,30.668
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,550
Pond3Fish1_TimeLeft,441.307
Pond3_Type,N
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,0.971
Pond3Fish2_GiveUpTime,-1
Pond3Fish2_PondTime,7.615
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,561
Pond3Fish2_TimeLeft,433.692
Pond3_Type,N
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,0.952
Pond3Fish3_GiveUpTime,-1
Pond3Fish3_PondTime,7.852
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,572
Pond3Fish3_TimeLeft,425.84
Pond3_Type,N
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,0.925
Pond3Fish4_GiveUpTime,-1
Pond3Fish4_PondTime,8.099
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,583
Pond3Fish4_TimeLeft,417.741
Pond3_Type,N
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,0.941
Pond3Fish5_GiveUpTime,-1
Pond3Fish5_PondTime,8.384
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,594
Pond3Fish5_TimeLeft,409.357
Pond3_Type,N
