,5c64102d77ef790001047772
Pond12Fish5_CatchTime,0.82
Pond12Fish5_GiveUpTime,-1
Pond12Fish5_PondTime,9.555
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,792
Pond12Fish5_TimeLeft,224.395
Pond12_Type,N
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,0.966
Pond12Fish6_GiveUpTime,-1
Pond12Fish6_PondTime,10.101
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,803
Pond12Fish6_TimeLeft,214.293
Pond12_Type,N
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,3.046
Pond12Fish7_GiveUpTime,-1
Pond12Fish7_PondTime,10.772
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,814
Pond12Fish7_TimeLeft,203.52
Pond12_Type,N
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,0.928
Pond12Fish8_GiveUpTime,-1
Pond12Fish8_PondTime,11.617
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,825
Pond12Fish8_TimeLeft,191.903
Pond12_Type,N
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,1.014
Pond12Fish9_GiveUpTime,-1
Pond12Fish9_PondTime,12.675
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,836
Pond12Fish9_TimeLeft,179.228
Pond12_Type,N
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,8.571428571428571
Pond12Fish10_CatchTime,-1
Pond12Fish10_GiveUpTime,0.703
Pond12Fish10_PondTime,11.923
Pond12Fish10_PondOutcome,99
Pond12Fish10_TotalOutcome,836
Pond12Fish10_TimeLeft,167.305
Pond12IntroTime,16.748521919362247
Pond3_Type,N
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,1.101
Pond3Fish1_GiveUpTime,-1
Pond3Fish1_PondTime,27.755
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,847
Pond3Fish1_TimeLeft,139.549
Pond3_Type,N
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,1.213
Pond3Fish2_GiveUpTime,-1
Pond3Fish2_PondTime,7.64
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,858
Pond3Fish2_TimeLeft,131.908
Pond3_Type,N
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,1.576
Pond3Fish3_GiveUpTime,-1
Pond3Fish3_PondTime,7.853
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,869
Pond3Fish3_TimeLeft,124.054
Pond3_Type,N
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,1.162
Pond3Fish4_GiveUpTime,-1
Pond3Fish4_PondTime,8.098
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,880
Pond3Fish4_TimeLeft,115.955
Pond3_Type,N
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,1.008
Pond3Fish5_GiveUpTime,-1
Pond3Fish5_PondTime,8.383
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,891
Pond3Fish5_TimeLeft,107.571
Pond3_Type,N
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,1.054
Pond3Fish6_GiveUpTime,-1
Pond3Fish6_PondTime,8.725
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,902
Pond3Fish6_TimeLeft,98.846
Pond3_Type,N
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,0.908
Pond3Fish7_GiveUpTime,-1
Pond3Fish7_PondTime,9.109
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,913
Pond3Fish7_TimeLeft,89.737
Pond3_Type,N
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,0.865
Pond3Fish8_GiveUpTime,-1
Pond3Fish8_PondTime,9.556
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,924
Pond3Fish8_TimeLeft,80.18
Pond3_Type,N
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,1.077
Pond3Fish9_GiveUpTime,-1
Pond3Fish9_PondTime,11.497
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,935
Pond3Fish9_TimeLeft,68.682
Pond3_Type,N
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,-1
Pond3Fish10_GiveUpTime,0.598
Pond3Fish10_PondTime,8.397
Pond3Fish10_PondOutcome,99
Pond3Fish10_TotalOutcome,935
Pond3Fish10_TimeLeft,60.284
Pond13IntroTime,14.158459866885096
Pond10_Type,N
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,1.192
Pond10Fish1_GiveUpTime,-1
Pond10Fish1_PondTime,27.782
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,946
Pond10Fish1_TimeLeft,32.502
Pond10_Type,N
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,0.757
Pond10Fish2_GiveUpTime,-1
Pond10Fish2_PondTime,10.086
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,957
Pond10Fish2_TimeLeft,22.416
Pond10_Type,N
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,0.746
Pond10Fish3_GiveUpTime,-1
Pond10Fish3_PondTime,10.756
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,968
Pond10Fish3_TimeLeft,11.659
Pond10_Type,N
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,-1
Pond10Fish4_GiveUpTime,-1
Pond10Fish4_PondTime,11.666
Pond10Fish4_PondOutcome,33
Pond10Fish4_TotalOutcome,968
Pond10Fish4_TimeLeft,-0.007
