,5d262da76bd66700172661e1
Pond10Fish6_TotalOutcome,803
Pond10Fish6_TimeLeft,201.967
Pond10_Type,N
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,-1
Pond10Fish7_GiveUpTime,0.637
Pond10Fish7_PondTime,13.688
Pond10Fish7_PondOutcome,66
Pond10Fish7_TotalOutcome,803
Pond10Fish7_TimeLeft,188.279
Pond10IntroTime,16.387093265075237
Pond7_Type,N
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,0.737
Pond7Fish1_GiveUpTime,-1
Pond7Fish1_PondTime,29.749
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,814
Pond7Fish1_TimeLeft,158.529
Pond7_Type,N
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,0.619
Pond7Fish2_GiveUpTime,-1
Pond7Fish2_PondTime,8.086
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,825
Pond7Fish2_TimeLeft,150.442
Pond7_Type,N
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,0.631
Pond7Fish3_GiveUpTime,-1
Pond7Fish3_PondTime,8.373
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,836
Pond7Fish3_TimeLeft,142.068
Pond7_Type,N
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,0.678
Pond7Fish4_GiveUpTime,-1
Pond7Fish4_PondTime,8.698
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,847
Pond7Fish4_TimeLeft,133.37
Pond7_Type,N
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,0.739
Pond7Fish5_GiveUpTime,-1
Pond7Fish5_PondTime,9.09
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,858
Pond7Fish5_TimeLeft,124.28
Pond7_Type,N
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,0.848
Pond7Fish6_GiveUpTime,-1
Pond7Fish6_PondTime,9.541
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,869
Pond7Fish6_TimeLeft,114.739
Pond7_Type,N
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,0.568
Pond7Fish7_GiveUpTime,-1
Pond7Fish7_PondTime,10.089
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,880
Pond7Fish7_TimeLeft,104.65
Pond7_Type,N
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,0.956
Pond7Fish8_GiveUpTime,-1
Pond7Fish8_PondTime,10.752
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,891
Pond7Fish8_TimeLeft,93.898
Pond7_Type,N
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,0.529
Pond7Fish9_GiveUpTime,-1
Pond7Fish9_PondTime,11.583
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,902
Pond7Fish9_TimeLeft,82.314
Pond7_Type,N
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,0.715
Pond7Fish10_GiveUpTime,-1
Pond7Fish10_PondTime,12.657
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,913
Pond7Fish10_TimeLeft,69.657
Pond7_Type,N
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,0.877
Pond7Fish11_GiveUpTime,-1
Pond7Fish11_PondTime,14.087
Pond7Fish11_PondOutcome,121
Pond7Fish11_TotalOutcome,924
Pond7Fish11_TimeLeft,55.569
Pond7_Type,N
Pond7Fish12_FishType,green
Pond7Fish12_FishLatency,10
Pond7Fish12_CatchTime,0.733
Pond7Fish12_GiveUpTime,-1
Pond7Fish12_PondTime,16.083
Pond7Fish12_PondOutcome,132
Pond7Fish12_TotalOutcome,935
Pond7Fish12_TimeLeft,39.486
Pond7_Type,N
Pond7Fish13_FishType,green
Pond7Fish13_FishLatency,12
Pond7Fish13_CatchTime,0.634
Pond7Fish13_GiveUpTime,-1
Pond7Fish13_PondTime,19.088
Pond7Fish13_PondOutcome,143
Pond7Fish13_TotalOutcome,946
Pond7Fish13_TimeLeft,20.398
