,5d262da76bd66700172661e1
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,0.552
Pond3Fish2_GiveUpTime,-1
Pond3Fish2_PondTime,7.613
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,264
Pond3Fish2_TimeLeft,883.149
Pond3_Type,N
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,0.627
Pond3Fish3_GiveUpTime,-1
Pond3Fish3_PondTime,7.839
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,275
Pond3Fish3_TimeLeft,875.31
Pond3_Type,N
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,0.645
Pond3Fish4_GiveUpTime,-1
Pond3Fish4_PondTime,8.087
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,286
Pond3Fish4_TimeLeft,867.223
Pond3_Type,N
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,0.964
Pond3Fish5_GiveUpTime,-1
Pond3Fish5_PondTime,8.372
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,297
Pond3Fish5_TimeLeft,858.851
Pond3_Type,N
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,1.129
Pond3Fish6_GiveUpTime,-1
Pond3Fish6_PondTime,8.705
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,308
Pond3Fish6_TimeLeft,850.145
Pond3_Type,N
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,0.528
Pond3Fish7_GiveUpTime,-1
Pond3Fish7_PondTime,9.088
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,319
Pond3Fish7_TimeLeft,841.057
Pond3_Type,N
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,1.971
Pond3Fish8_GiveUpTime,-1
Pond3Fish8_PondTime,9.541
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,330
Pond3Fish8_TimeLeft,831.515
Pond3_Type,N
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,0.735
Pond3Fish9_GiveUpTime,-1
Pond3Fish9_PondTime,10.088
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,341
Pond3Fish9_TimeLeft,821.427
Pond3_Type,N
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,0.856
Pond3Fish10_GiveUpTime,-1
Pond3Fish10_PondTime,10.752
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,352
Pond3Fish10_TimeLeft,810.675
Pond3_Type,N
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,6.666666666666667
Pond3Fish11_CatchTime,0.621
Pond3Fish11_GiveUpTime,-1
Pond3Fish11_PondTime,11.583
Pond3Fish11_PondOutcome,121
Pond3Fish11_TotalOutcome,363
Pond3Fish11_TimeLeft,799.092
Pond3_Type,N
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,-1
Pond3Fish12_GiveUpTime,0.697
Pond3Fish12_PondTime,10.37
Pond3Fish12_PondOutcome,121
Pond3Fish12_TotalOutcome,363
Pond3Fish12_TimeLeft,788.72
Pond6IntroTime,10.849621642846614
Pond2_Type,N
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,0.775
Pond2Fish1_GiveUpTime,-1
Pond2Fish1_PondTime,23.501
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,374
Pond2Fish1_TimeLeft,765.219
Pond2_Type,N
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.303
Pond2Fish2_GiveUpTime,-1
Pond2Fish2_PondTime,9.54
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,385
Pond2Fish2_TimeLeft,755.678
Pond2_Type,N
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,0.799
Pond2Fish3_GiveUpTime,-1
Pond2Fish3_PondTime,10.081
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,396
Pond2Fish3_TimeLeft,745.597
Pond2_Type,N
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,1.144
Pond2Fish4_GiveUpTime,-1
Pond2Fish4_PondTime,10.751
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,407
Pond2Fish4_TimeLeft,734.845
Pond2_Type,N
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,1.17
Pond2Fish5_GiveUpTime,-1
Pond2Fish5_PondTime,11.587
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,418
Pond2Fish5_TimeLeft,723.258
Pond2_Type,N
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,0.805
Pond2Fish6_GiveUpTime,-1
Pond2Fish6_PondTime,12.654
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,429
Pond2Fish6_TimeLeft,710.604
Pond2_Type,N
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,0.759
Pond2Fish7_GiveUpTime,-1
Pond2Fish7_PondTime,14.089
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,440
Pond2Fish7_TimeLeft,696.515
Pond2_Type,N
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,10
Pond2Fish8_CatchTime,0.817
Pond2Fish8_GiveUpTime,-1
Pond2Fish8_PondTime,16.084
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,451
Pond2Fish8_TimeLeft,680.431
Pond2_Type,N
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,12
Pond2Fish9_CatchTime,0.901
Pond2Fish9_GiveUpTime,-1
Pond2Fish9_PondTime,19.088
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,462
Pond2Fish9_TimeLeft,661.343
Pond2_Type,N
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,15
Pond2Fish10_CatchTime,-1
Pond2Fish10_GiveUpTime,0.471
Pond2Fish10_PondTime,21.597
Pond2Fish10_PondOutcome,99
Pond2Fish10_TotalOutcome,462
Pond2Fish10_TimeLeft,639.746
Pond7IntroTime,18.09738505864516
Pond8_Type,N
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.75
Pond8Fish1_CatchTime,0.673
Pond8Fish1_GiveUpTime,-1
Pond8Fish1_PondTime,29.75
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,473
Pond8Fish1_TimeLeft,609.996
Pond8_Type,N
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4
Pond8Fish2_CatchTime,0.741
Pond8Fish2_GiveUpTime,-1
Pond8Fish2_PondTime,8.372
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,484
Pond8Fish2_TimeLeft,601.624
Pond8_Type,N
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,4.285714285714286
Pond8Fish3_CatchTime,0.719
Pond8Fish3_GiveUpTime,-1
Pond8Fish3_PondTime,8.699
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,495
Pond8Fish3_TimeLeft,592.924
Pond8_Type,N
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4.615384615384615
Pond8Fish4_CatchTime,0.857
Pond8Fish4_GiveUpTime,-1
Pond8Fish4_PondTime,9.088
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,506
Pond8Fish4_TimeLeft,583.835
Pond8_Type,N
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,5
Pond8Fish5_CatchTime,0.601
Pond8Fish5_GiveUpTime,-1
Pond8Fish5_PondTime,9.539
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,517
Pond8Fish5_TimeLeft,574.296
Pond8_Type,N
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,5.454545454545454
Pond8Fish6_CatchTime,0.751
Pond8Fish6_GiveUpTime,-1
Pond8Fish6_PondTime,10.084
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,528
Pond8Fish6_TimeLeft,564.212
Pond8_Type,N
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,6
Pond8Fish7_CatchTime,0.764
Pond8Fish7_GiveUpTime,-1
Pond8Fish7_PondTime,10.757
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,539
Pond8Fish7_TimeLeft,553.455
Pond8_Type,N
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,6.666666666666667
Pond8Fish8_CatchTime,0.846
Pond8Fish8_GiveUpTime,-1
Pond8Fish8_PondTime,11.586
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,550
Pond8Fish8_TimeLeft,541.869
Pond8_Type,N
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,7.5
Pond8Fish9_CatchTime,0.706
Pond8Fish9_GiveUpTime,-1
Pond8Fish9_PondTime,12.656
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,561
Pond8Fish9_TimeLeft,529.213
Pond8_Type,N
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,8.571428571428571
Pond8Fish10_CatchTime,0.74
Pond8Fish10_GiveUpTime,-1
Pond8Fish10_PondTime,14.088
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,572
Pond8Fish10_TimeLeft,515.125
Pond8_Type,N
Pond8Fish11_FishType,green
Pond8Fish11_FishLatency,10
Pond8Fish11_CatchTime,0.63
Pond8Fish11_GiveUpTime,-1
Pond8Fish11_PondTime,16.082
