,5c5fdf37808997000178a8ac
Pond8Fish1_PondOutcome,0
Pond8Fish1_TotalOutcome,330
Pond8Fish1_TimeLeft,747.669
Pond8_Type,N
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4
Pond8Fish2_CatchTime,-1
Pond8Fish2_GiveUpTime,-1
Pond8Fish2_PondTime,3.393
Pond8Fish2_PondOutcome,0
Pond8Fish2_TotalOutcome,330
Pond8Fish2_TimeLeft,744.276
Pond8_Type,N
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,4.285714285714286
Pond8Fish3_CatchTime,1.038
Pond8Fish3_GiveUpTime,-1
Pond8Fish3_PondTime,5.059
Pond8Fish3_PondOutcome,11
Pond8Fish3_TotalOutcome,341
Pond8Fish3_TimeLeft,739.217
Pond8_Type,N
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4.615384615384615
Pond8Fish4_CatchTime,-1
Pond8Fish4_GiveUpTime,-1
Pond8Fish4_PondTime,3.651
Pond8Fish4_PondOutcome,11
Pond8Fish4_TotalOutcome,341
Pond8Fish4_TimeLeft,735.565
Pond8_Type,N
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,5
Pond8Fish5_CatchTime,0.817
Pond8Fish5_GiveUpTime,-1
Pond8Fish5_PondTime,5.454
Pond8Fish5_PondOutcome,22
Pond8Fish5_TotalOutcome,352
Pond8Fish5_TimeLeft,730.111
Pond8_Type,N
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,5.454545454545454
Pond8Fish6_CatchTime,0.695
Pond8Fish6_GiveUpTime,-1
Pond8Fish6_PondTime,4.097
Pond8Fish6_PondOutcome,33
Pond8Fish6_TotalOutcome,363
Pond8Fish6_TimeLeft,726.014
Pond8_Type,N
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,6
Pond8Fish7_CatchTime,0.801
Pond8Fish7_GiveUpTime,-1
Pond8Fish7_PondTime,6.01
Pond8Fish7_PondOutcome,44
Pond8Fish7_TotalOutcome,374
Pond8Fish7_TimeLeft,720.003
Pond8_Type,N
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,6.666666666666667
Pond8Fish8_CatchTime,0.675
Pond8Fish8_GiveUpTime,-1
Pond8Fish8_PondTime,4.766
Pond8Fish8_PondOutcome,55
Pond8Fish8_TotalOutcome,385
Pond8Fish8_TimeLeft,715.237
Pond8_Type,N
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,7.5
Pond8Fish9_CatchTime,1.001
Pond8Fish9_GiveUpTime,-1
Pond8Fish9_PondTime,6.84
Pond8Fish9_PondOutcome,66
Pond8Fish9_TotalOutcome,396
Pond8Fish9_TimeLeft,708.397
Pond8_Type,N
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,8.571428571428571
Pond8Fish10_CatchTime,0.618
Pond8Fish10_GiveUpTime,-1
Pond8Fish10_PondTime,5.832
Pond8Fish10_PondOutcome,77
Pond8Fish10_TotalOutcome,407
Pond8Fish10_TimeLeft,702.565
Pond8_Type,N
Pond8Fish11_FishType,green
Pond8Fish11_FishLatency,10
Pond8Fish11_CatchTime,0.862
Pond8Fish11_GiveUpTime,-1
Pond8Fish11_PondTime,8.273
Pond8Fish11_PondOutcome,88
Pond8Fish11_TotalOutcome,418
Pond8Fish11_TimeLeft,694.291
Pond8_Type,N
Pond8Fish12_FishType,green
Pond8Fish12_FishLatency,12
Pond8Fish12_CatchTime,0.808
Pond8Fish12_GiveUpTime,-1
Pond8Fish12_PondTime,7.837
Pond8Fish12_PondOutcome,99
Pond8Fish12_TotalOutcome,429
Pond8Fish12_TimeLeft,686.453
Pond8_Type,N
Pond8Fish13_FishType,green
Pond8Fish13_FishLatency,15
Pond8Fish13_CatchTime,0.946
Pond8Fish13_GiveUpTime,-1
Pond8Fish13_PondTime,11.269
Pond8Fish13_PondOutcome,110
Pond8Fish13_TotalOutcome,440
Pond8Fish13_TimeLeft,675.184
Pond8_Type,N
Pond8Fish14_FishType,green
Pond8Fish14_FishLatency,20
Pond8Fish14_CatchTime,0.918
Pond8Fish14_GiveUpTime,-1
Pond8Fish14_PondTime,12.843
Pond8Fish14_PondOutcome,121
Pond8Fish14_TotalOutcome,451
Pond8Fish14_TimeLeft,662.34
Pond8_Type,N
Pond8Fish15_FishType,green
Pond8Fish15_FishLatency,30
Pond8Fish15_CatchTime,1.083
Pond8Fish15_GiveUpTime,-1
Pond8Fish15_PondTime,21.264
Pond8Fish15_PondOutcome,132
Pond8Fish15_TotalOutcome,462
Pond8Fish15_TimeLeft,641.076
Pond8_Type,N
Pond8Fish16_FishType,green
Pond8Fish16_FishLatency,60
Pond8Fish16_CatchTime,-1
Pond8Fish16_GiveUpTime,2.915
Pond8Fish16_PondTime,0.297
Pond8Fish16_PondOutcome,132
Pond8Fish16_TotalOutcome,462
Pond8Fish16_TimeLeft,640.779
Pond4IntroTime,17.05134415999055
Pond7_Type,N
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,0.899
Pond7Fish1_GiveUpTime,-1
Pond7Fish1_PondTime,28.943
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,473
Pond7Fish1_TimeLeft,611.836
Pond7_Type,N
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.047
Pond7Fish2_GiveUpTime,-1
Pond7Fish2_PondTime,8.1
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,484
Pond7Fish2_TimeLeft,603.736
Pond7_Type,N
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,0.84
Pond7Fish3_GiveUpTime,-1
Pond7Fish3_PondTime,5.534
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,495
Pond7Fish3_TimeLeft,598.202
Pond7_Type,N
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,-1
Pond7Fish4_GiveUpTime,-1
Pond7Fish4_PondTime,2.855
Pond7Fish4_PondOutcome,33
Pond7Fish4_TotalOutcome,495
Pond7Fish4_TimeLeft,595.347
Pond7_Type,N
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,1.211
Pond7Fish5_GiveUpTime,-1
Pond7Fish5_PondTime,5.918
Pond7Fish5_PondOutcome,44
Pond7Fish5_TotalOutcome,506
Pond7Fish5_TimeLeft,589.429
Pond7_Type,N
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,-1
Pond7Fish6_GiveUpTime,-1
Pond7Fish6_PondTime,3.187
Pond7Fish6_PondOutcome,44
Pond7Fish6_TotalOutcome,506
Pond7Fish6_TimeLeft,586.242
