,5c74467337793100010f8c7c
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,220
Pond12Fish10_TimeLeft,922.404
Pond12_Type,N
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,10
Pond12Fish11_CatchTime,1.727
Pond12Fish11_GiveUpTime,-1
Pond12Fish11_PondTime,16.185
Pond12Fish11_PondOutcome,121
Pond12Fish11_TotalOutcome,231
Pond12Fish11_TimeLeft,906.219
Pond12_Type,N
Pond12Fish12_FishType,green
Pond12Fish12_FishLatency,12
Pond12Fish12_CatchTime,-1
Pond12Fish12_GiveUpTime,12.654
Pond12Fish12_PondTime,10.679
Pond12Fish12_PondOutcome,121
Pond12Fish12_TotalOutcome,231
Pond12Fish12_TimeLeft,895.538
Pond4IntroTime,19.68762696487829
Pond5_Type,N
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,-1
Pond5Fish1_GiveUpTime,-1
Pond5Fish1_PondTime,32.158
Pond5Fish1_PondOutcome,0
Pond5Fish1_TotalOutcome,231
Pond5Fish1_TimeLeft,863.379
Pond5_Type,N
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.634
Pond5Fish2_GiveUpTime,-1
Pond5Fish2_PondTime,9.145
Pond5Fish2_PondOutcome,11
Pond5Fish2_TotalOutcome,242
Pond5Fish2_TimeLeft,854.232
Pond5_Type,N
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.766
Pond5Fish3_GiveUpTime,-1
Pond5Fish3_PondTime,9.564
Pond5Fish3_PondOutcome,22
Pond5Fish3_TotalOutcome,253
Pond5Fish3_TimeLeft,844.667
Pond5_Type,N
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.79
Pond5Fish4_GiveUpTime,-1
Pond5Fish4_PondTime,10.14
Pond5Fish4_PondOutcome,33
Pond5Fish4_TotalOutcome,264
Pond5Fish4_TimeLeft,834.525
Pond5_Type,N
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,2.021
Pond5Fish5_GiveUpTime,-1
Pond5Fish5_PondTime,10.78
Pond5Fish5_PondOutcome,44
Pond5Fish5_TotalOutcome,275
Pond5Fish5_TimeLeft,823.745
Pond5_Type,N
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.842
Pond5Fish6_GiveUpTime,-1
Pond5Fish6_PondTime,11.663
Pond5Fish6_PondOutcome,55
Pond5Fish6_TotalOutcome,286
Pond5Fish6_TimeLeft,812.081
Pond5_Type,N
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.218
Pond5Fish7_GiveUpTime,-1
Pond5Fish7_PondTime,12.679
Pond5Fish7_PondOutcome,66
Pond5Fish7_TotalOutcome,297
Pond5Fish7_TimeLeft,799.402
Pond5_Type,N
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,-1
Pond5Fish8_GiveUpTime,1.255
Pond5Fish8_PondTime,12.885
Pond5Fish8_PondOutcome,66
Pond5Fish8_TotalOutcome,297
Pond5Fish8_TimeLeft,786.517
Pond5IntroTime,19.00889569427818
Pond11_Type,N
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,-1
Pond11Fish1_GiveUpTime,-1
Pond11Fish1_PondTime,30.423
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,308
Pond11Fish1_TimeLeft,756.094
Pond11_Type,N
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,-1
Pond11Fish2_GiveUpTime,-1
Pond11Fish2_PondTime,8.021
Pond11Fish2_PondOutcome,11
Pond11Fish2_TotalOutcome,308
Pond11Fish2_TimeLeft,748.071
Pond11_Type,N
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,2.604
Pond11Fish3_GiveUpTime,-1
Pond11Fish3_PondTime,8.154
Pond11Fish3_PondOutcome,22
Pond11Fish3_TotalOutcome,319
Pond11Fish3_TimeLeft,739.914
Pond11_Type,N
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,2.168
Pond11Fish4_GiveUpTime,-1
Pond11Fish4_PondTime,8.459
Pond11Fish4_PondOutcome,33
Pond11Fish4_TotalOutcome,330
Pond11Fish4_TimeLeft,731.455
Pond11_Type,N
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,1.863
Pond11Fish5_GiveUpTime,-1
Pond11Fish5_PondTime,8.786
Pond11Fish5_PondOutcome,44
Pond11Fish5_TotalOutcome,341
Pond11Fish5_TimeLeft,722.668
Pond11_Type,N
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,1.522
Pond11Fish6_GiveUpTime,-1
Pond11Fish6_PondTime,9.141
Pond11Fish6_PondOutcome,55
Pond11Fish6_TotalOutcome,352
Pond11Fish6_TimeLeft,713.527
Pond11_Type,N
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,1.705
Pond11Fish7_GiveUpTime,-1
Pond11Fish7_PondTime,9.568
Pond11Fish7_PondOutcome,66
Pond11Fish7_TotalOutcome,363
Pond11Fish7_TimeLeft,703.959
Pond11_Type,N
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,1.551
Pond11Fish8_GiveUpTime,-1
Pond11Fish8_PondTime,10.116
Pond11Fish8_PondOutcome,77
Pond11Fish8_TotalOutcome,374
Pond11Fish8_TimeLeft,693.843
Pond11_Type,N
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,6
Pond11Fish9_CatchTime,1.5
Pond11Fish9_GiveUpTime,-1
Pond11Fish9_PondTime,10.796
Pond11Fish9_PondOutcome,88
Pond11Fish9_TotalOutcome,385
Pond11Fish9_TimeLeft,683.046
Pond11_Type,N
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,6.666666666666667
Pond11Fish10_CatchTime,-1
Pond11Fish10_GiveUpTime,8.429
Pond11Fish10_PondTime,6.231
Pond11Fish10_PondOutcome,88
Pond11Fish10_TotalOutcome,385
Pond11Fish10_TimeLeft,676.814
Pond6IntroTime,16.694364566355944
Pond3_Type,N
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,-1
Pond3Fish1_GiveUpTime,-1
Pond3Fish1_PondTime,27.943
Pond3Fish1_PondOutcome,0
Pond3Fish1_TotalOutcome,385
Pond3Fish1_TimeLeft,648.87
Pond3_Type,N
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,-1
Pond3Fish2_GiveUpTime,-1
Pond3Fish2_PondTime,7.83
Pond3Fish2_PondOutcome,0
Pond3Fish2_TotalOutcome,385
Pond3Fish2_TimeLeft,641.038
Pond3_Type,N
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,1.959
Pond3Fish3_GiveUpTime,-1
Pond3Fish3_PondTime,7.91
Pond3Fish3_PondOutcome,11
Pond3Fish3_TotalOutcome,396
Pond3Fish3_TimeLeft,633.127
Pond3_Type,N
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,1.932
Pond3Fish4_GiveUpTime,-1
Pond3Fish4_PondTime,8.169
Pond3Fish4_PondOutcome,22
Pond3Fish4_TotalOutcome,407
Pond3Fish4_TimeLeft,624.958
Pond3_Type,N
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,2.236
Pond3Fish5_GiveUpTime,-1
Pond3Fish5_PondTime,8.434
Pond3Fish5_PondOutcome,33
Pond3Fish5_TotalOutcome,418
Pond3Fish5_TimeLeft,616.522
Pond3_Type,N
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,1.703
Pond3Fish6_GiveUpTime,-1
Pond3Fish6_PondTime,8.721
Pond3Fish6_PondOutcome,44
Pond3Fish6_TotalOutcome,429
Pond3Fish6_TimeLeft,607.801
Pond3_Type,N
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,-1
Pond3Fish7_GiveUpTime,0.993
Pond3Fish7_PondTime,8.144
Pond3Fish7_PondOutcome,44
Pond3Fish7_TotalOutcome,429
Pond3Fish7_TimeLeft,599.657
Pond7IntroTime,18.37961176643148
Pond7_Type,N
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.757
Pond7Fish1_GiveUpTime,-1
Pond7Fish1_PondTime,29.864
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,440
Pond7Fish1_TimeLeft,569.792
Pond7_Type,N
Pond7Fish2_FishType,green
