,5d4d53b6f20feb00180b594a
Pond9Fish5_GiveUpTime,-1
Pond9Fish5_PondTime,8.39
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,693
Pond9Fish5_TimeLeft,392.935
Pond9_Type,N
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,1.774
Pond9Fish6_GiveUpTime,-1
Pond9Fish6_PondTime,8.723
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,704
Pond9Fish6_TimeLeft,384.212
Pond9_Type,N
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,1.595
Pond9Fish7_GiveUpTime,-1
Pond9Fish7_PondTime,9.117
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,715
Pond9Fish7_TimeLeft,375.095
Pond9_Type,N
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,1.634
Pond9Fish8_GiveUpTime,-1
Pond9Fish8_PondTime,9.55
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,726
Pond9Fish8_TimeLeft,365.544
Pond9_Type,N
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,1.508
Pond9Fish9_GiveUpTime,-1
Pond9Fish9_PondTime,10.121
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,737
Pond9Fish9_TimeLeft,355.423
Pond9_Type,N
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,1.485
Pond9Fish10_GiveUpTime,-1
Pond9Fish10_PondTime,10.762
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,748
Pond9Fish10_TimeLeft,344.661
Pond9_Type,N
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,1.334
Pond9Fish11_GiveUpTime,-1
Pond9Fish11_PondTime,11.606
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,759
Pond9Fish11_TimeLeft,333.055
Pond9_Type,N
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,-1
Pond9Fish12_GiveUpTime,1.397
Pond9Fish12_PondTime,11.547
Pond9Fish12_PondOutcome,121
Pond9Fish12_TotalOutcome,759
Pond9Fish12_TimeLeft,321.508
Pond9IntroTime,12.561528191436082
Pond2_Type,N
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,1.913
Pond2Fish1_GiveUpTime,-1
Pond2Fish1_PondTime,25.224
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,770
Pond2Fish1_TimeLeft,296.284
Pond2_Type,N
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,2.348
Pond2Fish2_GiveUpTime,-1
Pond2Fish2_PondTime,9.56
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,781
Pond2Fish2_TimeLeft,286.724
Pond2_Type,N
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,2.033
Pond2Fish3_GiveUpTime,-1
Pond2Fish3_PondTime,10.109
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,792
Pond2Fish3_TimeLeft,276.615
Pond2_Type,N
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,2.156
Pond2Fish4_GiveUpTime,-1
Pond2Fish4_PondTime,10.771
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,803
Pond2Fish4_TimeLeft,265.844
Pond2_Type,N
Pond2Fish5_FishType,green
