,5cdfb7d5ed552600019dc9f3
Pond6Fish11_TimeLeft,160.548
Pond6_Type,N
Pond6Fish12_FishType,green
Pond6Fish12_FishLatency,8.571428571428571
Pond6Fish12_CatchTime,3.612
Pond6Fish12_GiveUpTime,-1
Pond6Fish12_PondTime,14.118
Pond6Fish12_PondOutcome,132
Pond6Fish12_TotalOutcome,825
Pond6Fish12_TimeLeft,146.429
Pond6_Type,N
Pond6Fish13_FishType,green
Pond6Fish13_FishLatency,10
Pond6Fish13_CatchTime,2.132
Pond6Fish13_GiveUpTime,-1
Pond6Fish13_PondTime,16.119
Pond6Fish13_PondOutcome,143
Pond6Fish13_TotalOutcome,836
Pond6Fish13_TimeLeft,130.308
Pond6_Type,N
Pond6Fish14_FishType,green
Pond6Fish14_FishLatency,12
Pond6Fish14_CatchTime,3.224
Pond6Fish14_GiveUpTime,-1
Pond6Fish14_PondTime,19.116
Pond6Fish14_PondOutcome,154
Pond6Fish14_TotalOutcome,847
Pond6Fish14_TimeLeft,111.192
Pond6_Type,N
Pond6Fish15_FishType,green
Pond6Fish15_FishLatency,15
Pond6Fish15_CatchTime,-1
Pond6Fish15_GiveUpTime,1.364
Pond6Fish15_PondTime,23.519
Pond6Fish15_PondOutcome,154
Pond6Fish15_TotalOutcome,847
Pond6Fish15_TimeLeft,87.672
Pond8IntroTime,19.021955337375402
Pond7_Type,N
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.828
Pond7Fish1_GiveUpTime,-1
Pond7Fish1_PondTime,30.448
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,858
Pond7Fish1_TimeLeft,57.222
Pond7_Type,N
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,2.089
Pond7Fish2_GiveUpTime,-1
Pond7Fish2_PondTime,8.115
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,869
Pond7Fish2_TimeLeft,49.084
Pond7_Type,N
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.527
Pond7Fish3_GiveUpTime,-1
Pond7Fish3_PondTime,8.415
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,880
Pond7Fish3_TimeLeft,40.669
Pond7_Type,N
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,2.561
Pond7Fish4_GiveUpTime,-1
Pond7Fish4_PondTime,8.744
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,891
Pond7Fish4_TimeLeft,31.924
Pond7_Type,N
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,2.52
Pond7Fish5_GiveUpTime,-1
Pond7Fish5_PondTime,9.117
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,902
Pond7Fish5_TimeLeft,22.806
Pond7_Type,N
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,2.011
Pond7Fish6_GiveUpTime,-1
Pond7Fish6_PondTime,9.566
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,913
Pond7Fish6_TimeLeft,13.239
Pond7_Type,N
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,2.19
Pond7Fish7_GiveUpTime,-1
Pond7Fish7_PondTime,10.124
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,924
Pond7Fish7_TimeLeft,3.113
