,5c847acf879a350016dee2e5
Pond3Fish4_CatchTime,0.843
Pond3Fish4_GiveUpTime,-1
Pond3Fish4_PondTime,8.102
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,407
Pond3Fish4_TimeLeft,750.749
Pond3_Type,N
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,0.914
Pond3Fish5_GiveUpTime,-1
Pond3Fish5_PondTime,8.38
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,418
Pond3Fish5_TimeLeft,742.369
Pond3_Type,N
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,0.712
Pond3Fish6_GiveUpTime,-1
Pond3Fish6_PondTime,8.714
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,429
Pond3Fish6_TimeLeft,733.655
Pond3_Type,N
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,1.618
Pond3Fish7_GiveUpTime,-1
Pond3Fish7_PondTime,9.098
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,440
Pond3Fish7_TimeLeft,724.557
Pond3_Type,N
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,1.792
Pond3Fish8_GiveUpTime,-1
Pond3Fish8_PondTime,9.547
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,451
Pond3Fish8_TimeLeft,715.008
Pond3_Type,N
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,1.792
Pond3Fish9_GiveUpTime,-1
Pond3Fish9_PondTime,10.086
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,462
Pond3Fish9_TimeLeft,704.922
Pond3_Type,N
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,1.154
Pond3Fish10_GiveUpTime,-1
Pond3Fish10_PondTime,10.756
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,473
Pond3Fish10_TimeLeft,694.166
Pond3_Type,N
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,6.666666666666667
Pond3Fish11_CatchTime,1.465
Pond3Fish11_GiveUpTime,-1
Pond3Fish11_PondTime,11.588
Pond3Fish11_PondOutcome,121
Pond3Fish11_TotalOutcome,484
Pond3Fish11_TimeLeft,682.577
Pond3_Type,N
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,1.084
Pond3Fish12_GiveUpTime,-1
Pond3Fish12_PondTime,12.66
Pond3Fish12_PondOutcome,132
Pond3Fish12_TotalOutcome,495
Pond3Fish12_TimeLeft,669.916
Pond3_Type,N
Pond3Fish13_FishType,green
Pond3Fish13_FishLatency,8.571428571428571
Pond3Fish13_CatchTime,1.161
