,5d6688676ddde4001a0efe43
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,1.152
Pond1Fish10_GiveUpTime,-1
Pond1Fish10_PondTime,11.674
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,264
Pond1Fish10_TimeLeft,911.444
Pond1_Type,N
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,1.082
Pond1Fish11_GiveUpTime,-1
Pond1Fish11_PondTime,12.694
Pond1Fish11_PondOutcome,121
Pond1Fish11_TotalOutcome,275
Pond1Fish11_TimeLeft,898.749
Pond1_Type,N
Pond1Fish12_FishType,green
Pond1Fish12_FishLatency,8.571428571428571
Pond1Fish12_CatchTime,0.904
Pond1Fish12_GiveUpTime,-1
Pond1Fish12_PondTime,14.151
Pond1Fish12_PondOutcome,132
Pond1Fish12_TotalOutcome,286
Pond1Fish12_TimeLeft,884.598
Pond1_Type,N
Pond1Fish13_FishType,green
Pond1Fish13_FishLatency,10
Pond1Fish13_CatchTime,1.091
Pond1Fish13_GiveUpTime,-1
Pond1Fish13_PondTime,16.132
Pond1Fish13_PondOutcome,143
Pond1Fish13_TotalOutcome,297
Pond1Fish13_TimeLeft,868.465
Pond1_Type,N
Pond1Fish14_FishType,green
Pond1Fish14_FishLatency,12
Pond1Fish14_CatchTime,-1
Pond1Fish14_GiveUpTime,0.655
Pond1Fish14_PondTime,16.933
Pond1Fish14_PondOutcome,143
Pond1Fish14_TotalOutcome,297
Pond1Fish14_TimeLeft,851.532
Pond4IntroTime,13.949006192851812
Pond12_Type,N
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,0.836
Pond12Fish1_GiveUpTime,-1
Pond12Fish1_PondTime,25.652
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,308
Pond12Fish1_TimeLeft,825.88
Pond12_Type,N
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.156
Pond12Fish2_GiveUpTime,-1
Pond12Fish2_PondTime,8.481
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,319
Pond12Fish2_TimeLeft,817.399
Pond12_Type,N
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,0.933
Pond12Fish3_GiveUpTime,-1
Pond12Fish3_PondTime,8.792
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,330
Pond12Fish3_TimeLeft,808.607
Pond12_Type,N
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,0.982
Pond12Fish4_GiveUpTime,-1
Pond12Fish4_PondTime,9.158
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,341
Pond12Fish4_TimeLeft,799.448
Pond12_Type,N
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,0.82
Pond12Fish5_GiveUpTime,-1
Pond12Fish5_PondTime,9.648
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,352
Pond12Fish5_TimeLeft,789.8
Pond12_Type,N
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,0.991
Pond12Fish6_GiveUpTime,-1
Pond12Fish6_PondTime,10.162
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,363
Pond12Fish6_TimeLeft,779.637
Pond12_Type,N
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6
