,5a9e9fc46219a30001f54994
Pond7Fish5_TotalOutcome,825
Pond7Fish5_TimeLeft,81.732
Pond7_Type,N
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,1.229
Pond7Fish6_GiveUpTime,-1
Pond7Fish6_PondTime,9.546
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,836
Pond7Fish6_TimeLeft,72.186
Pond7_Type,N
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,1.088
Pond7Fish7_GiveUpTime,-1
Pond7Fish7_PondTime,10.094
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,847
Pond7Fish7_TimeLeft,62.092
Pond7_Type,N
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,0.991
Pond7Fish8_GiveUpTime,-1
Pond7Fish8_PondTime,10.762
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,858
Pond7Fish8_TimeLeft,51.33
Pond7_Type,N
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,1.364
Pond7Fish9_GiveUpTime,-1
Pond7Fish9_PondTime,11.596
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,869
Pond7Fish9_TimeLeft,39.734
Pond7_Type,N
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,0.997
Pond7Fish10_GiveUpTime,-1
Pond7Fish10_PondTime,12.665
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,880
Pond7Fish10_TimeLeft,27.069
Pond7_Type,N
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,-1
Pond7Fish11_GiveUpTime,1.017
Pond7Fish11_PondTime,12.239
Pond7Fish11_PondOutcome,110
Pond7Fish11_TotalOutcome,880
Pond7Fish11_TimeLeft,14.83
Pond9IntroTime,11.231099590659142
