,59f77c1705d1d60001f14563
Pond12_Type,N
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,1.664
Pond12Fish4_GiveUpTime,-1
Pond12Fish4_PondTime,12.01
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,814
Pond12Fish4_TimeLeft,206.789
Pond12_Type,N
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,1.627
Pond12Fish5_GiveUpTime,-1
Pond12Fish5_PondTime,9.553
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,825
Pond12Fish5_TimeLeft,197.236
Pond12_Type,N
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,1.388
Pond12Fish6_GiveUpTime,-1
Pond12Fish6_PondTime,10.097
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,836
Pond12Fish6_TimeLeft,187.139
Pond12_Type,N
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,1.24
Pond12Fish7_GiveUpTime,-1
Pond12Fish7_PondTime,12.337
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,847
Pond12Fish7_TimeLeft,174.801
Pond12_Type,N
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,-1
Pond12Fish8_GiveUpTime,-1
Pond12Fish8_PondTime,16.758
Pond12Fish8_PondOutcome,77
Pond12Fish8_TotalOutcome,847
Pond12Fish8_TimeLeft,158.043
Pond12_Type,N
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,1.438
Pond12Fish9_GiveUpTime,-1
Pond12Fish9_PondTime,14.242
Pond12Fish9_PondOutcome,88
Pond12Fish9_TotalOutcome,858
Pond12Fish9_TimeLeft,143.801
Pond12_Type,N
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,8.571428571428571
Pond12Fish10_CatchTime,-1
Pond12Fish10_GiveUpTime,-1
Pond12Fish10_PondTime,16.144
Pond12Fish10_PondOutcome,88
Pond12Fish10_TotalOutcome,858
Pond12Fish10_TimeLeft,127.657
Pond12_Type,N
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,10
Pond12Fish11_CatchTime,2.155
Pond12Fish11_GiveUpTime,-1
Pond12Fish11_PondTime,16.098
Pond12Fish11_PondOutcome,99
Pond12Fish11_TotalOutcome,869
Pond12Fish11_TimeLeft,111.559
Pond12_Type,N
Pond12Fish12_FishType,green
Pond12Fish12_FishLatency,12
Pond12Fish12_CatchTime,1.711
Pond12Fish12_GiveUpTime,-1
Pond12Fish12_PondTime,19.095
Pond12Fish12_PondOutcome,110
Pond12Fish12_TotalOutcome,880
Pond12Fish12_TimeLeft,92.463
Pond12_Type,N
Pond12Fish13_FishType,green
Pond12Fish13_FishLatency,15
Pond12Fish13_CatchTime,-1
Pond12Fish13_GiveUpTime,1.124
Pond12Fish13_PondTime,23.572
Pond12Fish13_PondOutcome,110
Pond12Fish13_TotalOutcome,880
Pond12Fish13_TimeLeft,68.891
Pond10IntroTime,12.774460036307573
Pond8_Type,N
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.75
Pond8Fish1_CatchTime,-1
Pond8Fish1_GiveUpTime,-1
Pond8Fish1_PondTime,29.161
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,891
Pond8Fish1_TimeLeft,39.729
Pond8_Type,N
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4
Pond8Fish2_CatchTime,1.79
Pond8Fish2_GiveUpTime,-1
Pond8Fish2_PondTime,8.382
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,902
Pond8Fish2_TimeLeft,31.347
Pond8_Type,N
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,4.285714285714286
Pond8Fish3_CatchTime,1.5
Pond8Fish3_GiveUpTime,-1
Pond8Fish3_PondTime,8.714
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,913
Pond8Fish3_TimeLeft,22.632
Pond8_Type,N
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4.615384615384615
Pond8Fish4_CatchTime,1.428
Pond8Fish4_GiveUpTime,-1
Pond8Fish4_PondTime,9.098
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,924
Pond8Fish4_TimeLeft,13.534
Pond8_Type,N
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,5
Pond8Fish5_CatchTime,1.608
Pond8Fish5_GiveUpTime,-1
Pond8Fish5_PondTime,9.547
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,935
Pond8Fish5_TimeLeft,3.986
