,59f77c1705d1d60001f14563
Pond7Fish13_CatchTime,-1
Pond7Fish13_GiveUpTime,1.037
Pond7Fish13_PondTime,19.819
Pond7Fish13_PondOutcome,132
Pond7Fish13_TotalOutcome,440
Pond7Fish13_TimeLeft,681.987
Pond6IntroTime,17.33042558422312
Pond11_Type,N
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,3.306
Pond11Fish1_GiveUpTime,-1
Pond11Fish1_PondTime,33.193
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,451
Pond11Fish1_TimeLeft,648.794
Pond11_Type,N
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,1.579
Pond11Fish2_GiveUpTime,-1
Pond11Fish2_PondTime,7.839
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,462
Pond11Fish2_TimeLeft,640.954
Pond11_Type,N
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,1.203
Pond11Fish3_GiveUpTime,-1
Pond11Fish3_PondTime,8.097
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,473
Pond11Fish3_TimeLeft,632.857
Pond11_Type,N
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,1.406
Pond11Fish4_GiveUpTime,-1
Pond11Fish4_PondTime,8.382
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,484
Pond11Fish4_TimeLeft,624.475
Pond11_Type,N
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,1.351
Pond11Fish5_GiveUpTime,-1
Pond11Fish5_PondTime,9.074
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,495
Pond11Fish5_TimeLeft,615.4
Pond11_Type,N
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,1.851
Pond11Fish6_GiveUpTime,-1
Pond11Fish6_PondTime,9.086
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,506
Pond11Fish6_TimeLeft,606.314
Pond11_Type,N
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,1.62
Pond11Fish7_GiveUpTime,-1
Pond11Fish7_PondTime,9.548
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,517
Pond11Fish7_TimeLeft,596.766
Pond11_Type,N
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,1.408
Pond11Fish8_GiveUpTime,-1
Pond11Fish8_PondTime,10.097
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,528
Pond11Fish8_TimeLeft,586.669
Pond11_Type,N
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,6
Pond11Fish9_CatchTime,1.984
Pond11Fish9_GiveUpTime,-1
Pond11Fish9_PondTime,10.764
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,539
Pond11Fish9_TimeLeft,575.905
Pond11_Type,N
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,6.666666666666667
Pond11Fish10_CatchTime,2.768
Pond11Fish10_GiveUpTime,-1
Pond11Fish10_PondTime,11.596
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,550
Pond11Fish10_TimeLeft,564.309
Pond11_Type,N
Pond11Fish11_FishType,green
