,55c09521fdf99b1b8c34379f
Pond6Fish11_TotalOutcome,506
Pond6Fish11_TimeLeft,628.354
Pond6_Type,N
Pond6Fish12_FishType,green
Pond6Fish12_FishLatency,8.571428571428571
Pond6Fish12_CatchTime,1.02
Pond6Fish12_GiveUpTime,-1
Pond6Fish12_PondTime,14.182
Pond6Fish12_PondOutcome,132
Pond6Fish12_TotalOutcome,517
Pond6Fish12_TimeLeft,614.172
Pond6_Type,N
Pond6Fish13_FishType,green
Pond6Fish13_FishLatency,10
Pond6Fish13_CatchTime,1.068
Pond6Fish13_GiveUpTime,-1
Pond6Fish13_PondTime,16.172
Pond6Fish13_PondOutcome,143
Pond6Fish13_TotalOutcome,528
Pond6Fish13_TimeLeft,598
Pond6_Type,N
Pond6Fish14_FishType,green
Pond6Fish14_FishLatency,12
Pond6Fish14_CatchTime,-1
Pond6Fish14_GiveUpTime,1.527
Pond6Fish14_PondTime,18.07
Pond6Fish14_PondOutcome,143
Pond6Fish14_TotalOutcome,528
Pond6Fish14_TimeLeft,579.929
Pond5IntroTime,14.881612192839384
Pond12_Type,N
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,1.12
Pond12Fish1_GiveUpTime,-1
Pond12Fish1_PondTime,26.644
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,539
Pond12Fish1_TimeLeft,553.284
Pond12_Type,N
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,0.965
Pond12Fish2_GiveUpTime,-1
Pond12Fish2_PondTime,8.419
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,550
Pond12Fish2_TimeLeft,544.865
Pond12_Type,N
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,1.057
Pond12Fish3_GiveUpTime,-1
Pond12Fish3_PondTime,8.732
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,561
Pond12Fish3_TimeLeft,536.133
Pond12_Type,N
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,0.687
Pond12Fish4_GiveUpTime,-1
Pond12Fish4_PondTime,9.163
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,572
Pond12Fish4_TimeLeft,526.97
Pond12_Type,N
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,1.191
