,5d28efe23cb67a001aa1ec85
Pond6Fish13_TotalOutcome,803
Pond6Fish13_TimeLeft,191.052
Pond6_Type,N
Pond6Fish14_FishType,green
Pond6Fish14_FishLatency,12
Pond6Fish14_CatchTime,-1
Pond6Fish14_GiveUpTime,15.722
Pond6Fish14_PondTime,13.424
Pond6Fish14_PondOutcome,143
Pond6Fish14_TotalOutcome,803
Pond6Fish14_TimeLeft,177.628
Pond9IntroTime,15.402093529701233
Pond4_Type,N
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,0.729
Pond4Fish1_GiveUpTime,-1
Pond4Fish1_PondTime,26.425
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,814
Pond4Fish1_TimeLeft,151.202
Pond4_Type,N
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,1.632
Pond4Fish2_GiveUpTime,-1
Pond4Fish2_PondTime,7.626
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,825
Pond4Fish2_TimeLeft,143.576
Pond4_Type,N
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,0.966
Pond4Fish3_GiveUpTime,-1
Pond4Fish3_PondTime,7.843
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,836
Pond4Fish3_TimeLeft,135.732
Pond4_Type,N
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,1.143
Pond4Fish4_GiveUpTime,-1
Pond4Fish4_PondTime,8.089
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,847
Pond4Fish4_TimeLeft,127.642
Pond4_Type,N
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,0.974
Pond4Fish5_GiveUpTime,-1
Pond4Fish5_PondTime,8.377
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,858
Pond4Fish5_TimeLeft,119.265
Pond4_Type,N
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,0.97
Pond4Fish6_GiveUpTime,-1
Pond4Fish6_PondTime,8.709
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,869
Pond4Fish6_TimeLeft,110.556
Pond4_Type,N
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,1.039
Pond4Fish7_GiveUpTime,-1
Pond4Fish7_PondTime,9.091
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,880
Pond4Fish7_TimeLeft,101.464
Pond4_Type,N
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,5
Pond4Fish8_CatchTime,0.742
Pond4Fish8_GiveUpTime,-1
Pond4Fish8_PondTime,9.54
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,891
Pond4Fish8_TimeLeft,91.923
Pond4_Type,N
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,5.454545454545454
Pond4Fish9_CatchTime,1.307
Pond4Fish9_GiveUpTime,-1
Pond4Fish9_PondTime,10.089
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,902
Pond4Fish9_TimeLeft,81.833
Pond4_Type,N
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,6
Pond4Fish10_CatchTime,1.084
Pond4Fish10_GiveUpTime,-1
Pond4Fish10_PondTime,10.759
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,913
Pond4Fish10_TimeLeft,71.074
Pond4_Type,N
Pond4Fish11_FishType,green
Pond4Fish11_FishLatency,6.666666666666667
Pond4Fish11_CatchTime,0.936
Pond4Fish11_GiveUpTime,-1
Pond4Fish11_PondTime,11.589
Pond4Fish11_PondOutcome,121
Pond4Fish11_TotalOutcome,924
Pond4Fish11_TimeLeft,59.484
Pond4_Type,N
Pond4Fish12_FishType,green
Pond4Fish12_FishLatency,7.5
Pond4Fish12_CatchTime,1.222
Pond4Fish12_GiveUpTime,-1
Pond4Fish12_PondTime,12.672
Pond4Fish12_PondOutcome,132
Pond4Fish12_TotalOutcome,935
Pond4Fish12_TimeLeft,46.811
Pond4_Type,N
Pond4Fish13_FishType,green
Pond4Fish13_FishLatency,8.571428571428571
Pond4Fish13_CatchTime,1.046
Pond4Fish13_GiveUpTime,-1
Pond4Fish13_PondTime,14.102
Pond4Fish13_PondOutcome,143
Pond4Fish13_TotalOutcome,946
Pond4Fish13_TimeLeft,32.708
Pond4_Type,N
Pond4Fish14_FishType,green
Pond4Fish14_FishLatency,10
Pond4Fish14_CatchTime,1.002
Pond4Fish14_GiveUpTime,-1
Pond4Fish14_PondTime,16.086
Pond4Fish14_PondOutcome,154
Pond4Fish14_TotalOutcome,957
Pond4Fish14_TimeLeft,16.621
Pond4_Type,N
Pond4Fish15_FishType,green
Pond4Fish15_FishLatency,12
Pond4Fish15_CatchTime,-1
Pond4Fish15_GiveUpTime,15.08
Pond4Fish15_PondTime,12.383
Pond4Fish15_PondOutcome,154
Pond4Fish15_TotalOutcome,957
Pond4Fish15_TimeLeft,4.238
Pond10IntroTime,11.215509013272822
