,57c357770e6a1f00015f6038
Pond6Fish11_TimeLeft,192.092
Pond9IntroTime,13.777273716405034
Pond5_Type,N
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.082
Pond5Fish1_GiveUpTime,-1
Pond5Fish1_PondTime,26.059
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,825
Pond5Fish1_TimeLeft,166.032
Pond5_Type,N
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.87
Pond5Fish2_GiveUpTime,-1
Pond5Fish2_PondTime,9.1
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,836
Pond5Fish2_TimeLeft,156.93
Pond5_Type,N
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,0.982
Pond5Fish3_GiveUpTime,-1
Pond5Fish3_PondTime,9.569
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,847
Pond5Fish3_TimeLeft,147.358
Pond5_Type,N
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.485
Pond5Fish4_GiveUpTime,-1
Pond5Fish4_PondTime,10.106
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,858
Pond5Fish4_TimeLeft,137.249
Pond5_Type,N
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.07
Pond5Fish5_GiveUpTime,-1
Pond5Fish5_PondTime,10.766
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,869
Pond5Fish5_TimeLeft,126.482
Pond5_Type,N
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.512
Pond5Fish6_GiveUpTime,-1
Pond5Fish6_PondTime,11.598
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,880
Pond5Fish6_TimeLeft,114.883
Pond5_Type,N
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.223
Pond5Fish7_GiveUpTime,-1
Pond5Fish7_PondTime,12.765
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,891
Pond5Fish7_TimeLeft,102.116
Pond5_Type,N
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,-1
Pond5Fish8_GiveUpTime,1.338
Pond5Fish8_PondTime,12.675
Pond5Fish8_PondOutcome,77
Pond5Fish8_TotalOutcome,891
Pond5Fish8_TimeLeft,89.44
Pond10IntroTime,11.432901311200112
Pond9_Type,N
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,1.111
Pond9Fish1_GiveUpTime,-1
Pond9Fish1_PondTime,22.44
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,902
Pond9Fish1_TimeLeft,66.999
Pond9_Type,N
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,1.021
Pond9Fish2_GiveUpTime,-1
Pond9Fish2_PondTime,7.624
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,913
Pond9Fish2_TimeLeft,59.365
Pond9_Type,N
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,1.449
Pond9Fish3_GiveUpTime,-1
Pond9Fish3_PondTime,7.848
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,924
Pond9Fish3_TimeLeft,51.517
Pond9_Type,N
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.459
Pond9Fish4_GiveUpTime,-1
Pond9Fish4_PondTime,8.122
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,935
Pond9Fish4_TimeLeft,43.385
Pond9_Type,N
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,1.759
Pond9Fish5_GiveUpTime,-1
Pond9Fish5_PondTime,8.382
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,946
Pond9Fish5_TimeLeft,35
Pond9_Type,N
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,1.941
Pond9Fish6_GiveUpTime,-1
Pond9Fish6_PondTime,8.709
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,957
Pond9Fish6_TimeLeft,26.281
Pond9_Type,N
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,1.324
Pond9Fish7_GiveUpTime,-1
Pond9Fish7_PondTime,9.097
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,968
Pond9Fish7_TimeLeft,17.182
Pond9_Type,N
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,1.068
Pond9Fish8_GiveUpTime,-1
Pond9Fish8_PondTime,9.576
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,979
Pond9Fish8_TimeLeft,7.603
