,5d0276e3a6af0c001526c45d
Pond1Fish5_TotalOutcome,660
Pond1Fish5_TimeLeft,419.213
Pond1_Type,N
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,0.73
Pond1Fish6_GiveUpTime,-1
Pond1Fish6_PondTime,9.111
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,671
Pond1Fish6_TimeLeft,410.102
Pond1_Type,N
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,0.645
Pond1Fish7_GiveUpTime,-1
Pond1Fish7_PondTime,9.564
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,682
Pond1Fish7_TimeLeft,400.538
Pond1_Type,N
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,0.771
Pond1Fish8_GiveUpTime,-1
Pond1Fish8_PondTime,10.123
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,693
Pond1Fish8_TimeLeft,390.413
Pond1_Type,N
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,0.718
Pond1Fish9_GiveUpTime,-1
Pond1Fish9_PondTime,10.78
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,704
Pond1Fish9_TimeLeft,379.633
Pond1_Type,N
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,0.721
Pond1Fish10_GiveUpTime,-1
Pond1Fish10_PondTime,11.612
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,715
Pond1Fish10_TimeLeft,368.02
Pond1_Type,N
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,0.788
Pond1Fish11_GiveUpTime,-1
Pond1Fish11_PondTime,12.685
Pond1Fish11_PondOutcome,121
Pond1Fish11_TotalOutcome,726
Pond1Fish11_TimeLeft,355.335
Pond1_Type,N
Pond1Fish12_FishType,green
Pond1Fish12_FishLatency,8.571428571428571
Pond1Fish12_CatchTime,0.798
Pond1Fish12_GiveUpTime,-1
Pond1Fish12_PondTime,14.127
Pond1Fish12_PondOutcome,132
