,5bf70a27bb5fc800018c61e9
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,0.836
Pond1Fish5_GiveUpTime,-1
Pond1Fish5_PondTime,8.717
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,374
Pond1Fish5_TimeLeft,633.35
Pond1_Type,N
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,1.152
Pond1Fish6_GiveUpTime,-1
Pond1Fish6_PondTime,9.1
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,385
Pond1Fish6_TimeLeft,624.249
Pond1_Type,N
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,1.098
Pond1Fish7_GiveUpTime,-1
Pond1Fish7_PondTime,9.547
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,396
Pond1Fish7_TimeLeft,614.702
Pond1_Type,N
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,1.166
Pond1Fish8_GiveUpTime,-1
Pond1Fish8_PondTime,10.103
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,407
Pond1Fish8_TimeLeft,604.599
Pond1_Type,N
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,0.816
Pond1Fish9_GiveUpTime,-1
Pond1Fish9_PondTime,10.765
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,418
Pond1Fish9_TimeLeft,593.834
Pond1_Type,N
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,1.08
Pond1Fish10_GiveUpTime,-1
Pond1Fish10_PondTime,11.6
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,429
Pond1Fish10_TimeLeft,582.234
Pond1_Type,N
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,1.284
Pond1Fish11_GiveUpTime,-1
Pond1Fish11_PondTime,12.667
Pond1Fish11_PondOutcome,121
Pond1Fish11_TotalOutcome,440
Pond1Fish11_TimeLeft,569.567
Pond1_Type,N
Pond1Fish12_FishType,green
Pond1Fish12_FishLatency,8.571428571428571
Pond1Fish12_CatchTime,1.186
Pond1Fish12_GiveUpTime,-1
Pond1Fish12_PondTime,14.098
Pond1Fish12_PondOutcome,132
