,5c0798f829ddf200018ac104
Pond11Fish9_PondTime,63.188
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,319
Pond11Fish9_TimeLeft,866.173
Type,N
FishN,16
Fish,10
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,6
Pond11Fish10_CatchTime,0.899
Pond11Fish10_PondTime,72.228
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,330
Pond11Fish10_TimeLeft,857.133
Type,N
FishN,16
Fish,11
Pond11Fish11_FishType,green
Pond11Fish11_FishLatency,6.666666666666667
Pond11Fish11_CatchTime,0.899
Pond11Fish11_PondTime,82.092
Pond11Fish11_PondOutcome,121
Pond11Fish11_TotalOutcome,341
Pond11Fish11_TimeLeft,847.269
Type,N
FishN,16
Fish,12
Pond11Fish12_FishType,green
Pond11Fish12_FishLatency,7.5
Pond11Fish12_CatchTime,0.921
Pond11Fish12_PondTime,93.028
Pond11Fish12_PondOutcome,132
Pond11Fish12_TotalOutcome,352
Pond11Fish12_TimeLeft,836.333
Type,N
FishN,16
Fish,13
Pond11Fish13_FishType,green
Pond11Fish13_FishLatency,8.571428571428571
Pond11Fish13_CatchTime,1.221
Pond11Fish13_PondTime,105.393
Pond11Fish13_PondOutcome,143
Pond11Fish13_TotalOutcome,363
Pond11Fish13_TimeLeft,823.968
Type,N
FishN,16
Fish,14
Pond11Fish14_FishType,green
Pond11Fish14_FishLatency,10
Pond11Fish14_CatchTime,1.017
Pond11Fish14_PondTime,119.75
Pond11Fish14_PondOutcome,154
Pond11Fish14_TotalOutcome,374
Pond11Fish14_TimeLeft,809.611
Type,N
FishN,16
Fish,15
Pond11Fish15_FishType,green
Pond11Fish15_FishLatency,12
Pond11Fish15_CatchTime,0.932
Pond11Fish15_PondTime,137.115
Pond11Fish15_PondOutcome,165
Pond11Fish15_TotalOutcome,385
Pond11Fish15_TimeLeft,792.246
PondEnd_LastFish,15
FishN,19
Type,N
GiveUpTime,0.988
PondTime,137.236
TimeLeft,791.623
PondOutcome,165
TotalOutcome,385
PondStart,PondStart
PondIntroTime,14.712733766064048
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,1.059
Pond2Fish1_PondTime,10.166
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,396
Pond2Fish1_TimeLeft,764.391
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,1.396
Pond2Fish2_PondTime,18.522
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,407
Pond2Fish2_TimeLeft,756.035
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,1.679
Pond2Fish3_PondTime,27.546
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,418
Pond2Fish3_TimeLeft,747.011
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,0.847
Pond2Fish4_PondTime,37.404
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,429
Pond2Fish4_TimeLeft,737.153
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,0.949
Pond2Fish5_PondTime,48.332
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,440
Pond2Fish5_TimeLeft,726.225
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,8.571428571428571
Pond2Fish6_CatchTime,0.91
Pond2Fish6_PondTime,60.695
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,451
Pond2Fish6_TimeLeft,713.862
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,10
Pond2Fish7_CatchTime,1.055
Pond2Fish7_PondTime,75.054
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,462
Pond2Fish7_TimeLeft,699.503
Type,N
FishN,13
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,12
Pond2Fish8_CatchTime,0.882
Pond2Fish8_PondTime,92.42
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,473
Pond2Fish8_TimeLeft,682.137
Type,N
FishN,13
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,15
Pond2Fish9_CatchTime,0.814
Pond2Fish9_PondTime,116.518
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,484
Pond2Fish9_TimeLeft,658.039
Type,N
FishN,13
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,20
Pond2Fish10_CatchTime,-1
Pond2Fish10_PondTime,149.884
Pond2Fish10_PondOutcome,99
Pond2Fish10_TotalOutcome,484
Pond2Fish10_TimeLeft,624.673
PondEnd_LastFish,10
FishN,12
Type,N
GiveUpTime,37.36
PondTime,151.162
TimeLeft,622.892
PondOutcome,99
TotalOutcome,484
PondStart,PondStart
PondIntroTime,16.639519238378853
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,2.016
Pond9Fish1_PondTime,8.623
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,495
Pond9Fish1_TimeLeft,596.985
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,1.87
Pond9Fish2_PondTime,15.78
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,506
Pond9Fish2_TimeLeft,589.828
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,0.957
Pond9Fish3_PondTime,23.152
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,517
Pond9Fish3_TimeLeft,582.456
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,0.961
Pond9Fish4_PondTime,30.961
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,528
Pond9Fish4_TimeLeft,574.647
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,0.803
Pond9Fish5_PondTime,39.318
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,539
Pond9Fish5_TimeLeft,566.29
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,0.776
Pond9Fish6_PondTime,48.34
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,550
Pond9Fish6_TimeLeft,557.268
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,0.855
Pond9Fish7_PondTime,58.199
Pond9Fish7_PondOutcome,77
