,5d78ffbc9a5f5200169fb6ac
Pond11Fish13_PondTime,105.74
Pond11Fish13_PondOutcome,143
Pond11Fish13_TotalOutcome,253
Pond11Fish13_TimeLeft,971.63
PondEnd_LastFish,13
FishN,19
Type,N
GiveUpTime,0.82
PondTime,120.104
TimeLeft,956.749
PondOutcome,143
TotalOutcome,253
PondStart,PondStart
PondIntroTime,16.43699963344261
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,0.839
Pond12Fish1_PondTime,8.605
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,264
Pond12Fish1_TimeLeft,931.067
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,1.181
Pond12Fish2_PondTime,15.621
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,275
Pond12Fish2_TimeLeft,924.05
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,0.7
Pond12Fish3_PondTime,23.029
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,286
Pond12Fish3_TimeLeft,916.643
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,0.711
Pond12Fish4_PondTime,30.897
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,297
Pond12Fish4_TimeLeft,908.775
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,0.754
Pond12Fish5_PondTime,39.289
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,308
Pond12Fish5_TimeLeft,900.383
Type,N
FishN,17
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,0.755
Pond12Fish6_PondTime,48.336
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,319
Pond12Fish6_TimeLeft,891.336
Type,N
FishN,17
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,0.997
Pond12Fish7_PondTime,58.24
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,330
Pond12Fish7_TimeLeft,881.432
Type,N
FishN,17
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,0.961
Pond12Fish8_PondTime,69.192
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,341
Pond12Fish8_TimeLeft,870.48
Type,N
FishN,17
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,8.571428571428571
Pond12Fish9_CatchTime,0.857
Pond12Fish9_PondTime,81.565
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,352
Pond12Fish9_TimeLeft,858.107
PondEnd_LastFish,9
FishN,15
Type,N
GiveUpTime,0.631
PondTime,95.597
TimeLeft,843.567
PondOutcome,99
TotalOutcome,352
PondStart,PondStart
PondIntroTime,13.100338915828615
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,0.74
Pond4Fish1_PondTime,7.683
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,363
Pond4Fish1_TimeLeft,822.156
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,0.834
Pond4Fish2_PondTime,13.598
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,374
Pond4Fish2_TimeLeft,816.24
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,1.015
Pond4Fish3_PondTime,19.715
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,385
Pond4Fish3_TimeLeft,810.124
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,0.627
Pond4Fish4_PondTime,26.116
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,396
Pond4Fish4_TimeLeft,803.723
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,0.745
Pond4Fish5_PondTime,32.782
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,407
Pond4Fish5_TimeLeft,797.057
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,0.834
Pond4Fish6_PondTime,39.774
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,418
Pond4Fish6_TimeLeft,790.065
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,0.794
Pond4Fish7_PondTime,47.189
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,429
Pond4Fish7_TimeLeft,782.65
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,5
Pond4Fish8_CatchTime,0.838
Pond4Fish8_PondTime,55.026
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,440
Pond4Fish8_TimeLeft,774.813
Type,N
FishN,19
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,5.454545454545454
Pond4Fish9_CatchTime,0.787
Pond4Fish9_PondTime,63.402
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,451
