,5dac6532ccaa330016e11e8f
Pond10Fish12_FishType,green
Pond10Fish12_FishLatency,12
Pond10Fish12_CatchTime,1.37
Pond10Fish12_PondTime,119.363
Pond10Fish12_PondOutcome,132
Pond10Fish12_TotalOutcome,297
Pond10Fish12_TimeLeft,826.604
Type,N
FishN,17
Fish,13
Pond10Fish13_FishType,green
Pond10Fish13_FishLatency,15
Pond10Fish13_CatchTime,1.79
Pond10Fish13_PondTime,141.842
Pond10Fish13_PondOutcome,143
Pond10Fish13_TotalOutcome,308
Pond10Fish13_TimeLeft,804.125
Type,N
FishN,17
Fish,14
Pond10Fish14_FishType,green
Pond10Fish14_FishLatency,20
Pond10Fish14_CatchTime,1.199
Pond10Fish14_PondTime,174.202
Pond10Fish14_PondOutcome,154
Pond10Fish14_TotalOutcome,319
Pond10Fish14_TimeLeft,771.765
Type,N
FishN,17
Fish,15
Pond10Fish15_FishType,green
Pond10Fish15_FishLatency,30
Pond10Fish15_CatchTime,1.106
Pond10Fish15_PondTime,236.561
Pond10Fish15_PondOutcome,165
Pond10Fish15_TotalOutcome,330
Pond10Fish15_TimeLeft,709.406
Type,N
FishN,17
Fish,16
Pond10Fish16_FishType,green
Pond10Fish16_FishLatency,60
Pond10Fish16_CatchTime,1.921
Pond10Fish16_PondTime,239.166
Pond10Fish16_PondOutcome,176
Pond10Fish16_TotalOutcome,341
Pond10Fish16_TimeLeft,706.801
PondEnd_LastFish,16
FishN,16
Type,N
GiveUpTime,94.662
PondTime,333.726
TimeLeft,611.739
PondOutcome,176
TotalOutcome,341
PondStart,PondStart
PondIntroTime,18.28598130494356
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,1.228
Pond2Fish1_PondTime,8.784
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,352
Pond2Fish1_TimeLeft,582.048
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,0.963
Pond2Fish2_PondTime,14.889
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,363
Pond2Fish2_TimeLeft,575.943
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,3.75
Pond2Fish3_CatchTime,1.327
Pond2Fish3_PondTime,21.246
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,374
Pond2Fish3_TimeLeft,569.586
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,4
Pond2Fish4_CatchTime,1.231
Pond2Fish4_PondTime,27.905
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,385
Pond2Fish4_TimeLeft,562.927
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,4.285714285714286
Pond2Fish5_CatchTime,0.954
Pond2Fish5_PondTime,34.876
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,396
Pond2Fish5_TimeLeft,555.956
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,4.615384615384615
Pond2Fish6_CatchTime,1.58
Pond2Fish6_PondTime,42.233
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,407
Pond2Fish6_TimeLeft,548.599
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,5
Pond2Fish7_CatchTime,1.334
Pond2Fish7_PondTime,50.057
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,418
Pond2Fish7_TimeLeft,540.775
Type,N
FishN,13
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,5.454545454545454
Pond2Fish8_CatchTime,1.512
Pond2Fish8_PondTime,58.417
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,429
Pond2Fish8_TimeLeft,532.415
Type,N
FishN,13
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,6
Pond2Fish9_CatchTime,1.583
Pond2Fish9_PondTime,67.44
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,440
Pond2Fish9_TimeLeft,523.392
Type,N
FishN,13
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,6.666666666666667
Pond2Fish10_CatchTime,1.548
Pond2Fish10_PondTime,77.304
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,451
Pond2Fish10_TimeLeft,513.528
Type,N
FishN,13
Fish,11
Pond2Fish11_FishType,green
Pond2Fish11_FishLatency,7.5
Pond2Fish11_CatchTime,1.949
Pond2Fish11_PondTime,88.498
Pond2Fish11_PondOutcome,121
Pond2Fish11_TotalOutcome,462
Pond2Fish11_TimeLeft,502.334
Type,N
FishN,13
Fish,12
Pond2Fish12_FishType,green
Pond2Fish12_FishLatency,8.571428571428571
Pond2Fish12_CatchTime,1.016
Pond2Fish12_PondTime,100.86
Pond2Fish12_PondOutcome,132
Pond2Fish12_TotalOutcome,473
Pond2Fish12_TimeLeft,489.972
Type,N
FishN,13
Fish,13
Pond2Fish13_FishType,green
Pond2Fish13_FishLatency,10
Pond2Fish13_CatchTime,1.574
Pond2Fish13_PondTime,115.223
Pond2Fish13_PondOutcome,143
Pond2Fish13_TotalOutcome,484
Pond2Fish13_TimeLeft,475.609
Type,N
FishN,13
Fish,14
Pond2Fish14_FishType,green
Pond2Fish14_FishLatency,12
Pond2Fish14_CatchTime,1.192
Pond2Fish14_PondTime,132.59
Pond2Fish14_PondOutcome,154
Pond2Fish14_TotalOutcome,495
Pond2Fish14_TimeLeft,458.242
Type,N
FishN,13
Fish,15
Pond2Fish15_FishType,green
Pond2Fish15_FishLatency,15
Pond2Fish15_CatchTime,1.471
Pond2Fish15_PondTime,154.959
Pond2Fish15_PondOutcome,165
Pond2Fish15_TotalOutcome,506
Pond2Fish15_TimeLeft,435.872
Type,N
FishN,13
Fish,16
Pond2Fish16_FishType,green
Pond2Fish16_FishLatency,20
Pond2Fish16_CatchTime,1.236
Pond2Fish16_PondTime,187.327
Pond2Fish16_PondOutcome,176
Pond2Fish16_TotalOutcome,517
Pond2Fish16_TimeLeft,403.505
Type,N
FishN,13
Fish,17
Pond2Fish17_FishType,green
Pond2Fish17_FishLatency,30
Pond2Fish17_CatchTime,1.373
Pond2Fish17_PondTime,249.689
Pond2Fish17_PondOutcome,187
Pond2Fish17_TotalOutcome,528
Pond2Fish17_TimeLeft,341.143
Type,N
FishN,13
Fish,18
Pond2Fish18_FishType,green
Pond2Fish18_FishLatency,60
Pond2Fish18_CatchTime,1.877
Pond2Fish18_PondTime,252.242
Pond2Fish18_PondOutcome,198
Pond2Fish18_TotalOutcome,539
Pond2Fish18_TimeLeft,338.59
PondEnd_LastFish,18
FishN,18
Type,N
GiveUpTime,208.417
PondTime,460.556
TimeLeft,129.772
PondOutcome,198
TotalOutcome,539
PondStart,PondStart
PondIntroTime,12.710157635156065
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.3333333333333335
Pond9Fish1_CatchTime,0.925
Pond9Fish1_PondTime,7.81
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,550
Pond9Fish1_TimeLeft,108.632
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.5294117647058822
Pond9Fish2_CatchTime,1.821
Pond9Fish2_PondTime,14.064
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,561
Pond9Fish2_TimeLeft,102.378
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.75
Pond9Fish3_CatchTime,1.473
Pond9Fish3_PondTime,20.436
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,572
Pond9Fish3_TimeLeft,96.005
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4
Pond9Fish4_CatchTime,1.025
Pond9Fish4_PondTime,27.094
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,583
Pond9Fish4_TimeLeft,89.348
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4.285714285714286
Pond9Fish5_CatchTime,1.812
Pond9Fish5_PondTime,34.188
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,594
Pond9Fish5_TimeLeft,82.254
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.615384615384615
Pond9Fish6_CatchTime,-1
Pond9Fish6_PondTime,41.608
Pond9Fish6_PondOutcome,55
Pond9Fish6_TotalOutcome,594
Pond9Fish6_TimeLeft,74.834
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,5
Pond9Fish7_CatchTime,1.192
Pond9Fish7_PondTime,49.431
Pond9Fish7_PondOutcome,66
Pond9Fish7_TotalOutcome,605
Pond9Fish7_TimeLeft,67.011
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,5.454545454545454
Pond9Fish8_CatchTime,1.178
Pond9Fish8_PondTime,57.787
Pond9Fish8_PondOutcome,77
Pond9Fish8_TotalOutcome,616
Pond9Fish8_TimeLeft,58.655
Type,N
FishN,15
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,6
Pond9Fish9_CatchTime,1.289
Pond9Fish9_PondTime,66.816
Pond9Fish9_PondOutcome,88
Pond9Fish9_TotalOutcome,627
Pond9Fish9_TimeLeft,49.626
Type,N
FishN,15
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,6.666666666666667
Pond9Fish10_CatchTime,1.126
Pond9Fish10_PondTime,76.676
Pond9Fish10_PondOutcome,99
Pond9Fish10_TotalOutcome,638
Pond9Fish10_TimeLeft,39.766
Type,N
FishN,15
Fish,11
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,7.5
Pond9Fish11_CatchTime,1.847
Pond9Fish11_PondTime,87.769
Pond9Fish11_PondOutcome,110
Pond9Fish11_TotalOutcome,649
Pond9Fish11_TimeLeft,28.673
Type,N
FishN,15
Fish,12
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,8.571428571428571
Pond9Fish12_CatchTime,1.152
Pond9Fish12_PondTime,100.128
Pond9Fish12_PondOutcome,121
Pond9Fish12_TotalOutcome,660
Pond9Fish12_TimeLeft,16.314
PondEnd_LastFish,12
FishN,18
Type,N
GiveUpTime,2.98
PondTime,102.459
TimeLeft,13.482
PondOutcome,121
TotalOutcome,660
PondStart,PondStart
PondIntroTime,12.525119667407125
