,5d5575339025920017fd271f
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,4
Pond5Fish3_CatchTime,0.772
Pond5Fish3_PondTime,21.079
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,297
Pond5Fish3_TimeLeft,874.227
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,4.285714285714286
Pond5Fish4_CatchTime,1.492
Pond5Fish4_PondTime,28.067
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,308
Pond5Fish4_TimeLeft,867.239
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,4.615384615384615
Pond5Fish5_CatchTime,0.934
Pond5Fish5_PondTime,35.453
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,319
Pond5Fish5_TimeLeft,859.853
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,5
Pond5Fish6_CatchTime,0.796
Pond5Fish6_PondTime,43.294
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,330
Pond5Fish6_TimeLeft,852.012
Type,N
FishN,18
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,5.454545454545454
Pond5Fish7_CatchTime,0.652
Pond5Fish7_PondTime,51.65
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,341
Pond5Fish7_TimeLeft,843.656
Type,N
FishN,18
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,6
Pond5Fish8_CatchTime,1.233
Pond5Fish8_PondTime,60.688
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,352
Pond5Fish8_TimeLeft,834.618
Type,N
FishN,18
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,6.666666666666667
Pond5Fish9_CatchTime,0.643
Pond5Fish9_PondTime,70.563
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,363
Pond5Fish9_TimeLeft,824.743
Type,N
FishN,18
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,7.5
Pond5Fish10_CatchTime,0.658
Pond5Fish10_PondTime,81.503
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,374
Pond5Fish10_TimeLeft,813.803
Type,N
FishN,18
Fish,11
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,8.571428571428571
Pond5Fish11_CatchTime,0.667
Pond5Fish11_PondTime,93.878
Pond5Fish11_PondOutcome,121
Pond5Fish11_TotalOutcome,385
Pond5Fish11_TimeLeft,801.428
PondEnd_LastFish,11
FishN,17
Type,N
GiveUpTime,0.96
PondTime,108.13
TimeLeft,786.671
PondOutcome,121
TotalOutcome,385
PondStart,PondStart
PondIntroTime,16.445231444668025
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.3333333333333335
Pond10Fish1_CatchTime,1.01
Pond10Fish1_PondTime,7.822
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,396
Pond10Fish1_TimeLeft,761.783
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.5294117647058822
Pond10Fish2_CatchTime,0.89
Pond10Fish2_PondTime,13.945
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,407
Pond10Fish2_TimeLeft,755.66
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,3.75
Pond10Fish3_CatchTime,1.77
Pond10Fish3_PondTime,20.397
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,418
Pond10Fish3_TimeLeft,749.208
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,4
Pond10Fish4_CatchTime,1.392
Pond10Fish4_PondTime,27.069
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,429
Pond10Fish4_TimeLeft,742.536
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4.285714285714286
Pond10Fish5_CatchTime,0.904
Pond10Fish5_PondTime,34.076
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,440
Pond10Fish5_TimeLeft,735.528
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,4.615384615384615
Pond10Fish6_CatchTime,1.148
Pond10Fish6_PondTime,41.445
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,451
Pond10Fish6_TimeLeft,728.16
Type,N
FishN,17
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,5
Pond10Fish7_CatchTime,1.215
Pond10Fish7_PondTime,49.288
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,462
Pond10Fish7_TimeLeft,720.317
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,5.454545454545454
Pond10Fish8_CatchTime,1.092
Pond10Fish8_PondTime,57.657
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,473
Pond10Fish8_TimeLeft,711.948
Type,N
FishN,17
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,6
Pond10Fish9_CatchTime,0.821
Pond10Fish9_PondTime,66.715
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,484
Pond10Fish9_TimeLeft,702.89
Type,N
FishN,17
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,6.666666666666667
Pond10Fish10_CatchTime,1.245
Pond10Fish10_PondTime,76.597
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,495
Pond10Fish10_TimeLeft,693.008
Type,N
FishN,17
Fish,11
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,7.5
Pond10Fish11_CatchTime,1.022
Pond10Fish11_PondTime,87.542
Pond10Fish11_PondOutcome,121
Pond10Fish11_TotalOutcome,506
Pond10Fish11_TimeLeft,682.063
Type,N
FishN,17
Fish,12
Pond10Fish12_FishType,green
Pond10Fish12_FishLatency,8.571428571428571
Pond10Fish12_CatchTime,0.912
Pond10Fish12_PondTime,99.919
Pond10Fish12_PondOutcome,132
Pond10Fish12_TotalOutcome,517
Pond10Fish12_TimeLeft,669.685
PondEnd_LastFish,12
FishN,18
Type,N
GiveUpTime,0.764
PondTime,114.14
TimeLeft,654.96
PondOutcome,132
TotalOutcome,517
PondStart,PondStart
PondIntroTime,14.077133496757597
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.75
Pond6Fish1_CatchTime,1.144
Pond6Fish1_PondTime,8.273
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,528
Pond6Fish1_TimeLeft,631.976
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,4
Pond6Fish2_CatchTime,1.014
Pond6Fish2_PondTime,14.928
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,539
Pond6Fish2_TimeLeft,625.321
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,4.285714285714286
Pond6Fish3_CatchTime,1.162
Pond6Fish3_PondTime,21.916
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,550
Pond6Fish3_TimeLeft,618.333
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4.615384615384615
Pond6Fish4_CatchTime,0.912
Pond6Fish4_PondTime,29.286
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,561
Pond6Fish4_TimeLeft,610.964
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,5
Pond6Fish5_CatchTime,0.744
Pond6Fish5_PondTime,37.107
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,572
Pond6Fish5_TimeLeft,603.143
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,5.454545454545454
Pond6Fish6_CatchTime,1.059
Pond6Fish6_PondTime,45.509
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,583
Pond6Fish6_TimeLeft,594.741
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,6
Pond6Fish7_CatchTime,0.821
Pond6Fish7_PondTime,54.545
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,594
Pond6Fish7_TimeLeft,585.705
Type,N
FishN,18
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,6.666666666666667
Pond6Fish8_CatchTime,0.882
Pond6Fish8_PondTime,64.441
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,605
Pond6Fish8_TimeLeft,575.809
PondEnd_LastFish,8
FishN,16
Type,N
GiveUpTime,0.538
PondTime,75.071
TimeLeft,564.674
PondOutcome,88
TotalOutcome,605
PondStart,PondStart
PondIntroTime,11.504423909354955
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,1.052
Pond9Fish1_PondTime,9.74
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,616
Pond9Fish1_TimeLeft,542.815
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,1.407
Pond9Fish2_PondTime,18.114
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,627
Pond9Fish2_TimeLeft,534.442
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,0.906
Pond9Fish3_PondTime,27.15
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,638
Pond9Fish3_TimeLeft,525.406
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,1.365
Pond9Fish4_PondTime,37.02
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,649
Pond9Fish4_TimeLeft,515.536
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,1.37
Pond9Fish5_PondTime,47.95
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,660
Pond9Fish5_TimeLeft,504.605
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,8.571428571428571
Pond9Fish6_CatchTime,0.959
Pond9Fish6_PondTime,60.325
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,671
Pond9Fish6_TimeLeft,492.231
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,10
Pond9Fish7_CatchTime,0.843
Pond9Fish7_PondTime,74.702
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,682
Pond9Fish7_TimeLeft,477.854
PondEnd_LastFish,7
FishN,12
Type,N
GiveUpTime,0.608
PondTime,91.652
TimeLeft,460.402
PondOutcome,77
TotalOutcome,682
PondStart,PondStart
PondIntroTime,17.828290848992765
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,1.071
Pond1Fish1_PondTime,9.298
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,693
Pond1Fish1_TimeLeft,432.646
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,0.876
Pond1Fish2_PondTime,17.124
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,704
Pond1Fish2_TimeLeft,424.819
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,1.276
Pond1Fish3_PondTime,25.498
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,715
Pond1Fish3_TimeLeft,416.446
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,0.784
Pond1Fish4_PondTime,34.537
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,726
Pond1Fish4_TimeLeft,407.407
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,0.845
Pond1Fish5_PondTime,44.423
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,737
Pond1Fish5_TimeLeft,397.521
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,0.699
Pond1Fish6_PondTime,55.361
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,748
Pond1Fish6_TimeLeft,386.583
Type,N
FishN,16
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,0.699
Pond1Fish7_PondTime,67.738
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,759
Pond1Fish7_TimeLeft,374.206
PondEnd_LastFish,7
FishN,13
Type,N
GiveUpTime,0.898
PondTime,81.865
TimeLeft,359.576
PondOutcome,77
TotalOutcome,759
PondStart,PondStart
PondIntroTime,12.6930301473476
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,1.077
Pond11Fish1_PondTime,8.023
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,770
Pond11Fish1_TimeLeft,338.243
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,0.884
Pond11Fish2_PondTime,14.41
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,781
Pond11Fish2_TimeLeft,331.855
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,0.807
Pond11Fish3_PondTime,21.065
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,792
Pond11Fish3_TimeLeft,325.201
Type,N
FishN,16
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,0.864
Pond11Fish4_PondTime,28.049
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,803
Pond11Fish4_TimeLeft,318.216
Type,N
FishN,16
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,0.775
Pond11Fish5_PondTime,35.424
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,814
Pond11Fish5_TimeLeft,310.842
Type,N
FishN,16
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,0.835
Pond11Fish6_PondTime,43.263
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,825
Pond11Fish6_TimeLeft,303.003
Type,N
FishN,16
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,5.454545454545454
Pond11Fish7_CatchTime,0.732
Pond11Fish7_PondTime,51.651
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,836
Pond11Fish7_TimeLeft,294.615
Type,N
FishN,16
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,6
Pond11Fish8_CatchTime,0.791
Pond11Fish8_PondTime,60.692
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,847
Pond11Fish8_TimeLeft,285.574
Type,N
FishN,16
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,6.666666666666667
Pond11Fish9_CatchTime,0.91
Pond11Fish9_PondTime,70.596
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,858
Pond11Fish9_TimeLeft,275.67
Type,N
FishN,16
Fish,10
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,7.5
Pond11Fish10_CatchTime,0.906
Pond11Fish10_PondTime,81.525
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,869
Pond11Fish10_TimeLeft,264.741
PondEnd_LastFish,10
FishN,17
Type,N
GiveUpTime,0.929
PondTime,81.566
TimeLeft,264.192
PondOutcome,110
TotalOutcome,869
PondStart,PondStart
PondIntroTime,15.967950425110757
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,1.103
Pond3Fish1_PondTime,7.619
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,880
Pond3Fish1_TimeLeft,239.994
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,1.639
Pond3Fish2_PondTime,13.509
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,891
Pond3Fish2_TimeLeft,234.104
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,1.384
Pond3Fish3_PondTime,19.629
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,902
Pond3Fish3_TimeLeft,227.984
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,1.241
Pond3Fish4_PondTime,26.017
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,913
