,5bfecff80ef0390001387cc2
Pond6Fish3_TotalOutcome,352
Pond6Fish3_TimeLeft,388.22
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,1.797
Pond6Fish4_PondTime,26.145
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,363
Pond6Fish4_TimeLeft,381.731
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,1.19
Pond6Fish5_PondTime,32.799
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,374
Pond6Fish5_TimeLeft,375.077
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,-1
Pond6Fish6_PondTime,39.831
Pond6Fish6_PondOutcome,55
Pond6Fish6_TotalOutcome,374
Pond6Fish6_TimeLeft,368.045
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,4.615384615384615
Pond6Fish7_CatchTime,1.152
Pond6Fish7_PondTime,47.197
Pond6Fish7_PondOutcome,66
Pond6Fish7_TotalOutcome,385
Pond6Fish7_TimeLeft,360.679
Type,N
FishN,18
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,5
Pond6Fish8_CatchTime,1.147
Pond6Fish8_PondTime,55.023
Pond6Fish8_PondOutcome,77
Pond6Fish8_TotalOutcome,396
Pond6Fish8_TimeLeft,352.852
Type,N
FishN,18
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,5.454545454545454
Pond6Fish9_CatchTime,1.152
Pond6Fish9_PondTime,63.385
Pond6Fish9_PondOutcome,88
Pond6Fish9_TotalOutcome,407
Pond6Fish9_TimeLeft,344.491
Type,N
FishN,18
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,6
Pond6Fish10_CatchTime,1.722
Pond6Fish10_PondTime,72.463
Pond6Fish10_PondOutcome,99
Pond6Fish10_TotalOutcome,418
Pond6Fish10_TimeLeft,335.413
Type,N
FishN,18
Fish,11
Pond6Fish11_FishType,green
Pond6Fish11_FishLatency,6.666666666666667
Pond6Fish11_CatchTime,1.419
Pond6Fish11_PondTime,82.329
Pond6Fish11_PondOutcome,110
Pond6Fish11_TotalOutcome,429
Pond6Fish11_TimeLeft,325.547
Type,N
FishN,18
Fish,12
Pond6Fish12_FishType,green
Pond6Fish12_FishLatency,7.5
Pond6Fish12_CatchTime,1.196
Pond6Fish12_PondTime,93.269
Pond6Fish12_PondOutcome,121
Pond6Fish12_TotalOutcome,440
Pond6Fish12_TimeLeft,314.607
Type,N
FishN,18
Fish,13
Pond6Fish13_FishType,green
Pond6Fish13_FishLatency,8.571428571428571
Pond6Fish13_CatchTime,1.344
Pond6Fish13_PondTime,105.651
Pond6Fish13_PondOutcome,132
Pond6Fish13_TotalOutcome,451
Pond6Fish13_TimeLeft,302.225
Type,N
FishN,18
Fish,14
Pond6Fish14_FishType,green
Pond6Fish14_FishLatency,10
Pond6Fish14_CatchTime,1.464
Pond6Fish14_PondTime,120.025
Pond6Fish14_PondOutcome,143
Pond6Fish14_TotalOutcome,462
Pond6Fish14_TimeLeft,287.851
Type,N
FishN,18
Fish,15
Pond6Fish15_FishType,green
Pond6Fish15_FishLatency,12
Pond6Fish15_CatchTime,0.812
Pond6Fish15_PondTime,137.403
Pond6Fish15_PondOutcome,154
Pond6Fish15_TotalOutcome,473
Pond6Fish15_TimeLeft,270.473
Type,N
FishN,18
Fish,16
Pond6Fish16_FishType,green
Pond6Fish16_FishLatency,15
Pond6Fish16_CatchTime,0.625
Pond6Fish16_PondTime,159.78
Pond6Fish16_PondOutcome,165
Pond6Fish16_TotalOutcome,484
