,5da35c30ce810e001750ce0f
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,1.321
Pond3Fish2_PondTime,13.936
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,341
Pond3Fish2_TimeLeft,172.028
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,1.25
Pond3Fish3_PondTime,20.315
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,352
Pond3Fish3_TimeLeft,165.65
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,1.348
Pond3Fish4_PondTime,26.98
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,363
Pond3Fish4_TimeLeft,158.985
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,1.309
Pond3Fish5_PondTime,33.96
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,374
Pond3Fish5_TimeLeft,152.005
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,1.208
Pond3Fish6_PondTime,41.343
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,385
Pond3Fish6_TimeLeft,144.622
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,1.377
Pond3Fish7_PondTime,49.18
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,396
Pond3Fish7_TimeLeft,136.785
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,1.57
Pond3Fish8_PondTime,57.549
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,407
Pond3Fish8_TimeLeft,128.416
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,1.323
Pond3Fish9_PondTime,66.594
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,418
Pond3Fish9_TimeLeft,119.371
Type,N
FishN,18
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,6.666666666666667
Pond3Fish10_CatchTime,1.588
Pond3Fish10_PondTime,76.459
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,429
Pond3Fish10_TimeLeft,109.506
Type,N
FishN,18
Fish,11
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,7.5
Pond3Fish11_CatchTime,1.342
Pond3Fish11_PondTime,87.42
Pond3Fish11_PondOutcome,121
Pond3Fish11_TotalOutcome,440
Pond3Fish11_TimeLeft,98.545
Type,N
FishN,18
Fish,12
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,8.571428571428571
Pond3Fish12_CatchTime,1.429
Pond3Fish12_PondTime,99.792
Pond3Fish12_PondOutcome,132
Pond3Fish12_TotalOutcome,451
Pond3Fish12_TimeLeft,86.173
Type,N
FishN,18
Fish,13
Pond3Fish13_FishType,green
Pond3Fish13_FishLatency,10
Pond3Fish13_CatchTime,1.421
Pond3Fish13_PondTime,114.162
Pond3Fish13_PondOutcome,143
Pond3Fish13_TotalOutcome,462
Pond3Fish13_TimeLeft,71.802
Type,N
FishN,18
Fish,14
Pond3Fish14_FishType,green
Pond3Fish14_FishLatency,12
Pond3Fish14_CatchTime,1.474
Pond3Fish14_PondTime,131.57
Pond3Fish14_PondOutcome,154
Pond3Fish14_TotalOutcome,473
Pond3Fish14_TimeLeft,54.395
Type,N
FishN,18
Fish,15
Pond3Fish15_FishType,green
Pond3Fish15_FishLatency,15
Pond3Fish15_CatchTime,1.437
Pond3Fish15_PondTime,153.95
Pond3Fish15_PondOutcome,165
Pond3Fish15_TotalOutcome,484
Pond3Fish15_TimeLeft,32.015
