,5d3f63257e89a9000196f790
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,5
Pond10Fish3_CatchTime,0.667
Pond10Fish3_PondTime,24.083
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,275
Pond10Fish3_TimeLeft,900.27
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,5.454545454545454
Pond10Fish4_CatchTime,0.966
Pond10Fish4_PondTime,32.448
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,286
Pond10Fish4_TimeLeft,891.905
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,6
Pond10Fish5_CatchTime,0.82
Pond10Fish5_PondTime,41.482
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,297
Pond10Fish5_TimeLeft,882.871
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,6.666666666666667
Pond10Fish6_CatchTime,0.795
Pond10Fish6_PondTime,51.346
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,308
Pond10Fish6_TimeLeft,873.007
Type,N
FishN,17
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,7.5
Pond10Fish7_CatchTime,1.181
Pond10Fish7_PondTime,62.282
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,319
Pond10Fish7_TimeLeft,862.071
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,8.571428571428571
Pond10Fish8_CatchTime,0.854
Pond10Fish8_PondTime,74.647
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,330
Pond10Fish8_TimeLeft,849.706
PondEnd_LastFish,8
FishN,14
Type,N
GiveUpTime,0.455
PondTime,88.399
TimeLeft,835.451
PondOutcome,88
TotalOutcome,330
PondStart,PondStart
PondIntroTime,19.87487539416179
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,0.711
Pond1Fish1_PondTime,8.27
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,341
Pond1Fish1_TimeLeft,806.673
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,0.607
Pond1Fish2_PondTime,14.917
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,352
Pond1Fish2_TimeLeft,800.026
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,0.718
Pond1Fish3_PondTime,21.902
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,363
Pond1Fish3_TimeLeft,793.041
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,0.624
Pond1Fish4_PondTime,29.267
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,374
Pond1Fish4_TimeLeft,785.676
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,0.704
Pond1Fish5_PondTime,37.083
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,385
Pond1Fish5_TimeLeft,777.86
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,0.873
Pond1Fish6_PondTime,45.452
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,396
Pond1Fish6_TimeLeft,769.491
Type,N
FishN,16
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,6
Pond1Fish7_CatchTime,0.794
Pond1Fish7_PondTime,54.483
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,407
Pond1Fish7_TimeLeft,760.46
Type,N
FishN,16
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,6.666666666666667
Pond1Fish8_CatchTime,0.502
Pond1Fish8_PondTime,64.348
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,418
Pond1Fish8_TimeLeft,750.595
Type,N
FishN,16
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,7.5
Pond1Fish9_CatchTime,1.043
Pond1Fish9_PondTime,75.279
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,429
Pond1Fish9_TimeLeft,739.664
PondEnd_LastFish,9
FishN,16
Type,N
GiveUpTime,0.595
PondTime,87.005
TimeLeft,727.435
PondOutcome,99
TotalOutcome,429
PondStart,PondStart
PondIntroTime,11.493218401446939
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.3333333333333335
Pond9Fish1_CatchTime,0.703
Pond9Fish1_PondTime,7.803
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,440
Pond9Fish1_TimeLeft,707.529
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.5294117647058822
