,5cc4e12d155841001b26c35f
Pond10Fish1_TotalOutcome,880
Pond10Fish1_TimeLeft,314.187
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.3333333333333335
Pond10Fish2_CatchTime,1.372
Pond10Fish2_PondTime,13.498
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,891
Pond10Fish2_TimeLeft,308.293
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,3.5294117647058822
Pond10Fish3_CatchTime,1.195
Pond10Fish3_PondTime,19.617
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,902
Pond10Fish3_TimeLeft,302.174
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,3.75
Pond10Fish4_CatchTime,1.346
Pond10Fish4_PondTime,25.979
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,913
Pond10Fish4_TimeLeft,295.812
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4
Pond10Fish5_CatchTime,1.555
Pond10Fish5_PondTime,32.632
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,924
Pond10Fish5_TimeLeft,289.159
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,4.285714285714286
Pond10Fish6_CatchTime,0.909
Pond10Fish6_PondTime,39.621
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,935
Pond10Fish6_TimeLeft,282.17
Type,N
FishN,17
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,4.615384615384615
Pond10Fish7_CatchTime,1.21
Pond10Fish7_PondTime,46.995
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,946
Pond10Fish7_TimeLeft,274.796
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,5
Pond10Fish8_CatchTime,1.111
Pond10Fish8_PondTime,54.815
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,957
Pond10Fish8_TimeLeft,266.976
Type,N
FishN,17
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,5.454545454545454
Pond10Fish9_CatchTime,1.451
Pond10Fish9_PondTime,63.184
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,968
Pond10Fish9_TimeLeft,258.607
Type,N
FishN,17
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,6
Pond10Fish10_CatchTime,0.982
Pond10Fish10_PondTime,72.212
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,979
Pond10Fish10_TimeLeft,249.579
Type,N
FishN,17
Fish,11
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,6.666666666666667
Pond10Fish11_CatchTime,1.184
Pond10Fish11_PondTime,82.086
Pond10Fish11_PondOutcome,121
Pond10Fish11_TotalOutcome,990
Pond10Fish11_TimeLeft,239.705
Type,N
FishN,17
Fish,12
Pond10Fish12_FishType,green
Pond10Fish12_FishLatency,7.5
Pond10Fish12_CatchTime,1.093
Pond10Fish12_PondTime,93.027
Pond10Fish12_PondOutcome,132
Pond10Fish12_TotalOutcome,1001
Pond10Fish12_TimeLeft,228.764
PondEnd_LastFish,12
FishN,19
Type,N
GiveUpTime,0.943
PondTime,93.262
TimeLeft,228.027
PondOutcome,132
TotalOutcome,1001
PondStart,PondStart
PondIntroTime,18.340458013117313
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,0.933
Pond3Fish1_PondTime,8.291
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,1012
Pond3Fish1_TimeLeft,200.777
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,0.994
Pond3Fish2_PondTime,14.94
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,1023
Pond3Fish2_TimeLeft,194.128
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,1.093
Pond3Fish3_PondTime,21.937
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,1034
Pond3Fish3_TimeLeft,187.131
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,1.313
Pond3Fish4_PondTime,29.307
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,1045
Pond3Fish4_TimeLeft,179.761
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,1.04
Pond3Fish5_PondTime,37.124
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,1056
Pond3Fish5_TimeLeft,171.944
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,1.435
Pond3Fish6_PondTime,45.494
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,1067
Pond3Fish6_TimeLeft,163.574
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,6
Pond3Fish7_CatchTime,1.113
Pond3Fish7_PondTime,54.532
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,1078
Pond3Fish7_TimeLeft,154.536
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,6.666666666666667
Pond3Fish8_CatchTime,1.22
Pond3Fish8_PondTime,64.398
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,1089
Pond3Fish8_TimeLeft,144.67
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,7.5
Pond3Fish9_CatchTime,1.271
Pond3Fish9_PondTime,75.334
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,1100
Pond3Fish9_TimeLeft,133.734
PondEnd_LastFish,9
FishN,16
Type,N
GiveUpTime,1.384
PondTime,76.198
TimeLeft,132.366
PondOutcome,99
TotalOutcome,1100
PondStart,PondStart
PondIntroTime,16.98647692333907
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,1.346
Pond6Fish1_PondTime,8.573
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,1111
Pond6Fish1_TimeLeft,106.16
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,1.228
Pond6Fish2_PondTime,15.558
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,1122
Pond6Fish2_TimeLeft,99.175
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,4.615384615384615
Pond6Fish3_CatchTime,1.239
Pond6Fish3_PondTime,22.92
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,1133
Pond6Fish3_TimeLeft,91.813
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,5
Pond6Fish4_CatchTime,0.909
Pond6Fish4_PondTime,30.744
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,1144
Pond6Fish4_TimeLeft,83.989
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,5.454545454545454
Pond6Fish5_CatchTime,1.168
Pond6Fish5_PondTime,39.11
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,1155
Pond6Fish5_TimeLeft,75.623
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,6
Pond6Fish6_CatchTime,0.861
Pond6Fish6_PondTime,48.151
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,1166
Pond6Fish6_TimeLeft,66.582
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,6.666666666666667
Pond6Fish7_CatchTime,1.345
Pond6Fish7_PondTime,58.014
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,1177
Pond6Fish7_TimeLeft,56.718
Type,N
FishN,18
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,7.5
Pond6Fish8_CatchTime,1.258
Pond6Fish8_PondTime,68.963
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,1188
Pond6Fish8_TimeLeft,45.77
PondEnd_LastFish,8
FishN,15
Type,N
GiveUpTime,3.295
PondTime,71.729
TimeLeft,42.502
PondOutcome,88
TotalOutcome,1188
PondStart,PondStart
PondIntroTime,11.388379188720137
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,1.246
Pond7Fish1_PondTime,7.799
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,1199
Pond7Fish1_TimeLeft,22.697
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,1.368
Pond7Fish2_PondTime,13.922
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,1210
Pond7Fish2_TimeLeft,16.574
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,0.988
Pond7Fish3_PondTime,20.292
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,1221
Pond7Fish3_TimeLeft,10.204
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4
Pond7Fish4_CatchTime,1.391
Pond7Fish4_PondTime,26.948
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,1232
Pond7Fish4_TimeLeft,3.548
