,5d3f2ac26a5b1e0016a91a82
Pond2Fish2_TimeLeft,930.598
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,0.901
Pond2Fish3_PondTime,19.651
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,264
Pond2Fish3_TimeLeft,924.476
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,0.798
Pond2Fish4_PondTime,26.045
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,275
Pond2Fish4_TimeLeft,918.082
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,0.706
Pond2Fish5_PondTime,32.734
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,286
Pond2Fish5_TimeLeft,911.393
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,0.85
Pond2Fish6_PondTime,39.74
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,297
Pond2Fish6_TimeLeft,904.387
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,4.615384615384615
Pond2Fish7_CatchTime,0.829
Pond2Fish7_PondTime,47.159
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,308
Pond2Fish7_TimeLeft,896.968
Type,N
FishN,13
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,5
Pond2Fish8_CatchTime,0.725
Pond2Fish8_PondTime,54.996
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,319
Pond2Fish8_TimeLeft,889.131
Type,N
FishN,13
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,5.454545454545454
Pond2Fish9_CatchTime,0.851
Pond2Fish9_PondTime,63.399
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,330
Pond2Fish9_TimeLeft,880.728
Type,N
FishN,13
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,6
Pond2Fish10_CatchTime,0.781
Pond2Fish10_PondTime,72.467
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,341
Pond2Fish10_TimeLeft,871.66
PondEnd_LastFish,10
FishN,19
Type,N
GiveUpTime,0.497
PondTime,81.772
TimeLeft,861.853
PondOutcome,110
TotalOutcome,341
PondStart,PondStart
PondIntroTime,11.2578761507757
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,4
Pond11Fish1_CatchTime,0.898
Pond11Fish1_PondTime,8.595
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,352
Pond11Fish1_TimeLeft,841.363
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4.285714285714286
Pond11Fish2_CatchTime,0.83
Pond11Fish2_PondTime,15.6
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,363
Pond11Fish2_TimeLeft,834.358
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4.615384615384615
Pond11Fish3_CatchTime,0.842
Pond11Fish3_PondTime,23.004
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,374
Pond11Fish3_TimeLeft,826.954
Type,N
FishN,16
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,5
Pond11Fish4_CatchTime,0.741
Pond11Fish4_PondTime,30.841
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,385
Pond11Fish4_TimeLeft,819.117
Type,N
FishN,16
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,5.454545454545454
Pond11Fish5_CatchTime,0.535
Pond11Fish5_PondTime,39.259
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,396
Pond11Fish5_TimeLeft,810.699
Type,N
FishN,16
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,6
Pond11Fish6_CatchTime,0.726
Pond11Fish6_PondTime,48.328
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,407
Pond11Fish6_TimeLeft,801.63
PondEnd_LastFish,6
FishN,15
Type,N
GiveUpTime,0.456
PondTime,57.507
TimeLeft,791.948
PondOutcome,66
TotalOutcome,407
PondStart,PondStart
PondIntroTime,19.610182417090982
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,0.699
Pond9Fish1_PondTime,9.75
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,418
Pond9Fish1_TimeLeft,761.97
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,0.873
Pond9Fish2_PondTime,18.141
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,429
Pond9Fish2_TimeLeft,753.579
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,0.737
Pond9Fish3_PondTime,27.209
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,440
Pond9Fish3_TimeLeft,744.511
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,0.76
Pond9Fish4_PondTime,37.108
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,451
Pond9Fish4_TimeLeft,734.612
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,0.798
Pond9Fish5_PondTime,48.106
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,462
Pond9Fish5_TimeLeft,723.614
PondEnd_LastFish,5
FishN,12
Type,N
GiveUpTime,0.453
PondTime,59.913
TimeLeft,711.306
PondOutcome,55
TotalOutcome,462
PondStart,PondStart
PondIntroTime,15.374730119947344
Type,N
FishN,15
Fish,1
