,5dcfc0deb2204f0c99f18f96
Pond8Fish4_CatchTime,1.105
Pond8Fish4_PondTime,34.672
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,264
Pond8Fish4_TimeLeft,868.468
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,1.62
Pond8Fish5_PondTime,44.58
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,275
Pond8Fish5_TimeLeft,858.56
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,7.5
Pond8Fish6_CatchTime,1.709
Pond8Fish6_PondTime,55.568
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,286
Pond8Fish6_TimeLeft,847.572
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,8.571428571428571
Pond8Fish7_CatchTime,1.051
Pond8Fish7_PondTime,68.009
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,297
Pond8Fish7_TimeLeft,835.13
Type,N
FishN,15
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,10
Pond8Fish8_CatchTime,0.941
Pond8Fish8_PondTime,82.403
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,308
Pond8Fish8_TimeLeft,820.736
Type,N
FishN,15
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,12
Pond8Fish9_CatchTime,1.113
Pond8Fish9_PondTime,99.83
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,319
Pond8Fish9_TimeLeft,803.309
PondEnd_LastFish,9
FishN,13
Type,N
GiveUpTime,1.074
PondTime,100.208
TimeLeft,802.42
PondOutcome,99
TotalOutcome,319
PondStart,PondStart
PondIntroTime,18.058216345962137
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,1.064
Pond11Fish1_PondTime,8.088
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,330
Pond11Fish1_TimeLeft,775.617
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,1.305
Pond11Fish2_PondTime,14.499
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,341
Pond11Fish2_TimeLeft,769.206
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,1.514
Pond11Fish3_PondTime,21.199
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,352
Pond11Fish3_TimeLeft,762.506
Type,N
FishN,16
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,2.015
Pond11Fish4_PondTime,28.309
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,363
Pond11Fish4_TimeLeft,755.396
Type,N
FishN,16
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,1.575
Pond11Fish5_PondTime,35.701
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,374
Pond11Fish5_TimeLeft,748.004
Type,N
FishN,16
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,-1
Pond11Fish6_PondTime,43.624
Pond11Fish6_PondOutcome,55
Pond11Fish6_TotalOutcome,374
Pond11Fish6_TimeLeft,740.081
Type,N
FishN,16
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,5.454545454545454
Pond11Fish7_CatchTime,0.913
Pond11Fish7_PondTime,52.017
Pond11Fish7_PondOutcome,66
Pond11Fish7_TotalOutcome,385
Pond11Fish7_TimeLeft,731.688
Type,N
FishN,16
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,6
Pond11Fish8_CatchTime,1.172
Pond11Fish8_PondTime,61.097
Pond11Fish8_PondOutcome,77
Pond11Fish8_TotalOutcome,396
Pond11Fish8_TimeLeft,722.608
Type,N
FishN,16
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,6.666666666666667
Pond11Fish9_CatchTime,0.896
Pond11Fish9_PondTime,71.005
Pond11Fish9_PondOutcome,88
Pond11Fish9_TotalOutcome,407
Pond11Fish9_TimeLeft,712.699
Type,N
FishN,16
Fish,10
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,7.5
Pond11Fish10_CatchTime,1.254
Pond11Fish10_PondTime,81.991
Pond11Fish10_PondOutcome,99
Pond11Fish10_TotalOutcome,418
Pond11Fish10_TimeLeft,701.713
PondEnd_LastFish,10
FishN,17
Type,N
GiveUpTime,1.657
PondTime,83.084
TimeLeft,700.097
PondOutcome,99
TotalOutcome,418
PondStart,PondStart
PondIntroTime,14.59661789238453
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,1.096
Pond2Fish1_PondTime,9.331
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,429
Pond2Fish1_TimeLeft,675.484
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.109
Pond2Fish2_PondTime,17.185
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,440
Pond2Fish2_TimeLeft,667.63
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,0.935
Pond2Fish3_PondTime,25.594
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,451
Pond2Fish3_TimeLeft,659.222
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,1.226
Pond2Fish4_PondTime,34.675
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,462
Pond2Fish4_TimeLeft,650.141
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,1.44
Pond2Fish5_PondTime,44.568
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,473
Pond2Fish5_TimeLeft,640.248
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,0.933
Pond2Fish6_PondTime,55.537
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,484
Pond2Fish6_TimeLeft,629.278
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,1.425
Pond2Fish7_PondTime,67.932
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,495
Pond2Fish7_TimeLeft,616.884
Type,N
FishN,13
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,10
Pond2Fish8_CatchTime,1.059
Pond2Fish8_PondTime,82.33
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,506
Pond2Fish8_TimeLeft,602.485
PondEnd_LastFish,8
FishN,13
Type,N
GiveUpTime,1.173
PondTime,82.761
TimeLeft,601.534
PondOutcome,88
TotalOutcome,506
PondStart,PondStart
PondIntroTime,10.856601737905294
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,1.262
Pond7Fish1_PondTime,7.68
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,517
Pond7Fish1_TimeLeft,582.328
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,1.367
Pond7Fish2_PondTime,13.604
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,528
Pond7Fish2_TimeLeft,576.405
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,3.5294117647058822
Pond7Fish3_CatchTime,1.224
Pond7Fish3_PondTime,19.777
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,539
Pond7Fish3_TimeLeft,570.232
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,3.75
Pond7Fish4_CatchTime,2.02
Pond7Fish4_PondTime,26.245
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,550
Pond7Fish4_TimeLeft,563.762
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4
Pond7Fish5_CatchTime,0.981
Pond7Fish5_PondTime,32.935
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,561
Pond7Fish5_TimeLeft,557.074
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,4.285714285714286
Pond7Fish6_CatchTime,1.248
Pond7Fish6_PondTime,39.952
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,572
Pond7Fish6_TimeLeft,550.057
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,4.615384615384615
Pond7Fish7_CatchTime,1.144
Pond7Fish7_PondTime,47.344
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,583
Pond7Fish7_TimeLeft,542.664
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,5
Pond7Fish8_CatchTime,1.115
Pond7Fish8_PondTime,55.19
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,594
Pond7Fish8_TimeLeft,534.819
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,5.454545454545454
Pond7Fish9_CatchTime,1.187
Pond7Fish9_PondTime,63.597
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,605
Pond7Fish9_TimeLeft,526.411
Type,N
FishN,15
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,6
Pond7Fish10_CatchTime,1.166
Pond7Fish10_PondTime,72.664
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,616
Pond7Fish10_TimeLeft,517.345
Type,N
FishN,15
Fish,11
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,6.666666666666667
Pond7Fish11_CatchTime,1.526
Pond7Fish11_PondTime,82.554
Pond7Fish11_PondOutcome,121
Pond7Fish11_TotalOutcome,627
Pond7Fish11_TimeLeft,507.454
Type,N
FishN,15
Fish,12
Pond7Fish12_FishType,green
Pond7Fish12_FishLatency,7.5
Pond7Fish12_CatchTime,1.226
Pond7Fish12_PondTime,93.54
Pond7Fish12_PondOutcome,132
Pond7Fish12_TotalOutcome,638
Pond7Fish12_TimeLeft,496.469
Type,N
FishN,15
Fish,13
Pond7Fish13_FishType,green
Pond7Fish13_FishLatency,8.571428571428571
Pond7Fish13_CatchTime,1.07
Pond7Fish13_PondTime,105.934
Pond7Fish13_PondOutcome,143
Pond7Fish13_TotalOutcome,649
Pond7Fish13_TimeLeft,484.074
Type,N
FishN,15
Fish,14
Pond7Fish14_FishType,green
Pond7Fish14_FishLatency,10
Pond7Fish14_CatchTime,1.223
Pond7Fish14_PondTime,120.343
Pond7Fish14_PondOutcome,154
Pond7Fish14_TotalOutcome,660
Pond7Fish14_TimeLeft,469.665
PondEnd_LastFish,14
FishN,19
Type,N
GiveUpTime,0.881
PondTime,120.626
TimeLeft,468.853
PondOutcome,154
TotalOutcome,660
PondStart,PondStart
PondIntroTime,11.650937681552023
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,1.297
Pond6Fish1_PondTime,9.789
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,671
Pond6Fish1_TimeLeft,446.706
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,1.275
Pond6Fish2_PondTime,18.181
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,682
Pond6Fish2_TimeLeft,438.314
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,1.334
Pond6Fish3_PondTime,27.262
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,693
Pond6Fish3_TimeLeft,429.233
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,1.147
Pond6Fish4_PondTime,37.154
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,704
Pond6Fish4_TimeLeft,419.341
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,1.03
Pond6Fish5_PondTime,48.141
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,715
Pond6Fish5_TimeLeft,408.353
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,8.571428571428571
Pond6Fish6_CatchTime,1.124
Pond6Fish6_PondTime,60.551
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,726
Pond6Fish6_TimeLeft,395.944
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,10
Pond6Fish7_CatchTime,1.163
Pond6Fish7_PondTime,74.977
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,737
Pond6Fish7_TimeLeft,381.518
PondEnd_LastFish,7
FishN,12
Type,N
GiveUpTime,1.695
PondTime,76.034
TimeLeft,379.943
PondOutcome,77
TotalOutcome,737
PondStart,PondStart
PondIntroTime,16.627279305830598
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,1.077
Pond4Fish1_PondTime,9.301
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,748
Pond4Fish1_TimeLeft,353.355
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,1.379
Pond4Fish2_PondTime,17.144
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,759
Pond4Fish2_TimeLeft,345.512
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,0.899
Pond4Fish3_PondTime,25.568
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,770
Pond4Fish3_TimeLeft,337.089
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,1.192
Pond4Fish4_PondTime,34.663
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,781
