,5e209868a122c8000b7338ba
Pond6Fish7_CatchTime,1.728
Pond6Fish7_PondTime,67.776
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,913
Pond6Fish7_TimeLeft,263.766
Type,N
FishN,18
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,10
Pond6Fish8_CatchTime,0.994
Pond6Fish8_PondTime,82.159
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,924
Pond6Fish8_TimeLeft,249.383
PondEnd_LastFish,8
FishN,13
Type,N
GiveUpTime,0.396
PondTime,98.942
TimeLeft,232.095
PondOutcome,88
TotalOutcome,924
PondStart,PondStart
PondIntroTime,11.59777105320245
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,0.702
Pond5Fish1_PondTime,9.732
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,935
Pond5Fish1_TimeLeft,210.122
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,0.502
Pond5Fish2_PondTime,18.108
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,946
Pond5Fish2_TimeLeft,201.745
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,0.48
Pond5Fish3_PondTime,27.154
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,957
Pond5Fish3_TimeLeft,192.7
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,0.667
Pond5Fish4_PondTime,37.044
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,968
Pond5Fish4_TimeLeft,182.81
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,0.805
Pond5Fish5_PondTime,47.984
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,979
Pond5Fish5_TimeLeft,171.87
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,8.571428571428571
Pond5Fish6_CatchTime,0.549
Pond5Fish6_PondTime,60.354
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,990
Pond5Fish6_TimeLeft,159.5
Type,N
FishN,18
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,10
Pond5Fish7_CatchTime,0.939
Pond5Fish7_PondTime,74.736
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,1001
Pond5Fish7_TimeLeft,145.118
Type,N
FishN,18
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,12
Pond5Fish8_CatchTime,0.527
Pond5Fish8_PondTime,92.12
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,1012
Pond5Fish8_TimeLeft,127.734
PondEnd_LastFish,8
FishN,12
Type,N
GiveUpTime,2.793
PondTime,93.633
TimeLeft,125.717
PondOutcome,88
TotalOutcome,1012
PondStart,PondStart
PondIntroTime,15.673002381809056
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,0.762
Pond8Fish1_PondTime,7.804
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,1023
Pond8Fish1_TimeLeft,100.352
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.5294117647058822
Pond8Fish2_CatchTime,1.326
Pond8Fish2_PondTime,13.927
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,1034
Pond8Fish2_TimeLeft,94.23
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,3.75
Pond8Fish3_CatchTime,1.176
Pond8Fish3_PondTime,20.304
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,1045
Pond8Fish3_TimeLeft,87.853
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4
Pond8Fish4_CatchTime,1.707
Pond8Fish4_PondTime,26.974
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,1056
Pond8Fish4_TimeLeft,81.183
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,4.285714285714286
Pond8Fish5_CatchTime,0.641
Pond8Fish5_PondTime,33.956
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,1067
Pond8Fish5_TimeLeft,74.201
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,4.615384615384615
Pond8Fish6_CatchTime,0.665
Pond8Fish6_PondTime,41.334
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,1078
Pond8Fish6_TimeLeft,66.823
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,5
Pond8Fish7_CatchTime,0.959
Pond8Fish7_PondTime,49.163
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,1089
Pond8Fish7_TimeLeft,58.994
Type,N
FishN,15
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,5.454545454545454
Pond8Fish8_CatchTime,0.95
Pond8Fish8_PondTime,57.541
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,1100
Pond8Fish8_TimeLeft,50.616
Type,N
FishN,15
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,6
Pond8Fish9_CatchTime,1.99
Pond8Fish9_PondTime,66.868
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,1111
Pond8Fish9_TimeLeft,41.289
Type,N
FishN,15
Fish,10
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,6.666666666666667
Pond8Fish10_CatchTime,1.068
Pond8Fish10_PondTime,76.74
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,1122
Pond8Fish10_TimeLeft,31.417
Type,N
FishN,15
Fish,11
Pond8Fish11_FishType,green
Pond8Fish11_FishLatency,7.5
Pond8Fish11_CatchTime,0.777
Pond8Fish11_PondTime,87.68
Pond8Fish11_PondOutcome,121
Pond8Fish11_TotalOutcome,1133
Pond8Fish11_TimeLeft,20.477
Type,N
FishN,15
Fish,12
Pond8Fish12_FishType,green
Pond8Fish12_FishLatency,8.571428571428571
Pond8Fish12_CatchTime,1.322
Pond8Fish12_PondTime,100.047
Pond8Fish12_PondOutcome,132
Pond8Fish12_TotalOutcome,1144
Pond8Fish12_TimeLeft,8.11
