,5cd323f554644f00188d3f86
PondStart,PondStart
PondIntroTime,10.275152884423733
PondEnd_LastFish,10
FishN,16
Type,N
GiveUpTime,9.538
PondTime,0.445
TimeLeft,908.331
PondOutcome,0
TotalOutcome,253
PondStart,PondStart
PondIntroTime,15.709637911058962
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.1578947368421053
Pond10Fish1_CatchTime,1.403
Pond10Fish1_PondTime,7.61
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,264
Pond10Fish1_TimeLeft,884.39
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.3333333333333335
Pond10Fish2_CatchTime,1.377
Pond10Fish2_PondTime,13.505
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,275
Pond10Fish2_TimeLeft,878.494
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,3.5294117647058822
Pond10Fish3_CatchTime,0.83
Pond10Fish3_PondTime,19.62
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,286
Pond10Fish3_TimeLeft,872.38
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,3.75
Pond10Fish4_CatchTime,1.315
Pond10Fish4_PondTime,25.981
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,297
Pond10Fish4_TimeLeft,866.018
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4
Pond10Fish5_CatchTime,1.448
Pond10Fish5_PondTime,32.637
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,308
Pond10Fish5_TimeLeft,859.363
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,4.285714285714286
Pond10Fish6_CatchTime,1.076
Pond10Fish6_PondTime,39.613
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,319
Pond10Fish6_TimeLeft,852.387
Type,N
FishN,17
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,4.615384615384615
Pond10Fish7_CatchTime,1.003
Pond10Fish7_PondTime,46.973
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,330
Pond10Fish7_TimeLeft,845.026
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,5
Pond10Fish8_CatchTime,1.358
Pond10Fish8_PondTime,54.788
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,341
