,5c890051146e370019e07384
Pond3Fish7_CatchTime,1.09
Pond3Fish7_PondTime,51.871
Pond3Fish7_PondOutcome,66
Pond3Fish7_TotalOutcome,264
Pond3Fish7_TimeLeft,939.095
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,6
Pond3Fish8_CatchTime,1.032
Pond3Fish8_PondTime,60.918
Pond3Fish8_PondOutcome,77
Pond3Fish8_TotalOutcome,275
Pond3Fish8_TimeLeft,930.048
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,6.666666666666667
Pond3Fish9_CatchTime,1.114
Pond3Fish9_PondTime,70.821
Pond3Fish9_PondOutcome,88
Pond3Fish9_TotalOutcome,286
Pond3Fish9_TimeLeft,920.145
Type,N
FishN,18
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,7.5
Pond3Fish10_CatchTime,1.047
Pond3Fish10_PondTime,81.758
Pond3Fish10_PondOutcome,99
Pond3Fish10_TotalOutcome,297
Pond3Fish10_TimeLeft,909.208
Type,N
FishN,18
Fish,11
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,8.571428571428571
Pond3Fish11_CatchTime,1.116
Pond3Fish11_PondTime,94.124
Pond3Fish11_PondOutcome,110
Pond3Fish11_TotalOutcome,308
Pond3Fish11_TimeLeft,896.842
Type,N
FishN,18
Fish,12
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,10
Pond3Fish12_CatchTime,1.53
Pond3Fish12_PondTime,108.513
Pond3Fish12_PondOutcome,121
Pond3Fish12_TotalOutcome,319
Pond3Fish12_TimeLeft,882.453
PondEnd_LastFish,12
FishN,17
Type,N
GiveUpTime,0.729
PondTime,108.969
TimeLeft,881.493
PondOutcome,121
TotalOutcome,319
PondStart,PondStart
PondIntroTime,11.39692105120048
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,0.866
Pond4Fish1_PondTime,9.291
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,330
Pond4Fish1_TimeLeft,860.189
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,1.046
Pond4Fish2_PondTime,17.107
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,341
Pond4Fish2_TimeLeft,852.374
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,1.608
Pond4Fish3_PondTime,25.479
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,352
Pond4Fish3_TimeLeft,844.002
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,1.297
Pond4Fish4_PondTime,34.537
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,363
Pond4Fish4_TimeLeft,834.944
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,-1
Pond4Fish5_PondTime,44.468
Pond4Fish5_PondOutcome,44
Pond4Fish5_TotalOutcome,363
Pond4Fish5_TimeLeft,825.013
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,0.963
Pond4Fish6_PondTime,55.416
Pond4Fish6_PondOutcome,55
Pond4Fish6_TotalOutcome,374
Pond4Fish6_TimeLeft,814.065
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,8.571428571428571
Pond4Fish7_CatchTime,1.066
Pond4Fish7_PondTime,67.803
Pond4Fish7_PondOutcome,66
Pond4Fish7_TotalOutcome,385
Pond4Fish7_TimeLeft,801.678
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,10
Pond4Fish8_CatchTime,1.019
Pond4Fish8_PondTime,82.194
Pond4Fish8_PondOutcome,77
Pond4Fish8_TotalOutcome,396
Pond4Fish8_TimeLeft,787.287
Type,N
FishN,19
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,12
Pond4Fish9_CatchTime,1.666
Pond4Fish9_PondTime,99.567
Pond4Fish9_PondOutcome,88
Pond4Fish9_TotalOutcome,407
Pond4Fish9_TimeLeft,769.914
Type,N
FishN,19
Fish,10
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,15
Pond4Fish10_CatchTime,1.035
Pond4Fish10_PondTime,121.944
Pond4Fish10_PondOutcome,99
Pond4Fish10_TotalOutcome,418
Pond4Fish10_TimeLeft,747.537
PondEnd_LastFish,10
FishN,13
Type,N
GiveUpTime,23.97
PondTime,145.162
TimeLeft,723.811
PondOutcome,99
TotalOutcome,418
PondStart,PondStart
PondIntroTime,16.877460449468344
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,1.66
Pond9Fish1_PondTime,8.558
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,429
Pond9Fish1_TimeLeft,697.746
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,1.07
Pond9Fish2_PondTime,15.544
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,440
Pond9Fish2_TimeLeft,690.76
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,1.464
Pond9Fish3_PondTime,22.919
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,451
Pond9Fish3_TimeLeft,683.385
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,1.732
Pond9Fish4_PondTime,30.769
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,462
Pond9Fish4_TimeLeft,675.535
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,1.105
Pond9Fish5_PondTime,39.143
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,473
Pond9Fish5_TimeLeft,667.161
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,1.051
Pond9Fish6_PondTime,48.181
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,484
Pond9Fish6_TimeLeft,658.123
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,1.92
Pond9Fish7_PondTime,58.277
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,495
Pond9Fish7_TimeLeft,648.027
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,1.419
Pond9Fish8_PondTime,69.211
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,506
Pond9Fish8_TimeLeft,637.093
PondEnd_LastFish,8
FishN,15
Type,N
GiveUpTime,10.15
PondTime,78.98
TimeLeft,626.82
PondOutcome,88
TotalOutcome,506
PondStart,PondStart
PondIntroTime,14.907501677516848
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.1578947368421053
Pond10Fish1_CatchTime,1.358
Pond10Fish1_PondTime,7.603
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,517
Pond10Fish1_TimeLeft,603.684
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.3333333333333335
Pond10Fish2_CatchTime,1.08
Pond10Fish2_PondTime,13.492
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,528
Pond10Fish2_TimeLeft,597.795
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,3.5294117647058822
Pond10Fish3_CatchTime,0.901
Pond10Fish3_PondTime,19.605
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,539
Pond10Fish3_TimeLeft,591.682
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,3.75
Pond10Fish4_CatchTime,-1
Pond10Fish4_PondTime,26.036
Pond10Fish4_PondOutcome,33
Pond10Fish4_TotalOutcome,539
Pond10Fish4_TimeLeft,585.251
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4
Pond10Fish5_CatchTime,1.909
Pond10Fish5_PondTime,32.918
Pond10Fish5_PondOutcome,44
Pond10Fish5_TotalOutcome,550
Pond10Fish5_TimeLeft,578.369
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,4.285714285714286
Pond10Fish6_CatchTime,1.139
Pond10Fish6_PondTime,39.917
Pond10Fish6_PondOutcome,55
Pond10Fish6_TotalOutcome,561
Pond10Fish6_TimeLeft,571.37
Type,N
FishN,17
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,4.615384615384615
Pond10Fish7_CatchTime,1.166
Pond10Fish7_PondTime,47.281
Pond10Fish7_PondOutcome,66
Pond10Fish7_TotalOutcome,572
Pond10Fish7_TimeLeft,564.006
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,5
Pond10Fish8_CatchTime,1.107
Pond10Fish8_PondTime,55.105
Pond10Fish8_PondOutcome,77
Pond10Fish8_TotalOutcome,583
Pond10Fish8_TimeLeft,556.182
Type,N
FishN,17
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,5.454545454545454
Pond10Fish9_CatchTime,1.169
Pond10Fish9_PondTime,63.477
Pond10Fish9_PondOutcome,88
Pond10Fish9_TotalOutcome,594
Pond10Fish9_TimeLeft,547.81
Type,N
FishN,17
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,6
Pond10Fish10_CatchTime,1.207
Pond10Fish10_PondTime,72.514
Pond10Fish10_PondOutcome,99
Pond10Fish10_TotalOutcome,605
Pond10Fish10_TimeLeft,538.773
Type,N
FishN,17
Fish,11
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,6.666666666666667
Pond10Fish11_CatchTime,1.356
Pond10Fish11_PondTime,82.386
Pond10Fish11_PondOutcome,110
Pond10Fish11_TotalOutcome,616
Pond10Fish11_TimeLeft,528.901
Type,N
FishN,17
Fish,12
Pond10Fish12_FishType,green
Pond10Fish12_FishLatency,7.5
Pond10Fish12_CatchTime,1.771
Pond10Fish12_PondTime,93.409
Pond10Fish12_PondOutcome,121
Pond10Fish12_TotalOutcome,627
Pond10Fish12_TimeLeft,517.878
PondEnd_LastFish,12
FishN,19
Type,N
GiveUpTime,0.842
PondTime,94.15
TimeLeft,516.634
PondOutcome,121
TotalOutcome,627
PondStart,PondStart
PondIntroTime,12.35782565549016
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.3333333333333335
Pond12Fish1_CatchTime,0.946
Pond12Fish1_PondTime,7.808
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,638
Pond12Fish1_TimeLeft,495.836
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,3.5294117647058822
Pond12Fish2_CatchTime,1.164
Pond12Fish2_PondTime,13.931
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,649
Pond12Fish2_TimeLeft,489.714
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,3.75
Pond12Fish3_CatchTime,1.123
Pond12Fish3_PondTime,20.292
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,660
