,5c334030dd74dc0001e46725
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,649
Pond1Fish8_TimeLeft,470.198
Type,N
FishN,16
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,8.571428571428571
Pond1Fish9_CatchTime,1.402
Pond1Fish9_PondTime,81.402
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,660
Pond1Fish9_TimeLeft,457.823
Type,N
FishN,16
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,10
Pond1Fish10_CatchTime,1.295
Pond1Fish10_PondTime,95.771
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,671
Pond1Fish10_TimeLeft,443.454
PondEnd_LastFish,10
FishN,15
Type,N
GiveUpTime,1.122
PondTime,96.388
TimeLeft,442.336
PondOutcome,110
TotalOutcome,671
PondStart,PondStart
PondIntroTime,17.336370788980275
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,-1
Pond8Fish1_PondTime,7.882
Pond8Fish1_PondOutcome,0
Pond8Fish1_TotalOutcome,671
Pond8Fish1_TimeLeft,416.477
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.5294117647058822
Pond8Fish2_CatchTime,1.332
Pond8Fish2_PondTime,14.001
Pond8Fish2_PondOutcome,11
Pond8Fish2_TotalOutcome,682
Pond8Fish2_TimeLeft,410.358
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,3.75
Pond8Fish3_CatchTime,1.386
Pond8Fish3_PondTime,20.365
Pond8Fish3_PondOutcome,22
Pond8Fish3_TotalOutcome,693
Pond8Fish3_TimeLeft,403.994
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4
Pond8Fish4_CatchTime,1.222
Pond8Fish4_PondTime,27.017
Pond8Fish4_PondOutcome,33
Pond8Fish4_TotalOutcome,704
Pond8Fish4_TimeLeft,397.342
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,4.285714285714286
Pond8Fish5_CatchTime,1.068
Pond8Fish5_PondTime,34.015
Pond8Fish5_PondOutcome,44
Pond8Fish5_TotalOutcome,715
Pond8Fish5_TimeLeft,390.344
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,4.615384615384615
Pond8Fish6_CatchTime,1.321
Pond8Fish6_PondTime,41.394
Pond8Fish6_PondOutcome,55
Pond8Fish6_TotalOutcome,726
Pond8Fish6_TimeLeft,382.965
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,5
Pond8Fish7_CatchTime,1.049
Pond8Fish7_PondTime,49.21
Pond8Fish7_PondOutcome,66
Pond8Fish7_TotalOutcome,737
Pond8Fish7_TimeLeft,375.149
Type,N
FishN,15
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,5.454545454545454
Pond8Fish8_CatchTime,1.272
Pond8Fish8_PondTime,57.581
Pond8Fish8_PondOutcome,77
Pond8Fish8_TotalOutcome,748
Pond8Fish8_TimeLeft,366.778
Type,N
FishN,15
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,6
Pond8Fish9_CatchTime,1.204
Pond8Fish9_PondTime,66.608
Pond8Fish9_PondOutcome,88
Pond8Fish9_TotalOutcome,759
Pond8Fish9_TimeLeft,357.751
Type,N
FishN,15
Fish,10
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,6.666666666666667
Pond8Fish10_CatchTime,1.229
Pond8Fish10_PondTime,76.494
Pond8Fish10_PondOutcome,99
Pond8Fish10_TotalOutcome,770
Pond8Fish10_TimeLeft,347.865
Type,N
FishN,15
Fish,11
Pond8Fish11_FishType,green
Pond8Fish11_FishLatency,7.5
Pond8Fish11_CatchTime,1.801
Pond8Fish11_PondTime,87.522
Pond8Fish11_PondOutcome,110
Pond8Fish11_TotalOutcome,781
Pond8Fish11_TimeLeft,336.837
PondEnd_LastFish,11
FishN,18
Type,N
GiveUpTime,1.201
PondTime,88.622
TimeLeft,335.234
PondOutcome,110
TotalOutcome,781
PondStart,PondStart
PondIntroTime,16.885540494695306
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.75
Pond4Fish1_CatchTime,1.463
Pond4Fish1_PondTime,8.275
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,792
Pond4Fish1_TimeLeft,309.437
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,4
Pond4Fish2_CatchTime,1.205
Pond4Fish2_PondTime,14.926
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,803
Pond4Fish2_TimeLeft,302.785
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,4.285714285714286
Pond4Fish3_CatchTime,1.291
Pond4Fish3_PondTime,21.904
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,814
Pond4Fish3_TimeLeft,295.808
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,4.615384615384615
Pond4Fish4_CatchTime,1.29
